 	a	ongondza	les	gens	ne	peuvent	pas	me	prendre	pour	un	faible	parce	que	j'	y	ai	construit	une	petite	maison	</S>
s	0.32976	0.19484	0.295935	0.117333	0.017675	0.00645054	0.0208798	0.00836454	0.00185959	0.00174416	0.00120138	0.00104403	0.00084597	0.000606171	0.000199856	0.000697757	0.000162767	3.25896e-05	4.48164e-05	0.000301202	9.30274e-06	1.30571e-05
o	0.28133	0.440261	0.149526	0.00208604	0.0030845	0.000638655	0.00506412	0.0476947	0.000528486	0.00430005	0.00323854	0.000610363	0.00463154	0.00531686	0.0193355	0.00111972	0.003131	0.000177775	0.00113006	0.0203392	0.00222585	0.00423092
n	0.0644636	0.719381	0.137497	0.000946767	0.00646699	0.00561911	0.0169966	0.0100253	0.00280436	0.00726725	0.00350276	0.00333121	0.00509889	0.0022108	0.00389084	0.00111905	0.00224616	0.000770512	0.000945633	0.00063406	0.000628237	0.00415434
g	0.0210996	0.853654	0.0807855	0.000725156	0.00127527	0.00105182	0.00158093	0.0240659	0.000330424	0.00062912	0.000354923	0.000127554	0.00141473	0.000637631	0.00788666	0.000146085	0.000734521	0.000162123	0.000190112	0.000758314	0.00167907	0.00071039
ó	0.0164764	0.923243	0.0223461	0.00120272	0.000368391	0.00156391	0.00066578	0.01176	0.000607567	0.000983264	0.00060227	0.000695407	0.00164668	0.000409235	0.00614783	0.000188266	0.000661198	0.000559226	0.000487727	0.000475367	0.00739531	0.00151467
n	0.0271173	0.0307776	0.706935	0.0719094	0.0405769	0.0023825	0.00812924	0.0181764	0.00571815	0.00992183	0.00591753	0.00184876	0.0111416	0.00637507	0.00736812	0.00631938	0.00853007	0.00333778	0.00720672	0.00202319	0.000293123	0.0179945
d	0.160948	0.20775	0.425963	0.0320209	0.0189061	0.00326195	0.0121761	0.0313231	0.00520195	0.0097492	0.00467701	0.00235725	0.0125034	0.00731359	0.0115188	0.00358687	0.00834467	0.00269241	0.00471778	0.00237204	0.000991634	0.0316243
z	0.0349457	0.679305	0.14664	0.00494688	0.00454859	0.00361531	0.00408984	0.0202482	0.00144934	0.00252173	0.00168503	0.00185649	0.00508865	0.00272312	0.0179771	0.00131443	0.0060005	0.00375915	0.00325768	0.00359245	0.0368917	0.0135429
a	0.0337487	0.658125	0.163147	0.00526234	0.00626914	0.00732012	0.0108434	0.0231789	0.00334529	0.00682357	0.0040015	0.00401785	0.00712545	0.00240948	0.0106323	0.000782611	0.00399517	0.00317995	0.00446113	0.00296224	0.0111259	0.0272439
b	0.0361795	0.0490596	0.606993	0.0796319	0.0647157	0.010355	0.0167194	0.018282	0.00920829	0.0123583	0.00577804	0.00277315	0.0112033	0.00525616	0.00925927	0.00273013	0.00890921	0.0050417	0.00851367	0.00225712	0.0010133	0.0337623
