 	le	véhicule	qui	est	tombé	en	panne	hier	est	déjà	réparé	</S>
o	0.781432	0.110158	0.0543864	0.0103007	0.0146214	0.0100007	0.00598086	0.00196079	0.00673464	0.00375198	0.00039651	0.000275644
t	0.114476	0.816416	0.0217215	0.00459307	0.00303576	0.00120448	0.000292163	0.000906719	0.00160844	0.00417995	0.0210074	0.010558
ω	0.00603258	0.957381	0.0013399	0.00296576	0.0100465	0.00170446	0.00069687	0.00874114	0.00127646	0.000901477	0.0068077	0.00210563
m	0.00877623	0.954543	0.00543729	0.00105488	0.00390834	0.00356618	0.000369054	0.00285015	0.00135085	0.00265361	0.0102651	0.00522561
b	0.0500034	0.558944	0.152268	0.0218893	0.0213685	0.0390638	0.0288389	0.00611982	0.0137826	0.0042012	0.00472951	0.0987913
í	0.163773	0.331003	0.0494862	0.0338719	0.0348967	0.0161648	0.0445954	0.00381203	0.0133024	0.0146573	0.00309812	0.29134
l	0.103533	0.413908	0.286602	0.0416157	0.0213976	0.0191967	0.0296833	0.0136397	0.0177052	0.00837447	0.00150874	0.0428366
i	0.192951	0.262753	0.0594322	0.044706	0.0574473	0.0484265	0.0493959	0.0580106	0.0389709	0.0266382	0.0186676	0.142601
m	0.184933	0.109558	0.278725	0.21204	0.062555	0.0563222	0.0247932	0.021952	0.0154974	0.0133743	0.00267345	0.0175771
ó	0.019932	0.00567159	0.179146	0.329394	0.0963086	0.213747	0.110303	0.00552702	0.0156037	0.0101143	0.000242842	0.0140093
ó	0.208482	0.0200845	0.273804	0.120004	0.082308	0.143583	0.0484228	0.0282637	0.0256311	0.0152984	0.0022485	0.0318703
b	0.0380719	0.00424701	0.0401127	0.248135	0.356226	0.197383	0.0654153	0.00500892	0.0101774	0.0247205	0.000720875	0.00978166
é	0.0050353	0.0131294	0.0140195	0.145897	0.403588	0.178419	0.188249	0.0111823	0.0130066	0.0128137	0.000863991	0.0137963
b	0.0126374	0.00846357	0.0197703	0.191317	0.325991	0.150256	0.165076	0.0303711	0.0138597	0.012718	0.00442404	0.0651154
h	0.0305905	0.00445948	0.01058	0.061599	0.273647	0.107757	0.405716	0.0207778	0.0224372	0.0106999	0.000996113	0.0507397
í	0.0122108	0.0260538	0.0639537	0.0600487	0.0887422	0.116472	0.25815	0.0534677	0.0265607	0.0104068	0.00788218	0.276052
l	0.00513198	0.00362609	0.0700135	0.0543197	0.0735003	0.209265	0.297929	0.220708	0.0312164	0.0074307	0.00367857	0.0231804
a	0.0044145	0.00835004	0.0152207	0.0394826	0.0710199	0.101506	0.0877533	0.38632	0.032477	0.015709	0.0262101	0.211538
p	0.00431425	0.00155662	0.0175031	0.0214765	0.0200664	0.109305	0.107289	0.548571	0.0653939	0.0186413	0.0240574	0.061826
ó	0.00262852	0.00944723	0.00557298	0.0195881	0.0574545	0.0435625	0.271872	0.530937	0.0239658	0.0064569	0.0139764	0.0145387
a	0.000196189	0.0048714	0.00525922	0.0127344	0.0340853	0.0595415	0.107046	0.688152	0.0426582	0.0152086	0.00946404	0.0207839
ó	0.00107236	0.00107777	0.00408005	0.00649293	0.0111904	0.0173775	0.03455	0.172271	0.322457	0.372273	0.0260824	0.0310759
m	0.00485736	0.00503465	0.005532	0.0120512	0.0129898	0.0139216	0.008277	0.0505955	0.207691	0.501539	0.12839	0.0491213
i	0.000876912	0.000537935	0.00512966	0.0126521	0.00373	0.0141096	0.00266295	0.00851648	0.131905	0.327717	0.235909	0.256253
y	0.000253066	0.00269984	0.00104648	0.00308177	0.00454973	0.0107567	0.00586516	0.0489492	0.134337	0.273486	0.288998	0.225977
ε	0.000234904	0.000299859	0.00103118	0.00293683	0.00259783	0.00482329	0.00149497	0.0924732	0.0325101	0.051107	0.729563	0.0809283
m	7.04831e-05	0.000253397	0.000347094	0.00129067	0.00227297	0.00540771	0.00376419	0.0933026	0.0571352	0.0615312	0.553177	0.221448
i	4.88988e-05	0.000394128	0.000387863	0.00117301	0.00139742	0.00738413	0.00967966	0.0395072	0.0379782	0.0187559	0.553775	0.329519
n	0.000884578	0.000425125	0.00335285	0.00222318	0.00161917	0.0054473	0.0123889	0.0279077	0.161588	0.136948	0.0676362	0.57958
ε	0.00813845	0.0015887	0.0247557	0.00911782	0.00370572	0.0107867	0.00596592	0.012296	0.0822993	0.0991457	0.329399	0.412801
</S>	0.000243764	6.09234e-05	0.0026805	0.00121967	0.000367164	0.00148677	0.000467015	0.00879226	0.0394303	0.0409159	0.157557	0.746779
