 	elle	vide	les	boyaux	</S>
p	0.637475	0.255225	0.10356	0.00329962	0.000441137
a	0.164461	0.826012	0.00723879	0.00201651	0.000271355
s	0.0415563	0.941025	0.0145257	0.000387902	0.0025053
á	0.0259215	0.936049	0.0322105	0.000313706	0.00550542
á	0.189055	0.120195	0.531157	0.00917764	0.150415
i	0.127484	0.0442718	0.773082	0.0117441	0.0434176
s	0.118513	0.174159	0.5212	0.0785262	0.107602
ω	0.0207354	0.0152829	0.463287	0.325361	0.175334
b	0.0106843	0.0403712	0.350702	0.478288	0.119954
h	0.122476	0.0912005	0.277184	0.407137	0.102002
ώ	0.0431776	0.168143	0.114286	0.349105	0.325288
m	0.0217705	0.0151757	0.565825	0.193968	0.203261
á	0.0105255	0.000985376	0.158205	0.404638	0.425645
n	0.0196873	0.00817467	0.177851	0.73708	0.0572068
y	0.000929454	0.00038971	0.00909677	0.903844	0.0857403
a	0.00246259	0.0184083	0.0405558	0.60522	0.333353
m	0.00134767	0.0044708	0.165685	0.261874	0.566622
a	0.016036	0.000768592	0.213131	0.538957	0.231107
</S>	0.00662793	0.0113543	0.152026	0.14657	0.683421
