 	jésus	est	réssuscité	après	trois	jours	</S>
y	0.405939	0.590462	0.00109611	0.00114596	0.00122812	5.16708e-05	7.63072e-05
e	0.953853	0.0445574	0.00068168	0.000770891	8.38724e-05	8.87401e-06	4.43624e-05
s	0.939637	0.0497544	0.00320169	0.00295725	0.000673037	0.000298041	0.00347847
ú	0.953359	0.0435064	0.00135604	0.000374889	0.000379178	4.91504e-05	0.000975642
á	0.380456	0.590911	0.0133259	0.00153281	0.00457662	0.00130172	0.00789573
l	0.110296	0.455283	0.264855	0.0391631	0.0426164	0.00987514	0.077912
a	0.0230937	0.306942	0.290252	0.0426595	0.12187	0.00800425	0.207179
a	0.0986669	0.250869	0.485318	0.0540609	0.0448938	0.00586502	0.0603264
n	0.0096183	0.0532599	0.729572	0.0689783	0.0395603	0.00927631	0.0897352
g	0.0272158	0.0493796	0.705884	0.15342	0.0313955	0.00093411	0.0317714
á	0.0435879	0.0436077	0.645167	0.250697	0.0112306	0.000282459	0.00542707
l	0.0111521	0.0303306	0.433279	0.366056	0.0798098	0.0168345	0.0625382
a	0.00202415	0.0125677	0.569064	0.122869	0.0569088	0.00466626	0.2319
l	0.00441898	0.00602542	0.564499	0.297956	0.0411496	0.0155851	0.0703659
e	0.00168618	0.0168412	0.400013	0.332718	0.0860212	0.0114217	0.151299
k	0.00057518	0.00210707	0.400145	0.450706	0.07477	0.0332898	0.038406
ú	9.30195e-05	0.00155524	0.401031	0.49103	0.0200287	0.0641075	0.0221545
o	0.0039799	0.00278755	0.12286	0.578053	0.0331457	0.170759	0.0884153
n	0.00207674	0.0020269	0.0116512	0.29359	0.53961	0.0399307	0.111115
g	0.00200527	0.00270196	0.0303313	0.742574	0.194469	0.00457141	0.0233465
ω	0.00273782	0.000745646	0.0243389	0.891672	0.0611508	0.00313424	0.016221
n	0.000453601	0.000765497	0.00769843	0.440085	0.382028	0.0507579	0.118212
g	0.00199695	0.00342754	0.0211077	0.428151	0.342715	0.0376317	0.16497
ω	0.00293335	0.00144972	0.0164428	0.764339	0.149929	0.0136724	0.0512339
m	0.000583033	0.00119729	0.0192198	0.520236	0.221645	0.0259737	0.211145
i	0.0366668	0.00569876	0.000574722	0.0389746	0.277342	0.0985092	0.542234
k	0.000802882	0.00107782	0.0013934	0.012302	0.200479	0.402983	0.380962
ω	0.000118717	0.000602066	0.00159979	0.0113197	0.0447245	0.867496	0.0741388
ω	0.000809369	0.00024227	0.00109699	0.033097	0.058288	0.793379	0.113087
í	0.000963354	0.00156873	0.00342984	0.0171882	0.175226	0.147431	0.654193
s	0.00622366	0.00655525	0.0166414	0.0284957	0.396954	0.146038	0.399092
á	0.0015899	0.00242726	0.0183327	0.0159486	0.406724	0.0293828	0.525594
r	0.000162482	0.000199461	0.00231588	0.00840309	0.165275	0.0333738	0.790271
e	0.00325463	0.00263563	0.0172351	0.121823	0.376513	0.0203007	0.458238
</S>	0.00215974	0.000740335	0.00296165	0.0407226	0.1904	0.029998	0.733017
