 	sa	baguette	cassa	</S>
e	0.695875	0.183231	0.0903589	0.0305348
k	0.0560851	0.875843	0.0522425	0.0158297
y	0.0632683	0.740433	0.0505201	0.145779
é	0.139171	0.670403	0.0614221	0.129004
n	0.215463	0.396688	0.156363	0.231486
i	0.240621	0.255365	0.0369961	0.467018
y	0.543477	0.190085	0.101258	0.16518
á	0.815541	0.14454	0.0176039	0.0223153
w	0.80415	0.0564066	0.0878302	0.0516135
a	0.646621	0.0485616	0.124283	0.180534
y	0.405307	0.0600618	0.128689	0.405942
á	0.653545	0.0860522	0.133295	0.127107
i	0.186946	0.0248083	0.494459	0.293786
b	0.0246346	0.0512912	0.407065	0.51701
v	0.0187219	0.00473448	0.709011	0.267533
ú	0.00379706	0.00243524	0.83508	0.158688
a	0.0749194	0.018958	0.668282	0.23784
é	0.0285955	0.00623241	0.470906	0.494266
k	0.132562	0.0520787	0.278795	0.536564
y	0.0150882	0.0156135	0.597329	0.371969
é	0.0354455	0.0118146	0.287156	0.665584
n	0.0217129	0.0185677	0.338047	0.621672
í	0.0145746	0.0191679	0.695529	0.270729
m	0.0194426	0.00753333	0.464208	0.508816
í	0.175534	0.00330013	0.217126	0.604039
</S>	0.0309254	0.0119275	0.301195	0.655952
