 	il	s'	est	blessé	à	la	cheville	</S>
w	0.747769	0.205522	0.0191891	0.0123502	0.00695362	0.0063723	0.000482869	0.00136046
a	0.909534	0.0534458	0.00579351	0.00603886	0.0101387	0.0142994	0.000502304	0.000247241
á	0.0581311	0.509518	0.314977	0.101213	0.0057749	0.00380985	0.000233688	0.00634341
m	0.0190739	0.360615	0.345601	0.140325	0.0356334	0.0190726	0.0055632	0.0741154
i	0.0180889	0.354984	0.409996	0.0930661	0.0768787	0.0405584	0.000375649	0.00605232
k	0.0081937	0.0385389	0.134302	0.720989	0.0677254	0.0138867	0.00219166	0.0141723
ώ	0.00179861	0.00741072	0.0352914	0.825491	0.0551707	0.00612792	0.00403891	0.0646705
s	0.00124838	0.0184842	0.0556525	0.886281	0.0294668	0.0030804	0.00190458	0.00388206
ώ	0.0148127	0.0422744	0.0767507	0.617542	0.15484	0.0473663	0.00124794	0.0451659
m	0.00215451	0.0209681	0.0452018	0.18962	0.615045	0.0980803	0.017476	0.011455
ó	0.0164655	0.0191881	0.0134974	0.0252895	0.410641	0.396477	0.00485993	0.113582
d	0.0216868	0.0140647	0.0235683	0.0468471	0.37656	0.400982	0.0616221	0.0546693
í	0.0006478	0.002007	0.0064036	0.0200696	0.2745	0.402363	0.0606934	0.233315
s	0.000348879	0.000940201	0.00520599	0.010353	0.163716	0.34298	0.343862	0.132594
i	0.000414635	0.0018812	0.0046911	0.0248349	0.259818	0.362279	0.135923	0.210158
l	0.000132535	0.00145581	0.00656635	0.014956	0.150266	0.376153	0.156729	0.293742
é	0.00104551	0.00521657	0.0222436	0.0188141	0.077759	0.246981	0.105573	0.522367
k	0.00114031	0.00269972	0.00771031	0.0136369	0.0319819	0.199068	0.387447	0.356316
o	0.000128251	0.00050266	0.00055029	0.00600556	0.00600911	0.00668946	0.954104	0.0260111
o	9.10438e-05	0.00018508	0.000525241	0.00262618	0.00521966	0.00560044	0.943954	0.0417985
</S>	6.58087e-05	0.000342946	0.00163939	0.00894065	0.0257605	0.0592099	0.0547693	0.849272
