 	un	impoli	manque	du	respect	à	tout	le	monde	</S>
e	0.437083	0.459744	0.0524596	0.0248695	0.0100318	0.00693368	0.0030203	0.00462357	0.00101265	0.000221614
k	0.145685	0.65631	0.10922	0.0119453	0.00331514	0.00661729	0.0168386	0.0164143	0.0244216	0.00923332
y	0.0182379	0.930751	0.0284049	0.00487067	0.000423136	0.00128613	0.00166213	0.00134366	0.0104399	0.00258037
e	0.119421	0.502191	0.170111	0.0948329	0.0212866	0.0170056	0.010661	0.0228839	0.026946	0.0146613
b	0.327077	0.45992	0.0709647	0.0557378	0.0042187	0.0113644	0.00923671	0.0132752	0.00745319	0.0407525
a	0.234755	0.254964	0.209274	0.101638	0.0371535	0.0342337	0.0115035	0.0111154	0.00921718	0.096145
r	0.272919	0.0743595	0.212329	0.189547	0.0718543	0.0771518	0.0341975	0.0129333	0.00359804	0.0511099
e	0.357243	0.018649	0.038529	0.105581	0.197571	0.0616614	0.0261442	0.0244892	0.0057503	0.164382
l	0.0614881	0.0084789	0.338767	0.270033	0.0780644	0.133086	0.064822	0.0318174	0.00416546	0.00927835
á	0.0756801	0.00611967	0.0753566	0.0921684	0.075923	0.16739	0.131736	0.0377411	0.0152484	0.322636
a	0.096961	0.00524607	0.0485965	0.178421	0.329427	0.136108	0.0777046	0.0769132	0.0289156	0.0217072
k	0.00973193	0.00856297	0.102246	0.0227541	0.0800862	0.182965	0.274596	0.136076	0.124586	0.058396
y	0.00512026	0.0130362	0.0560776	0.0280339	0.0203493	0.115564	0.218731	0.149601	0.186412	0.207075
a	0.0185179	0.0190787	0.056243	0.0629855	0.0817501	0.141023	0.196605	0.105521	0.177056	0.14122
á	0.00202392	0.00241541	0.0105724	0.0384912	0.0662925	0.162456	0.291847	0.142934	0.140754	0.142214
t	0.00698316	0.000816436	0.0183642	0.0378985	0.0184808	0.0647974	0.161173	0.32518	0.12983	0.236476
s	0.00223164	0.0150004	0.0188599	0.0123907	0.0276656	0.0468956	0.198393	0.120822	0.439907	0.117834
ω	0.000428753	0.00288994	0.00483313	0.00917748	0.0245784	0.0334257	0.140695	0.128357	0.614062	0.0415527
</S>	0.000486721	0.000937955	0.00514314	0.0183359	0.0482848	0.0509846	0.0970866	0.0979891	0.127919	0.552832
