 	elle	a	mis	ses	plus	beaux	atours	pour	aller	à	la	ville	</S>
w	0.862561	0.0622546	0.00606969	0.00554502	0.0120327	0.0129358	0.010823	0.0202302	0.000970497	0.0021175	0.00411589	0.000236839	0.000107765
a	0.914298	0.0250917	0.00526947	0.0196072	0.0101215	0.0111641	0.00180225	0.0076206	0.000487977	0.000998314	0.00311172	0.000409135	1.79967e-05
á	0.129796	0.683977	0.0852887	0.0218984	0.0117354	0.00979558	0.00439766	0.0116096	0.0206854	0.0103276	0.00435851	0.00102419	0.00510583
m	0.0436353	0.553065	0.268972	0.0246648	0.0106123	0.00497339	0.00431515	0.0117755	0.0197513	0.0149563	0.00805311	0.00303755	0.0321884
i	0.00719653	0.380196	0.414684	0.103007	0.0234265	0.0124932	0.0017099	0.0102678	0.0201694	0.00818814	0.00256576	0.000441971	0.0156542
k	0.0105874	0.157675	0.720414	0.0427522	0.0122149	0.00675936	0.0105355	0.00234395	0.0132168	0.00335936	0.0010318	0.000962949	0.0181463
y	0.00362821	0.0425875	0.82855	0.0557525	0.0167361	0.00265743	0.00619843	0.00214444	0.0113044	0.00526513	0.00185248	0.0017478	0.0215757
á	0.00507297	0.142368	0.651426	0.0661471	0.0494429	0.0111094	0.0236518	0.00217008	0.0216077	0.0100312	0.00295919	0.00217479	0.0118389
ω	0.0295148	0.125116	0.140656	0.242561	0.100265	0.0367054	0.0443916	0.0300392	0.0147125	0.036665	0.0124761	0.00359335	0.183304
n	0.00213853	0.0377154	0.279088	0.339107	0.159536	0.0537915	0.073456	0.0216345	0.0094001	0.00817513	0.00526702	0.00428599	0.00640443
d	0.00124319	0.0204263	0.0590459	0.0602795	0.0561019	0.0460834	0.631792	0.00463318	0.014165	0.00802793	0.00254874	0.0667114	0.028942
z	0.000443516	0.00541383	0.0150725	0.0337249	0.0681403	0.0380323	0.730236	0.00186448	0.0148215	0.00519805	0.00189506	0.0531872	0.0319699
ε	0.00132371	0.00873262	0.00842343	0.0195014	0.0307221	0.0599205	0.750766	0.00830626	0.0264878	0.00823899	0.002146	0.0226874	0.0527434
l	0.00132446	0.0055299	0.00862793	0.0128615	0.0407227	0.142686	0.671683	0.0434628	0.0089051	0.0126931	0.00386044	0.0147148	0.0329278
ε	0.000696002	0.00423636	0.0146365	0.0653297	0.146699	0.183596	0.422566	0.0242514	0.00751702	0.0218543	0.00913546	0.0080553	0.0914272
m	0.00521938	0.028898	0.0393308	0.185723	0.172594	0.195751	0.0697706	0.257086	0.0115486	0.0137419	0.00504291	0.000912339	0.0143817
