 	oswala	était	en	train	de	bavarder	dans	la	foule	</S>
o	0.916169	0.0299345	0.00706932	0.0369492	0.00285692	0.00481334	0.00102227	0.00102614	9.17392e-05	6.7213e-05
s	0.86592	0.130521	0.00170423	0.000337917	0.000351299	0.000430876	0.000105074	0.000146007	0.000296965	0.000187383
w	0.97424	0.0244973	0.000242993	0.000121855	6.04886e-05	0.000444402	0.000140991	1.4218e-05	0.000172255	6.55227e-05
a	0.961457	0.0348571	0.000777689	4.60513e-05	0.00044913	0.000518628	0.000289451	0.000172641	0.00101526	0.000416662
l	0.607142	0.194987	0.0626058	0.0112411	0.0128699	0.00508454	0.0105267	0.00371751	0.00282448	0.0890017
a	0.51748	0.093592	0.0825285	0.00668254	0.0455153	0.0231273	0.0186055	0.0140524	0.0137455	0.184671
á	0.348601	0.312221	0.168744	0.0199384	0.0645296	0.0137567	0.0120433	0.0135621	0.00639573	0.0402079
d	0.0317407	0.165866	0.12909	0.017267	0.230182	0.251415	0.0465615	0.00548332	0.00467739	0.117717
z	0.0272615	0.267258	0.123293	0.00202172	0.276766	0.109178	0.035371	0.00386461	0.00574892	0.149237
e	0.0317804	0.291338	0.0189936	0.000825086	0.481536	0.087604	0.0570496	0.0111513	0.00669359	0.0130282
l	0.00435262	0.0213528	0.297049	0.110068	0.220004	0.117508	0.0760396	0.0345566	0.010699	0.108371
á	0.000992173	0.00796809	0.0654177	0.00659787	0.274289	0.205207	0.0751809	0.0243068	0.0134644	0.326576
a	0.00387924	0.00967155	0.0539148	0.0231178	0.158317	0.486896	0.13549	0.0196061	0.0276121	0.0814964
b	0.00595689	0.0151766	0.00515283	0.00349507	0.0462143	0.771665	0.12951	0.00348407	0.00438733	0.0149577
v	0.00160679	0.00202541	0.0132933	0.0104688	0.0228578	0.80231	0.127001	0.00895981	0.00264554	0.00883136
a	0.000435853	0.000566255	0.0150346	0.0137469	0.0188179	0.840744	0.101262	0.00552379	0.000843441	0.00302541
m	0.000500865	0.00112784	0.00531247	0.00118123	0.0282652	0.28213	0.458595	0.025429	0.0036906	0.193768
á	0.000850197	0.000347889	0.00377513	0.000340139	0.0437781	0.0572973	0.440558	0.40513	0.0140958	0.033827
n	0.00121185	0.00282581	0.00447783	0.0017077	0.0209594	0.0485713	0.306464	0.358739	0.224021	0.031022
á	0.00196651	0.000523844	0.00317273	0.000228082	0.00589264	0.0209782	0.0390751	0.153387	0.750834	0.0239419
s	0.000488769	0.000754253	0.00463592	0.00171084	0.00633346	0.0283376	0.209178	0.26714	0.183175	0.298246
á	0.00556745	0.00256665	0.001853	0.000130923	0.00797684	0.0171361	0.0943884	0.158355	0.662801	0.0492241
b	0.0107428	0.000977064	0.000947808	0.00192576	0.0022484	0.00515143	0.0569833	0.203252	0.607774	0.109998
a	0.00256261	0.000795613	0.0131736	0.0172757	0.0061407	0.00869284	0.0965062	0.256508	0.582679	0.0156657
r	0.00116223	0.000247512	0.00862363	0.103555	0.00239223	0.00942784	0.0669247	0.118889	0.456299	0.232479
e	0.000693351	0.000481439	0.0132187	0.000635472	0.00950302	0.0465292	0.0773508	0.326768	0.276203	0.248617
</S>	0.000236727	0.000606959	0.0105465	0.000567901	0.00946326	0.00912578	0.0496051	0.126626	0.109466	0.683756
