 	il	lia	le	sac	avec	une	ficelle	</S>
w	0.93522	0.00521405	0.0452021	0.0024743	0.00483609	0.00533077	0.00160301	0.00011989
a	0.829589	0.00123087	0.129449	0.0108959	0.0132261	0.0109595	0.00451858	0.000130839
a	0.654894	0.234154	0.0836303	0.00466534	0.00781837	0.00748112	0.00164292	0.00571382
d	0.413329	0.39433	0.0835875	0.0359933	0.0354438	0.00785305	0.000869066	0.0285934
í	0.153066	0.758148	0.0173699	0.00481014	0.00406528	0.00275711	0.00305505	0.0567279
n	0.0283687	0.651772	0.105542	0.00940869	0.0337236	0.0101159	0.00290465	0.158164
g	0.0495011	0.594678	0.298936	0.00779505	0.0100358	0.0047039	0.00752974	0.02682
í	0.011545	0.868373	0.0868779	0.0144705	0.00256286	0.00215628	0.0112822	0.0027319
l	0.0314136	0.113188	0.666894	0.0189578	0.086517	0.0304862	0.00640687	0.0461366
í	0.0136781	0.328132	0.294467	0.189444	0.0954444	0.0204341	0.00316099	0.0552401
p	0.00736882	0.108289	0.28871	0.371152	0.132597	0.0405092	0.00945598	0.0419172
ε	9.59894e-05	0.00144539	0.0083816	0.979858	0.00701172	0.00145884	0.000261703	0.00148679
n	0.00146605	0.078752	0.202763	0.40108	0.137475	0.0959217	0.0193733	0.0631682
g	0.00151656	0.0637162	0.388579	0.177509	0.274237	0.0671447	0.00750035	0.0197968
ε	0.00115945	0.0470635	0.264753	0.506642	0.112465	0.0199737	0.0061246	0.0418198
m	0.00168565	0.00511495	0.209217	0.0104423	0.524498	0.134929	0.0187791	0.0953341
ó	0.00279229	0.00215877	0.164722	0.0129232	0.166369	0.224649	0.073341	0.353045
s	0.00196946	0.00179834	0.033566	0.00716847	0.0230875	0.0592352	0.847278	0.0258973
i	0.000850802	0.00147075	0.00899119	0.000232915	0.0108417	0.0610815	0.886	0.0305315
n	6.60678e-05	0.000165214	0.00104281	0.000402203	0.00133955	0.0199338	0.885465	0.0915853
g	3.60028e-05	0.00118771	0.00583462	0.000879186	0.00861359	0.0698723	0.567687	0.34589
a	0.000482448	0.0119359	0.0229309	0.0277885	0.0653146	0.14963	0.427941	0.293977
</S>	0.000274399	0.00162403	0.0284834	0.000876287	0.0753275	0.106855	0.0982619	0.688298
