 	maman	est	en	train	de	somnoler	</S>
m	0.760538	0.211261	0.0197765	0.00362468	0.00399915	0.000709212	9.19954e-05
a	0.418855	0.54202	0.0308478	0.00185218	0.00570169	0.000127097	0.000595739
á	0.0299066	0.768953	0.150482	0.0247758	0.0208155	0.000466844	0.00459985
b	0.0621443	0.254462	0.207692	0.111448	0.0642163	0.0213644	0.278673
ó	0.000349845	0.169134	0.484182	0.125615	0.122507	0.00224734	0.0959647
l	0.0110485	0.111064	0.203002	0.106009	0.180572	0.0536538	0.33465
á	0.00187092	0.0983657	0.197737	0.0175924	0.265124	0.019591	0.399719
a	0.0136657	0.243795	0.339621	0.04462	0.275615	0.0313772	0.0513062
l	0.000574611	0.069522	0.0425643	0.00679392	0.133347	0.728538	0.0186595
έ	2.47305e-05	0.0129407	0.0210323	0.0176402	0.0258328	0.906294	0.0162352
n	6.38174e-05	0.0419476	0.104114	0.00147655	0.252284	0.485525	0.114589
g	0.00103813	0.105804	0.215989	0.00657392	0.262189	0.293723	0.114683
έ	0.00342684	0.104564	0.473267	0.0292432	0.120011	0.182684	0.0868041
f	0.000260829	0.00908555	0.0157838	0.00100195	0.0738607	0.609666	0.290341
u	0.000170167	0.0148238	0.0952488	0.0189109	0.0694553	0.618558	0.182833
l	0.000221329	0.00713938	0.003282	0.000236048	0.00932457	0.695822	0.283975
ú	9.70094e-05	0.00242822	0.0111665	0.000421258	0.0391281	0.463581	0.483178
</S>	0.000397422	0.00414919	0.0155158	0.000681563	0.109502	0.0325898	0.837164
