 	cette	nourriture-ci	ira	chez	ngala	celle-là	ira	chez	apéndi	</S>
b	0.339666	0.623251	0.0175871	0.0101935	0.0016694	0.00505645	0.000683519	0.0016713	0.000185749	3.66592e-05
e	0.0496659	0.897898	0.00238293	0.0239267	0.00193734	0.00291597	0.000237666	0.0183974	0.00247877	0.000159099
a	0.00491917	0.908455	0.00572717	0.0510233	0.000686406	0.00482455	0.000427487	0.0149405	0.00552447	0.00347149
b	0.445536	0.442322	0.0312832	0.00824241	0.00192787	0.00666379	0.00270194	0.0067257	0.00780801	0.0467894
í	0.103076	0.448885	0.0672764	0.104479	0.00611604	0.0316008	0.0112499	0.120121	0.0644159	0.0427805
b	0.124958	0.410498	0.103099	0.0648431	0.0211901	0.0145394	0.00734184	0.106064	0.0385638	0.108902
í	0.053137	0.602137	0.0234418	0.11019	0.00324354	0.0100063	0.00272537	0.151688	0.0285885	0.0148429
i	0.198656	0.392987	0.111956	0.132635	0.00985236	0.0206348	0.00610516	0.062162	0.023887	0.0411257
d	0.0252028	0.0176221	0.526985	0.154171	0.00271542	0.0336349	0.0264086	0.00492908	0.0119696	0.196362
w	0.00480493	0.00458944	0.760864	0.100248	0.000626969	0.0316971	0.0249415	0.00250947	0.00108398	0.0686347
z	0.0112382	0.000434759	0.923795	0.023568	0.00193753	0.00880678	0.021501	0.00034807	0.000162647	0.00820789
a	0.0141646	0.00251815	0.778688	0.047271	0.00523804	0.043094	0.0699873	0.00176156	0.00142578	0.0358512
m	0.0128519	0.00661771	0.331735	0.450003	0.00988203	0.0298996	0.0244033	0.0293113	0.0044167	0.100879
b	0.00563853	0.00646081	0.0824947	0.829185	0.00685296	0.0282154	0.00157665	0.0247603	0.00326301	0.0115526
v	0.001424	0.00670476	0.0283521	0.91735	0.00353009	0.0116629	0.00174719	0.0256979	0.000912269	0.00261902
á	0.00203697	0.00246989	0.0309875	0.925638	0.00491352	0.00556657	0.000665819	0.0236194	0.000266086	0.00383636
a	0.0263249	0.0117386	0.019519	0.828802	0.0249597	0.026154	0.00218291	0.0366563	0.00223807	0.0214243
n	0.0112654	0.00468042	0.0476062	0.195085	0.48423	0.107839	0.0362059	0.042085	0.0358954	0.0351084
g	0.00734618	0.000667693	0.00919034	0.0185712	0.949019	0.00287515	0.00244308	0.0043298	0.00108727	0.00447073
a	0.00116921	0.000427837	0.00230504	0.00362985	0.980093	0.00273726	0.00363831	0.00385791	0.000914932	0.00122618
l	0.00302315	0.000468027	0.0292993	0.0322933	0.765522	0.0288012	0.0412728	0.032105	0.00529306	0.0619224
a	0.0279231	0.00944647	0.0352736	0.0651026	0.534493	0.164556	0.048632	0.0378185	0.0174236	0.059331
b	0.00741688	0.000758122	0.0153834	0.027191	0.194105	0.285762	0.169458	0.0932036	0.0579319	0.14879
í	0.00843575	0.0302394	0.00845413	0.0340548	0.0562363	0.485029	0.0949524	0.0602063	0.175994	0.0463973
i	0.0112482	0.0187345	0.00501094	0.0275198	0.247236	0.178299	0.0969235	0.174651	0.156775	0.0836014
b	0.000651745	0.000163843	0.00263735	0.00441604	0.0163136	0.224567	0.396647	0.0544836	0.11979	0.180331
í	0.000488606	0.00601	0.00369767	0.021717	0.00631825	0.333927	0.281595	0.116115	0.200671	0.0294602
i	0.00122344	0.00160433	0.00250849	0.00499906	0.0252801	0.182233	0.331453	0.0908053	0.116503	0.24339
d	0.000433945	8.26559e-05	0.00200466	0.0019223	0.00482994	0.0473182	0.436096	0.060463	0.119163	0.327686
w	0.00019261	1.92072e-05	0.00149342	0.000910241	0.00392334	0.0346244	0.342526	0.0441616	0.0136619	0.558488
z	0.00193677	6.9657e-05	0.00747796	0.00250297	0.00776628	0.0676051	0.793913	0.0215463	0.0105811	0.086601
a	0.000300946	3.42536e-05	0.00684548	0.0010275	0.00212787	0.0486619	0.849032	0.00946804	0.00551329	0.0769886
m	0.000242731	6.00596e-05	0.00225605	0.00117908	0.00163022	0.0617849	0.316322	0.0752699	0.0296596	0.511596
b	0.000725589	0.000299115	0.00522147	0.00490638	0.00154819	0.0742194	0.323706	0.190843	0.130089	0.268442
v	0.0011965	0.00121645	0.00408147	0.0269837	0.00425135	0.0503687	0.17894	0.512638	0.052591	0.167734
á	0.0175091	0.0043579	0.0159815	0.0626427	0.0100317	0.0783668	0.199577	0.269392	0.0211936	0.320948
a	0.000844087	0.00015257	0.00125863	0.00190443	0.00181248	0.0346478	0.152186	0.0896332	0.035625	0.681935
a	0.00684357	0.00148926	0.00389113	0.00770023	0.0098756	0.0170746	0.0542913	0.241112	0.310742	0.34698
p	0.0086327	0.00222642	0.0126847	0.0167891	0.0153592	0.0552248	0.0708332	0.198598	0.402621	0.217031
é	0.000378555	0.000480613	0.00307005	0.0010731	0.00263655	0.0272009	0.312715	0.0347455	0.0980899	0.51961
n	0.000278191	8.97403e-05	0.000375781	0.000205348	0.00159528	0.0158377	0.162006	0.0352582	0.0676496	0.716704
d	0.000508416	0.000215243	0.00150815	0.00150748	0.00893771	0.0257751	0.185789	0.0744908	0.160417	0.540852
i	0.00126737	0.000348787	0.00262752	0.00125899	0.0193726	0.014395	0.15507	0.0766465	0.0707568	0.658257
</S>	0.00161363	0.000364312	0.0028692	0.00396594	0.0119451	0.0107801	0.115031	0.257274	0.170378	0.425778
