 	ma	canne	est	coupée	</S>
n	0.46473	0.457566	0.0496025	0.0185243	0.00957715
g	0.980026	0.0183247	0.000310235	0.00104939	0.000289808
á	0.826856	0.163042	0.00200414	0.00705829	0.00104026
o	0.107775	0.800318	0.0369379	0.0206863	0.0342826
p	0.0620482	0.790129	0.0843466	0.0448391	0.0186371
a	0.0114087	0.56141	0.0581908	0.243838	0.125153
n	0.00703929	0.92418	0.041672	0.0204704	0.00663849
g	0.32263	0.612581	0.0205621	0.00993505	0.0342911
e	0.38726	0.517869	0.020155	0.0140067	0.0607096
ó	0.176252	0.14203	0.590802	0.0400633	0.0508526
d	0.169035	0.0479758	0.50777	0.161878	0.113341
í	0.0185279	0.0107605	0.268116	0.201129	0.501467
o	0.0869027	0.0173474	0.273846	0.239633	0.382271
k	0.00183504	0.00386646	0.116252	0.708907	0.16914
y	6.02911e-05	0.0100049	0.0748029	0.799466	0.115666
é	0.0126252	0.0429595	0.0916171	0.710132	0.142667
n	0.00047925	0.00979845	0.11902	0.486011	0.384691
á	0.00244721	0.0107755	0.0488265	0.647297	0.290653
k	0.00903691	0.0183812	0.100502	0.32575	0.546329
y	0.00252469	0.00624449	0.0235782	0.818505	0.149147
e	0.00503931	0.00707952	0.00916669	0.903834	0.0748808
n	0.000517256	0.00792805	0.0165636	0.630443	0.344548
a	0.000619892	0.0134154	0.0209899	0.491978	0.472996
</S>	0.0460101	0.0842743	0.0965436	0.19958	0.573592
