 	on	n'	aime	pas	être	battu	</S>
b	0.68905	0.256261	0.0132508	0.0207167	0.017932	0.00260235	0.00018798
í	0.380709	0.440221	0.0376047	0.030342	0.0847073	0.0233898	0.00302632
s	0.352858	0.427973	0.0606714	0.0686233	0.0759252	0.00659995	0.00734896
í	0.244392	0.678622	0.0346171	0.0178334	0.00418838	0.00683929	0.0135071
l	0.100846	0.219269	0.0972776	0.062657	0.0234966	0.037385	0.459069
e	0.0317222	0.0488402	0.0827342	0.0455204	0.0129126	0.0176001	0.76067
d	0.0391686	0.18851	0.611834	0.0463183	0.00266152	0.0214084	0.0900996
i	0.0201446	0.175782	0.679353	0.0366117	0.00112168	0.00311844	0.0838687
p	0.00862424	0.0141551	0.603002	0.296816	0.0208792	0.00729535	0.049228
ó	0.0105077	0.0428594	0.391715	0.354811	0.100608	0.0226034	0.0768958
s	0.00793744	0.0300446	0.477733	0.301691	0.0955417	0.0204954	0.0665575
á	0.0179095	0.0271597	0.343222	0.445813	0.0747949	0.0317213	0.0593792
b	0.0300081	0.0174214	0.0420958	0.345501	0.438607	0.109666	0.0167011
á	0.059434	0.0183103	0.0676943	0.116032	0.503752	0.22043	0.0143472
a	0.0282137	0.00330088	0.0132137	0.0805577	0.79022	0.0647515	0.0197428
b	0.00353922	0.0071077	0.031588	0.133696	0.288754	0.311903	0.223412
έ	0.0125194	0.00647784	0.012817	0.0428448	0.499464	0.390379	0.0354986
r	0.00826815	0.00321803	0.0129004	0.131525	0.182291	0.333477	0.32832
έ	0.0112644	0.00813852	0.0144378	0.22498	0.0935342	0.361552	0.286092
b	0.00835059	0.00259024	0.026976	0.190016	0.13972	0.150647	0.4817
í	0.0337806	0.00632968	0.0109517	0.0636133	0.658451	0.181908	0.0449648
s	0.0135436	0.00203161	0.00549417	0.0568633	0.463591	0.202916	0.25556
í	0.0116398	0.00812677	0.0178184	0.0229825	0.0170984	0.320753	0.601582
k	0.0045053	0.00187981	0.015898	0.0451101	0.0452332	0.249417	0.637957
a	0.00168211	0.00258303	0.0208356	0.0398307	0.148426	0.732455	0.0541883
k	0.00107834	0.000498672	0.00626021	0.0209162	0.0523746	0.477742	0.44113
á	0.00326946	0.00114185	0.00924159	0.0344446	0.0778677	0.420185	0.45385
</S>	0.0032183	0.00113719	0.0150713	0.0254833	0.0517207	0.212505	0.690864
