 	tsimba	est	en	train	de	fléchir	une	branche	d'	arbre	pour	fabriquer	un	piège	</S>
t	0.886796	0.100341	0.00391818	0.00297029	0.00288543	0.000252094	0.000870596	0.000258313	0.000566279	0.000649549	0.000168974	0.000153972	0.000138523	2.78563e-05	2.72813e-06
s	0.761715	0.20156	0.0172453	0.0111141	0.0013099	0.000266065	0.00110719	0.000482841	0.000556486	0.00108372	0.000681666	0.00134764	0.000637665	0.000823332	6.88714e-05
i	0.796387	0.106426	0.0179994	0.0242976	0.00273795	0.0121062	0.0157429	0.00364401	0.00403717	0.00500853	0.0031963	0.00431968	0.000947574	0.00241321	0.000736368
m	0.658577	0.233896	0.00824191	0.00294871	0.00225494	0.0188267	0.00370371	0.00615887	0.00363043	0.00515847	0.0046473	0.00194828	0.00245674	0.0018594	0.0456919
b	0.850467	0.0938771	0.0137624	0.00150291	0.0245833	0.00212491	0.00547772	0.00131817	0.00230208	0.000728544	0.00122007	0.000416809	0.000634067	4.08317e-05	0.00154409
a	0.433329	0.375853	0.0697269	0.0125054	0.0321205	0.0194606	0.01107	0.00984713	0.00564509	0.00431389	0.00469938	0.00319551	0.0033573	0.00086937	0.0140062
b	0.0123279	0.189182	0.444825	0.0514479	0.0904662	0.0489563	0.0185992	0.0172831	0.0207831	0.0105848	0.0136087	0.00705465	0.0187533	0.00126791	0.0548599
ó	0.0101174	0.0781541	0.284509	0.102064	0.178742	0.00959412	0.0341563	0.0663224	0.0319185	0.0412754	0.0328503	0.0823295	0.0193478	0.0101701	0.0184488
l	0.0101062	0.0672744	0.364023	0.136852	0.16524	0.0895152	0.03959	0.0210686	0.0227741	0.0171397	0.0158866	0.0183032	0.0174394	0.00354023	0.0112474
á	0.00537158	0.0510718	0.0959581	0.0073666	0.221774	0.0897463	0.055286	0.0284034	0.0870374	0.0313978	0.0527309	0.0445127	0.0494095	0.00317922	0.176754
a	0.0141964	0.125838	0.165932	0.0230264	0.445121	0.0508603	0.0563062	0.035707	0.0143648	0.0110303	0.0116433	0.0114379	0.011062	0.00263714	0.0208372
f	0.00287941	0.00369681	0.00543173	0.00119867	0.0480515	0.915185	0.0128343	0.00272411	0.00166063	0.00144044	0.00117161	0.000465593	0.000591876	0.000405211	0.00226318
ú	0.00476892	0.00350187	0.00993806	0.00205281	0.0426344	0.888587	0.0241441	0.00687239	0.00300288	0.00257904	0.00257772	0.000819315	0.0011832	0.000174026	0.00716392
r	0.0019323	0.00201964	0.00661583	0.000422693	0.00426462	0.948875	0.0137221	0.00171807	0.00202349	0.00318847	0.00362924	0.00203406	0.00147221	0.00019072	0.00789193
á	0.0116579	0.0186967	0.0133348	0.000226539	0.0867748	0.525128	0.155802	0.0531774	0.0405412	0.0224542	0.0230832	0.00364873	0.0141057	0.000189824	0.0311797
é	0.00191989	0.00383809	0.0201659	0.0021922	0.120486	0.183953	0.398711	0.20739	0.0341542	0.0140734	0.00469902	0.00299649	0.00259071	0.00146226	0.00136831
t	0.00125596	0.00581449	0.00553269	0.000364943	0.0505496	0.0652252	0.34225	0.26433	0.145013	0.0711572	0.0219963	0.0141817	0.00614961	0.00323882	0.00294092
á	0.000497352	0.00305947	0.00317497	0.000267307	0.0103065	0.0558008	0.270654	0.432737	0.0774716	0.0857881	0.0332843	0.00968349	0.00475159	0.00675495	0.00576871
b	0.000771846	0.00249421	0.0099958	0.00355823	0.0131473	0.0638089	0.176023	0.547465	0.0353217	0.0422253	0.0242821	0.0126936	0.00694978	0.00457889	0.0566844
h	0.000201533	0.00260808	0.00251738	0.000584597	0.00774706	0.0262139	0.129652	0.600577	0.0499556	0.0671552	0.0285078	0.0152157	0.00773804	0.00857862	0.0527473
e	0.0118936	0.00753034	0.0438802	0.0511079	0.0268524	0.0163569	0.208343	0.363244	0.0531103	0.0259388	0.0175357	0.031822	0.00816238	0.00717531	0.127047
y	0.000607762	0.00103768	0.00350787	0.000418543	0.00403492	0.00790861	0.0521767	0.200223	0.256265	0.282785	0.0939839	0.0372527	0.0148828	0.00795073	0.0369641
í	0.0116638	0.00981151	0.0116442	0.000271928	0.0333216	0.00685941	0.161328	0.042033	0.403274	0.0957825	0.0905209	0.032424	0.0252426	0.0137351	0.0620871
b	0.000961845	0.000579047	0.00127733	8.65982e-05	0.00540241	0.00176385	0.0430824	0.0266392	0.434338	0.226488	0.153514	0.0486363	0.0189475	0.0173797	0.0209042
v	0.00435832	0.00580169	0.0037054	0.000970631	0.0021279	0.00137701	0.00547827	0.0389294	0.0895757	0.398848	0.164238	0.161336	0.0128329	0.102142	0.00827916
ú	7.35226e-05	0.000127706	0.000993521	0.00119034	0.000330604	0.000812432	0.00404138	0.0453328	0.0606376	0.342046	0.148925	0.230969	0.0200671	0.134616	0.00983672
a	0.000483914	8.33866e-05	0.000304559	0.000125595	0.000388842	0.00075357	0.0167638	0.0526775	0.176963	0.388857	0.27815	0.0379255	0.0290296	0.0105832	0.00691019
m	2.73683e-05	0.00016738	0.000540345	6.2976e-06	0.00219816	0.00228386	0.00388133	0.00630925	0.14781	0.164907	0.313957	0.118906	0.170104	0.00511717	0.0637857
í	0.00226449	0.000813673	0.000781476	4.0046e-05	0.00670554	0.00157662	0.0106373	0.00994614	0.0711644	0.053055	0.202087	0.0458021	0.190396	0.0108743	0.393856
k	0.000551727	0.000923768	0.00227773	0.000123911	0.00605918	0.00117005	0.00492354	0.00448891	0.0449213	0.0614007	0.143292	0.22492	0.165714	0.268835	0.0703979
y	0.00084875	0.000714742	0.000815775	0.00013795	0.000416158	0.00243275	0.0032297	0.00756507	0.015727	0.108536	0.194274	0.187274	0.0330216	0.393169	0.0518372
a	0.00101081	0.000149298	0.000515907	0.000590407	0.000128866	0.000365513	0.00178591	0.0036492	0.0066995	0.0333387	0.0622689	0.120909	0.0273934	0.703133	0.0380613
l	0.000120906	4.28492e-05	0.000441454	0.000202463	0.00018066	0.000994927	0.00238292	0.00578914	0.0214524	0.106272	0.211234	0.150725	0.133347	0.13613	0.230684
á	0.000111769	0.000121523	0.000690397	0.000149128	0.000823075	0.00288019	0.0050101	0.00644781	0.029606	0.061421	0.170079	0.172294	0.222963	0.0755477	0.251856
b	0.000429368	0.000559328	0.00197363	8.46913e-05	0.00573191	0.00505584	0.00727963	0.00665474	0.0304312	0.022804	0.0591114	0.0635833	0.328143	0.0759258	0.392232
ó	0.000408305	0.00135465	0.00281781	0.000737252	0.00145739	0.000466094	0.00314861	0.0206562	0.0165104	0.0583586	0.0845082	0.123768	0.113873	0.478164	0.0937723
y	0.000242364	0.000136504	0.000903399	0.00130286	0.00050378	0.000462751	0.00295609	0.00828825	0.0132338	0.0315949	0.0582384	0.12491	0.0890964	0.520621	0.147509
a	0.000507565	0.000268951	0.000751082	4.03555e-05	0.00145889	0.00302281	0.0152035	0.0107665	0.0452407	0.0430828	0.127755	0.107725	0.155242	0.362267	0.126668
</S>	8.60199e-05	6.01564e-05	0.000699278	2.82654e-05	0.000749708	0.000680596	0.00338257	0.00112124	0.0111218	0.00801142	0.0297642	0.0751029	0.153185	0.167914	0.548093
