 	on	lui	a	administré	la	poudre	noire	là	où	le	serpent	l'	a	mordu	</S>
á	0.652889	0.128703	0.121587	0.0276394	0.0254077	0.00296163	0.00831783	0.00316457	0.00528031	0.0086685	0.00824578	0.00370477	0.00172922	0.00164488	5.7048e-05
k	0.00123355	0.00587533	0.0807641	0.894893	0.00705983	0.00241449	0.00072575	0.00034753	0.000854711	0.00172774	0.00118337	0.00112618	0.000548453	0.00107767	0.000168566
a	0.00209205	0.00332897	0.0577107	0.391115	0.0773898	0.169404	0.0640064	0.0247603	0.0398116	0.048417	0.0369214	0.0238057	0.0103167	0.00619799	0.0447216
n	0.00055501	0.00207108	0.0507741	0.799269	0.0739905	0.0320691	0.0082664	0.00342521	0.00476122	0.0062765	0.00346279	0.00326489	0.0028918	0.00169982	0.00722256
i	0.00607337	0.0141177	0.0590551	0.677542	0.0996346	0.0242498	0.0213115	0.0127324	0.0110945	0.0167605	0.0166016	0.0165646	0.0080901	0.00115041	0.0150221
w	0.116026	0.298849	0.096334	0.0176163	0.150708	0.0151723	0.0860276	0.0523051	0.0257536	0.0205643	0.0246509	0.0236992	0.0177677	0.0053499	0.0491752
á	0.0275997	0.0871355	0.144355	0.0725283	0.0555905	0.0349856	0.0727253	0.0698166	0.0674873	0.0882146	0.0995421	0.0891993	0.040381	0.0159559	0.0344832
e	0.0744563	0.102928	0.0375897	0.00495111	0.0680378	0.0203797	0.129942	0.213335	0.114311	0.0763199	0.0439473	0.0371647	0.0265891	0.0053879	0.0446596
b	0.000616466	0.000476191	0.00175003	0.00681775	0.014104	0.25457	0.196589	0.178557	0.106627	0.0990057	0.0705643	0.0466672	0.00850209	0.0119635	0.00318988
o	0.00159716	0.00076536	0.00223231	0.000344411	0.0162719	0.17074	0.246356	0.218158	0.109276	0.081797	0.0624217	0.0558843	0.0101683	0.0165149	0.00747315
m	7.34253e-05	0.000184513	0.000643008	0.000699011	0.0177344	0.212864	0.262996	0.186554	0.0580985	0.0569041	0.0661683	0.0561964	0.00881342	0.00505887	0.0670121
i	0.000826013	0.000527879	0.000532726	0.000125107	0.0218331	0.137542	0.318073	0.27416	0.0548263	0.064206	0.0607504	0.0469939	0.0108398	0.000830772	0.00793343
m	0.000448077	0.00180129	0.00399106	0.00117549	0.0542871	0.0258795	0.0913009	0.189927	0.162571	0.151921	0.0969073	0.130463	0.0462874	0.0034798	0.0395592
é	0.002831	0.00141395	0.000226171	4.57829e-05	0.0115875	0.0353665	0.161064	0.256177	0.0978763	0.0967267	0.0468256	0.0757002	0.109251	0.00496715	0.0999418
b	0.000723758	0.00136147	0.00178857	0.000547163	0.0183716	0.018394	0.0593762	0.105391	0.141743	0.196401	0.128385	0.180803	0.0937826	0.0414191	0.0115135
é	0.00202412	0.00123413	0.00252966	0.000104753	0.00504423	0.013725	0.0399349	0.103832	0.140848	0.13056	0.0876011	0.163733	0.0638429	0.217417	0.0275686
e	0.00010083	0.000635657	0.00078763	3.86994e-05	0.00295418	0.00712346	0.0398703	0.122115	0.130598	0.105524	0.129866	0.175992	0.069722	0.131723	0.0829497
y	0.000118413	0.000705573	0.00139329	0.000326895	0.00405608	0.00252261	0.0105538	0.0595488	0.104786	0.131336	0.0915787	0.1563	0.296178	0.0741919	0.0664033
é	0.00134826	0.00277216	0.00269961	0.00158584	0.0179745	0.00599585	0.021839	0.0561313	0.125409	0.131993	0.0933227	0.206466	0.203611	0.0425201	0.0863304
é	0.00133651	0.00398135	0.00384272	0.00114763	0.00832557	0.00196653	0.00986856	0.037873	0.111603	0.135573	0.115205	0.191949	0.228511	0.0713132	0.0775027
t	0.000352018	0.000858739	0.00498787	0.00208853	0.00886364	0.0044442	0.00486825	0.0168843	0.0536716	0.0653886	0.0341964	0.0753383	0.366945	0.279952	0.0811597
έ	2.2393e-05	0.000194459	0.00378441	0.000648748	0.00326035	0.00325602	0.0039398	0.0144562	0.0345465	0.0461193	0.0550214	0.0747408	0.100093	0.546438	0.113479
n	0.000103833	0.000401877	0.000687615	0.000291544	0.00217635	0.00279334	0.015841	0.0443422	0.0646355	0.0693106	0.12054	0.106471	0.0999366	0.154828	0.317641
d	0.000911332	0.00100705	0.000706708	0.000383866	0.0027922	0.00230184	0.014586	0.0327605	0.1	0.0898418	0.111403	0.157175	0.169393	0.229514	0.0872236
z	0.000743955	0.000740648	0.000492457	0.000582162	0.00197781	0.00147112	0.00938415	0.0221984	0.0706914	0.0813398	0.0887371	0.141489	0.151713	0.283281	0.145157
ώ	4.72634e-05	8.93465e-05	5.46035e-05	0.000765179	0.00135383	0.00943165	0.0263278	0.0612207	0.103416	0.106259	0.162149	0.141726	0.0486422	0.0644359	0.274081
w	0.00058134	0.00204042	0.000975395	0.000124187	0.00383579	0.000306509	0.00548712	0.0358232	0.0811405	0.070703	0.0763315	0.129976	0.256546	0.0525936	0.283536
a	0.00540909	0.00423473	0.00352815	0.000212578	0.00363549	0.00296936	0.00987346	0.043754	0.107585	0.111819	0.154555	0.156721	0.178997	0.16035	0.0563559
</S>	0.00223544	0.00300231	0.00188859	0.000114916	0.00296406	0.000351981	0.00329641	0.011585	0.0337989	0.0337067	0.0467941	0.0610892	0.214117	0.0974493	0.487606
