 	le	chasseur	a	dépouillé	la	gazelle	</S>
o	0.918614	0.0615217	0.00316144	0.000114793	0.00383924	0.012539	0.000210121
b	0.223929	0.768555	0.00357686	0.000860214	0.000711374	0.00170993	0.000657396
e	0.323571	0.670028	0.00106059	0.000652501	0.000943851	0.0036222	0.00012196
n	0.383269	0.595449	0.00140654	0.00839022	0.00158993	0.000166675	0.00972899
g	0.86473	0.0939434	0.0175255	0.00569886	0.00582618	0.000977306	0.0112989
i	0.599801	0.365359	0.0201649	0.00748084	0.00271442	0.00136314	0.00311688
á	0.172287	0.0221102	0.719247	0.0522801	0.00981961	0.000367161	0.0238888
b	0.00918159	0.00169026	0.28576	0.671231	0.0188096	0.0061795	0.00714838
h	0.000809008	0.00458989	0.0618096	0.912678	0.0115792	0.000759097	0.00777568
a	0.0465576	0.00204943	0.0458691	0.889473	0.0138508	0.00153472	0.000664856
r	0.00121516	0.000685197	0.0251568	0.894704	0.0251628	0.0286687	0.0244071
i	0.0295999	0.00179191	0.191964	0.328348	0.241803	0.0933066	0.113187
t	0.0126938	0.00176752	0.177887	0.122563	0.486698	0.124853	0.0735377
s	0.00874997	0.000280019	0.0295682	0.0428633	0.377231	0.448966	0.092341
έ	0.000413384	4.31945e-05	0.00293499	0.0567484	0.113539	0.817202	0.00911899
s	0.000468394	6.06978e-05	0.0134181	0.0561552	0.201067	0.34844	0.380391
i	0.000356733	1.30261e-05	0.00503584	0.0224809	0.560153	0.16546	0.246501
e	0.00400744	5.33228e-05	0.0131647	0.00358918	0.403285	0.0664975	0.509403
k	0.00292396	0.000219745	0.00821626	0.00746851	0.213443	0.511116	0.256612
ó	0.00065805	0.000280643	0.00172798	0.00514642	0.144674	0.79669	0.0508225
r	0.000282679	3.9051e-05	0.000968693	0.0083214	0.026736	0.940996	0.0226565
ó	0.000996247	0.000296576	0.0027647	0.0387154	0.0857872	0.692857	0.178582
</S>	0.0055083	0.000758034	0.0332584	0.00972694	0.241047	0.0687767	0.640925
