 	il	agrandit	le	trou	</S>
w	0.944609	0.0420678	0.011331	0.00167414	0.000318612
a	0.908386	0.0105219	0.074104	0.0061605	0.000827053
l	0.767916	0.128218	0.0696458	0.00546542	0.0287548
á	0.387263	0.086286	0.161557	0.0193169	0.345578
a	0.519584	0.0961969	0.15235	0.0498413	0.182027
n	0.0336457	0.925153	0.01228	0.0144283	0.0144926
y	0.00705924	0.986411	0.00242574	0.00167009	0.00243347
ε	0.0473768	0.942517	0.00453406	0.000908364	0.00466341
n	0.0515056	0.722969	0.127166	0.0279581	0.0704015
g	0.192506	0.750644	0.0229139	0.00460254	0.0293334
έ	0.584591	0.373935	0.0301606	0.00221006	0.00910318
s	0.044213	0.181719	0.597832	0.0825773	0.0936589
έ	0.0164535	0.0885657	0.428323	0.099445	0.367212
i	0.0389279	0.0122021	0.523388	0.389549	0.0359328
b	0.00611352	0.0210294	0.0283286	0.931963	0.0125658
é	0.00339779	0.000792619	0.0230682	0.963501	0.00924013
á	0.00391839	0.00586826	0.021592	0.883963	0.0846588
</S>	0.00792037	0.00420668	0.18545	0.221671	0.580752
