 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
w	0.943914	0.00653129	0.0129258	0.00522502	0.00866358	0.00958543	0.00483301	0.0067245	0.00154284	5.49535e-05
a	0.849011	0.000765324	0.0389711	0.0117358	0.0298253	0.0393835	0.00381531	0.00954025	0.0169067	4.54263e-05
l	0.555364	0.149366	0.12437	0.0563101	0.0362038	0.00877365	0.0286265	0.027059	0.00499881	0.00892816
á	0.0872053	0.0368692	0.104293	0.0571134	0.0779948	0.0459028	0.129952	0.0706417	0.0380774	0.35195
a	0.172423	0.0364944	0.0914575	0.045148	0.0536716	0.0305563	0.0919935	0.0681393	0.107257	0.302859
p	0.011818	0.932681	0.0082204	0.0204398	0.00759402	0.000863534	0.00318673	0.00280866	0.00133115	0.0110572
έ	0.00259995	0.984681	0.00367753	0.00162806	0.00279483	0.000191955	0.000640678	0.000461429	0.000150935	0.00317351
a	0.0765656	0.654176	0.14743	0.0309245	0.0203792	0.00467231	0.00779635	0.00874604	0.00520672	0.0441032
n	0.0186786	0.0520986	0.57761	0.239055	0.048226	0.0261618	0.0119881	0.0109418	0.00375241	0.0114884
y	0.0153942	0.00314178	0.288554	0.63466	0.0210546	0.00461672	0.00809257	0.00268856	0.00650604	0.0152922
a	0.00142072	0.0021227	0.0325972	0.93793	0.0164883	0.00227657	0.00302266	0.00107033	0.00131866	0.00175279
m	0.00356211	0.0306165	0.135105	0.528483	0.172773	0.0198075	0.0302256	0.0165444	0.028987	0.0338962
a	0.0646497	0.00984094	0.210461	0.178304	0.304364	0.0752272	0.0740611	0.0136031	0.0145905	0.0548984
p	0.0362007	0.0343627	0.204016	0.133293	0.269083	0.11002	0.124111	0.0400979	0.00442184	0.0443948
ó	0.0243294	0.168353	0.117922	0.0234833	0.165393	0.21501	0.166264	0.0360207	0.0141913	0.0690333
s	0.00136759	0.230554	0.0476925	0.0160335	0.223005	0.0630931	0.14711	0.0690432	0.0120464	0.190054
á	0.00342713	0.0414951	0.0893829	0.0585935	0.292724	0.239265	0.147413	0.0422449	0.0459177	0.0395369
ω	0.0062632	0.005782	0.0535892	0.0491936	0.162847	0.257326	0.270987	0.122045	0.0318029	0.040163
y	0.0018325	0.0584236	0.0187007	0.0795895	0.214641	0.0768332	0.226297	0.220306	0.0767403	0.0266368
a	0.00117825	0.0182645	0.0228677	0.345978	0.143606	0.053223	0.123808	0.175872	0.0468269	0.0683762
a	0.000289032	0.00199139	0.0152392	0.0885775	0.106334	0.0369713	0.180353	0.17632	0.0448961	0.349028
m	0.000529624	0.00191318	0.0177349	0.0067999	0.0605197	0.0890993	0.258776	0.35031	0.0476974	0.166619
ó	0.00443576	0.000323008	0.0490149	0.0245471	0.0618586	0.0431101	0.156075	0.317513	0.0752422	0.26788
b	0.00136827	0.0011811	0.0189507	0.0107354	0.0414304	0.0464397	0.176214	0.321222	0.287492	0.0949669
ó	0.005376	0.000738986	0.0335389	0.00330668	0.045518	0.125994	0.0667278	0.186861	0.487085	0.0448537
y	0.000411207	0.00166712	0.0160094	0.00384763	0.0387428	0.128591	0.126262	0.170957	0.40419	0.109321
a	0.000935165	0.0452864	0.0114084	0.0141196	0.0543457	0.0437136	0.201126	0.25755	0.221616	0.149898
m	0.00110153	0.00195353	0.00884545	0.00470697	0.0212835	0.0215766	0.100016	0.230864	0.145469	0.464183
ó	0.00330281	0.000713384	0.0201798	0.0120553	0.0565613	0.0626643	0.144747	0.42068	0.145301	0.133795
ω	0.00353956	0.000619693	0.0216494	0.00494043	0.015203	0.0309813	0.0747805	0.218924	0.468887	0.160475
n	0.00119658	0.00706183	0.00910514	0.00764578	0.0243622	0.00656981	0.0320428	0.268056	0.329904	0.314056
g	0.000823134	0.000433094	0.0204749	0.0640732	0.0221891	0.0028951	0.0206625	0.0719739	0.522042	0.274433
a	0.000172397	0.000467793	0.00488252	0.0459905	0.0146501	0.00286255	0.0290789	0.0679024	0.590735	0.243258
n	1.50981e-05	0.000149975	0.00102897	0.00217587	0.00477324	0.00400298	0.0258654	0.0700918	0.568424	0.323473
g	0.00103723	0.00307168	0.0125448	0.0201013	0.0333864	0.0045099	0.0307232	0.0837102	0.382435	0.42848
a	0.000808686	0.000299791	0.00372244	0.016391	0.0159755	0.00563372	0.0534248	0.045282	0.5692	0.289262
</S>	0.000663237	0.00102319	0.00795294	0.00515972	0.0179894	0.00872931	0.0448333	0.15959	0.233781	0.520278
