 	nous	célébrons	le	rite	des	jumeaux	</S>
b	0.910769	0.0590544	0.0271588	0.00102732	0.000384487	0.000555721	0.00105011
í	0.855997	0.119271	0.020268	0.00191245	0.00181046	0.000163752	0.000576686
s	0.944557	0.0448469	0.00962278	0.000670983	0.000241474	1.41615e-05	4.68697e-05
í	0.864952	0.102694	0.0258985	0.00117794	0.00104864	3.73966e-05	0.00419157
l	0.0642179	0.25291	0.307033	0.0755426	0.025649	0.00731347	0.267334
é	0.0274469	0.145464	0.0805686	0.2737	0.095637	0.0116931	0.36549
e	0.00233917	0.176259	0.0601507	0.744814	0.00945266	0.00114276	0.00584173
s	0.00348304	0.229802	0.0913525	0.59556	0.0448587	0.0239791	0.0109644
é	0.000204418	0.0246575	0.0117734	0.936864	0.0190379	0.00539246	0.00206975
á	0.000486924	0.0309835	0.104883	0.446462	0.243012	0.0612461	0.112927
o	0.00505438	0.00799549	0.0766872	0.146305	0.403936	0.280239	0.0797828
k	0.000278174	0.0123714	0.00268439	0.020567	0.101434	0.839266	0.023399
y	5.09987e-05	0.00273818	0.00223853	0.00132621	0.0180523	0.941458	0.0341356
é	0.000437858	0.00179768	0.0106011	0.00233947	0.00846353	0.88402	0.0923405
r	0.000224401	0.00122914	0.018199	0.00286232	0.089297	0.439387	0.448801
a	0.000453007	0.00371219	0.00800255	0.00133115	0.0630383	0.129301	0.794162
</S>	0.00202947	0.00195768	0.0262071	0.00580144	0.0515041	0.0235768	0.888923
