 	il	n'	a	pas	répondu	quand	je	l'	ai	appelé	</S>
w	0.763729	0.157382	0.0376147	0.0315717	0.00729669	0.000524368	0.000649036	0.000556074	0.000512044	0.000122972	4.14819e-05
a	0.657747	0.223856	0.0540587	0.0484865	0.0037234	0.000935085	0.00146716	0.00327065	0.00535862	0.00105667	4.04447e-05
á	0.131705	0.468926	0.279341	0.0284483	0.0483986	0.0161695	0.0142135	0.00744298	0.00332726	0.00010847	0.00191957
y	0.0109969	0.122743	0.223726	0.101201	0.441078	0.0221049	0.0224942	0.00505167	0.0130613	0.00933562	0.0282072
i	0.00475714	0.0498751	0.159242	0.0555609	0.610735	0.0050128	0.0407	0.00285626	0.0058655	0.00104081	0.0643548
r	0.00270468	0.0200853	0.0952772	0.0559334	0.788184	0.00797166	0.00947363	0.00282596	0.00147063	0.000361633	0.0157118
i	0.015434	0.0547305	0.17131	0.0925428	0.633812	0.00435141	0.00808277	0.00633261	0.00631176	0.00035642	0.00673539
i	0.119613	0.0857755	0.238961	0.221176	0.121618	0.0765044	0.0320666	0.0234705	0.0166658	0.00625822	0.0578909
n	0.027083	0.0726971	0.161709	0.226603	0.128296	0.170002	0.136851	0.027955	0.0136669	0.0254876	0.00965017
g	0.0793826	0.0434861	0.0640466	0.0578366	0.12022	0.0712534	0.475685	0.0288806	0.0320339	0.00254003	0.0246354
á	0.0630099	0.049687	0.0643437	0.0329917	0.108256	0.077378	0.548909	0.0245171	0.0175359	0.00389659	0.00947568
é	0.0100607	0.0336458	0.0984028	0.0870514	0.0468444	0.482466	0.111551	0.0651823	0.0284351	0.00791902	0.0284409
d	0.000269953	0.0051918	0.0144835	0.0290082	0.0735581	0.734625	0.104796	0.0185501	0.00672486	0.00604346	0.00674917
z	0.00049851	0.00180979	0.00814492	0.0101782	0.038392	0.54061	0.111922	0.0495376	0.0197714	0.0186771	0.200459
e	0.00189884	0.002797	0.00763818	0.00707363	0.00752138	0.901776	0.0286592	0.0251905	0.00444887	0.00132699	0.0116691
n	0.00171638	0.00529153	0.0412899	0.0833493	0.0162825	0.236343	0.314303	0.152109	0.068015	0.0316605	0.0496399
g	0.000832269	0.00102711	0.00212481	0.00168291	0.000911121	0.0240818	0.837707	0.0689113	0.0340642	0.00246365	0.026194
á	0.000608771	0.00153029	0.00378044	0.00190378	0.00435022	0.0224308	0.854057	0.0670102	0.0333751	0.00194365	0.00900969
l	0.00108875	0.00155806	0.00436084	0.00763422	0.00101985	0.0897206	0.144161	0.518155	0.172535	0.0347261	0.0250398
ó	0.00134776	0.00178907	0.00505767	0.00358559	0.00410476	0.0396929	0.378135	0.202993	0.109107	0.0437692	0.210418
b	0.00335984	0.00331569	0.00602657	0.00326193	0.00359155	0.0966501	0.158605	0.2726	0.152491	0.147639	0.152458
é	0.000793613	0.00175181	0.00614154	0.0305902	0.000263083	0.00353201	0.0095455	0.0417911	0.0456868	0.843627	0.0162773
a	0.000172039	0.000529766	0.00374565	0.0109883	0.00059287	0.0279793	0.0465425	0.102978	0.080175	0.440304	0.285992
w	0.000196203	0.00104461	0.00328823	0.00191648	0.000794591	0.00933566	0.0218115	0.100195	0.218817	0.215656	0.426945
a	0.00312744	0.00433628	0.0179163	0.0232058	0.00106664	0.0202472	0.0383494	0.293268	0.171001	0.1954	0.232083
</S>	0.000823585	0.00044215	0.0021673	0.00227577	0.000781793	0.00852974	0.036145	0.0997706	0.167836	0.24375	0.437479
