 	si	tu	manges	beaucoup	de	légumes	à	feuilles	tu	prendras	du	poids	</S>
w	0.904821	0.0714724	0.00278097	0.00275496	0.00470744	0.00189985	0.00422516	0.00564345	0.000770856	5.39131e-05	0.000264614	0.000524361	8.14202e-05
á	0.871313	0.069533	0.0150923	0.00959734	0.00910847	0.00957229	0.00651042	0.00385453	0.00433687	0.000167225	0.000773068	0.00010877	3.27445e-05
á	0.290934	0.102541	0.174684	0.0353803	0.0505756	0.147993	0.0514168	0.0410004	0.0474074	0.00996994	0.0056725	0.00371614	0.0387089
l	0.148704	0.577416	0.150295	0.0389203	0.020466	0.0079664	0.010334	0.0051289	0.0113438	0.0100511	0.0026169	0.000863813	0.0158942
ó	0.0807244	0.239716	0.21607	0.080599	0.036044	0.0309933	0.0331832	0.00319456	0.120165	0.0669185	0.00922706	0.000136673	0.0830279
o	0.110026	0.258034	0.217131	0.148318	0.0731728	0.0332881	0.0295568	0.00612021	0.0385998	0.0150713	0.0167559	0.00107349	0.0528525
d	0.00138386	0.0220977	0.8431	0.0810125	0.00963071	0.00892755	0.00234902	0.00130592	0.00246654	0.017496	0.00160171	0.00146863	0.00716003
z	0.000460214	0.00403813	0.90611	0.0645939	0.00452104	0.00270244	0.00100651	0.000726897	7.71644e-05	0.00910138	0.000505979	0.000389354	0.00576732
á	0.0215999	0.0427331	0.866847	0.0473484	0.00852676	0.00785887	0.000986335	0.000461729	0.000192689	0.000958449	0.000329873	0.000341802	0.00181507
á	0.00135754	0.00611575	0.0687567	0.25793	0.236005	0.056558	0.0615186	0.0957823	0.00644635	0.0104155	0.0382662	0.0369777	0.12387
a	0.0101491	0.0751854	0.0366107	0.238772	0.399175	0.109547	0.0462123	0.0637961	0.0107822	0.00298549	0.00326603	0.000726129	0.00279188
t	0.000899687	0.0109066	0.0879554	0.324516	0.267475	0.171644	0.0359998	0.0591299	0.00757133	0.0242055	0.00388868	0.00215995	0.00364868
u	0.00017955	0.00205441	0.0439951	0.275643	0.202898	0.176294	0.0570245	0.183006	0.00765485	0.00618619	0.00654314	0.020891	0.0176307
n	0.000137421	0.00308881	0.0323234	0.196212	0.185608	0.0945858	0.0494645	0.0891551	0.00722796	0.00629539	0.0378402	0.141714	0.156348
g	0.00347798	0.014048	0.0353721	0.211926	0.278987	0.18892	0.0780432	0.0419602	0.0167314	0.00446942	0.024112	0.028195	0.0737575
u	0.0272786	0.0474907	0.021609	0.0795419	0.187637	0.308058	0.0600205	0.0247128	0.0366599	0.00366885	0.023032	0.102746	0.0775453
n	0.000429058	0.00243776	0.016122	0.119896	0.224337	0.186282	0.241235	0.079521	0.0522039	0.0300546	0.0104039	0.00209815	0.0349802
ω	0.00409082	0.0144765	0.00409305	0.040102	0.115126	0.212143	0.131773	0.00619116	0.306746	0.0331697	0.0162138	0.00270942	0.113166
l	0.00160546	0.00530121	0.00593659	0.0574986	0.113319	0.102573	0.229692	0.0503386	0.189719	0.174876	0.0142577	0.00161142	0.053272
ó	0.00306689	0.00603601	0.0142999	0.0516441	0.0913904	0.0824621	0.121137	0.0911086	0.117946	0.155457	0.0522244	0.0323805	0.180848
o	0.00199637	0.00433336	0.00400552	0.0282764	0.0853043	0.0561132	0.149209	0.246279	0.138933	0.175346	0.034219	0.0236624	0.0523221
y	8.34052e-05	0.000990736	0.0164916	0.012209	0.00704277	0.0133345	0.036005	0.0703816	0.0350858	0.701412	0.0292865	0.048151	0.0295265
a	4.39101e-05	0.000851777	0.00570837	0.00661397	0.00439535	0.00862349	0.0136814	0.0303464	0.0258006	0.83706	0.0240541	0.030856	0.0119642
á	4.68126e-05	0.000518196	0.00406414	0.0135411	0.0159738	0.0376239	0.0779836	0.03853	0.0422894	0.403918	0.06953	0.0522384	0.243742
l	0.000172641	0.000485228	0.000790707	0.00485251	0.0121924	0.0113332	0.0896154	0.0527148	0.132508	0.189608	0.136743	0.0352137	0.33377
a	0.00166273	0.00225269	0.00151294	0.00870638	0.00939777	0.00817638	0.0399584	0.0283833	0.142085	0.260932	0.173107	0.0147155	0.309111
n	0.000238227	0.000947967	0.000871994	0.00509741	0.010441	0.00805878	0.0484721	0.0355867	0.15764	0.182047	0.234953	0.124967	0.190679
d	0.00197465	0.0101469	0.000514015	0.00381797	0.00608861	0.0139733	0.028422	0.00986245	0.505198	0.217488	0.0914163	0.0271486	0.0839501
z	0.000139134	0.000510932	0.000441055	0.00128617	0.00174185	0.00276783	0.00802873	0.00337104	0.170706	0.441598	0.135789	0.0850508	0.148569
o	3.37534e-05	4.21127e-05	0.000250791	0.000678616	0.00266042	0.016526	0.00922045	0.00131322	0.0255387	0.0407884	0.151496	0.531543	0.219909
r	1.50562e-05	8.01761e-06	2.51852e-05	0.000373306	0.00141094	0.00359122	0.00377337	0.000780191	0.00196067	0.00120626	0.0334808	0.805445	0.14793
o	9.89485e-05	2.63832e-05	8.97219e-05	0.000486277	0.00246637	0.00717635	0.0105614	0.00315816	0.0146873	0.0128008	0.138616	0.639139	0.170694
</S>	0.000193409	0.000408984	0.000522332	0.002587	0.00525971	0.00615567	0.0269251	0.00421364	0.0558691	0.0246013	0.146362	0.0799	0.647002
