 	il	a	mis	un	appât	au	bout	de	sa	ligne	</S>
w	0.909574	0.0684916	0.0114934	0.00154887	0.00273385	0.00215588	0.000922097	0.00140558	0.00146836	0.000178164	2.83418e-05
a	0.907296	0.0570259	0.00422482	0.0122203	0.00209211	0.00296368	0.00284817	0.00361649	0.00753285	0.000146743	3.28516e-05
á	0.105541	0.831946	0.0387854	0.0128658	0.0020178	0.00207958	0.00141569	0.00185461	0.00158343	0.00101227	0.000898542
m	0.0507644	0.588355	0.28813	0.0310227	0.00832175	0.00430721	0.00219364	0.0028503	0.00739033	0.00106781	0.0155967
i	0.0154959	0.269941	0.192939	0.310713	0.144019	0.0210866	0.0119847	0.00868275	0.00714577	0.00345119	0.0145422
k	0.00774412	0.0597394	0.519484	0.217281	0.162858	0.00583968	0.00351249	0.00128096	0.000797415	0.0029904	0.0184727
a	0.00417219	0.0415346	0.508102	0.257577	0.148996	0.00706463	0.0041947	0.00199627	0.000483545	0.00954619	0.0163327
n	0.00198217	0.0491299	0.517181	0.320176	0.10091	0.00337404	0.00160251	0.00102295	0.0003515	0.000698203	0.00357276
á	0.0341259	0.0672838	0.516566	0.314366	0.0231964	0.0123591	0.00345696	0.00267187	0.00108218	0.000894656	0.023997
p	0.0198284	0.0536526	0.0798529	0.316921	0.427134	0.0468617	0.0216328	0.0127798	0.0163478	0.00294093	0.0020479
a	0.0033583	0.00197037	0.0148107	0.175566	0.733311	0.0234744	0.0199581	0.0132635	0.00157353	0.00436873	0.00834534
m	0.000453821	0.00327291	0.0207495	0.0709516	0.778891	0.0544684	0.0272629	0.0173958	0.00349654	0.00604739	0.0170099
b	0.00179354	0.000940764	0.00678261	0.142171	0.28445	0.204507	0.149282	0.127399	0.0408517	0.00372274	0.0380991
o	0.016372	0.00620481	0.0455919	0.227351	0.197245	0.183925	0.110194	0.125818	0.0509144	0.00973832	0.0266455
m	0.00455156	0.00959529	0.0152458	0.0780995	0.0957107	0.533011	0.0963406	0.0946673	0.0287344	0.0368066	0.0072367
ó	0.00617022	0.00128657	0.000839537	0.024806	0.0254954	0.122933	0.195892	0.202153	0.270312	0.0127526	0.137359
i	0.00850369	0.00453477	0.00208791	0.0170243	0.0439316	0.0929096	0.215492	0.206979	0.0848618	0.319708	0.00396768
l	0.00063794	0.00117848	0.00160151	0.00585957	0.0168124	0.0259334	0.0296323	0.0339308	0.00795812	0.87215	0.00430545
ώ	0.000177664	0.00151758	0.00140867	0.00309705	0.0023398	0.00620795	0.01566	0.0234076	0.00807498	0.935735	0.00237333
b	4.81291e-05	0.000293899	0.00030088	0.00102309	0.000638247	0.0127888	0.0124227	0.0313804	0.00473774	0.933825	0.00254097
h	0.00498248	0.00664265	0.015227	0.0156415	0.0123691	0.0674703	0.144211	0.186117	0.099073	0.195451	0.252815
ω	0.00577614	0.00164789	0.00589277	0.024133	0.00564267	0.0508591	0.0831411	0.189726	0.2502	0.247644	0.135337
</S>	0.000313958	8.0671e-05	0.000388667	0.00324343	0.00146461	0.0509661	0.0956001	0.141116	0.350965	0.0342333	0.321628
