 	la	manière	dont	elle	m'	a	griffé	était	brusque	</S>
e	0.276488	0.65753	0.0378087	0.00410112	0.0151625	0.00233737	0.000994712	0.000562761	0.00385322	0.00116184
k	0.0359112	0.0207118	0.110804	0.0874961	0.0746347	0.25798	0.273086	0.0179454	0.114449	0.00698243
w	0.0551453	0.00421963	0.0568216	0.0341512	0.00809033	0.135767	0.269829	0.0422121	0.375088	0.0186757
a	0.00258891	0.0102466	0.237078	0.0949821	0.033044	0.154268	0.338603	0.0288486	0.0908335	0.00950805
n	0.0117178	0.0101941	0.0723426	0.0907445	0.0952901	0.3253	0.312926	0.0269583	0.0225216	0.032005
y	0.0408707	0.0215094	0.0414478	0.0496876	0.07855	0.131999	0.283599	0.0788877	0.0379403	0.235509
í	0.011105	0.0228698	0.0401428	0.0242836	0.0465199	0.119773	0.296245	0.174219	0.0328864	0.231956
l	0.210497	0.112384	0.145054	0.223677	0.0420056	0.0976793	0.0222096	0.048231	0.00207833	0.0961836
í	0.153564	0.0419122	0.0643895	0.0548362	0.0354555	0.0225568	0.0345096	0.0662634	0.00687378	0.519639
y	0.0560623	0.0483164	0.488935	0.15259	0.0427248	0.0618461	0.0193374	0.0293522	0.00646144	0.0943745
é	0.0485159	0.0812572	0.41983	0.147208	0.0108736	0.03328	0.0258051	0.0949564	0.00629974	0.131973
é	0.0255157	0.0660136	0.281448	0.19195	0.102342	0.0969813	0.043018	0.0390264	0.00786355	0.145842
k	0.00718601	0.00223968	0.0317359	0.143919	0.0669216	0.216634	0.267047	0.0847648	0.025761	0.153792
w	0.00116772	9.41008e-05	0.00882766	0.04165	0.00998002	0.328643	0.552273	0.0283918	0.00794214	0.0210308
a	0.00066005	0.000779531	0.0225726	0.210349	0.0546304	0.205295	0.348319	0.0529051	0.0309449	0.0735441
n	0.000771167	0.000819256	0.023226	0.206313	0.0632849	0.142888	0.457101	0.016191	0.0218891	0.0675171
y	0.053886	0.0245451	0.102611	0.20326	0.187572	0.165285	0.147209	0.0167168	0.0202504	0.0786639
í	0.0801832	0.0347684	0.220024	0.167773	0.0584223	0.154905	0.155975	0.0278082	0.0257862	0.0743535
w	0.000878835	0.0020583	0.028496	0.28063	0.309751	0.282164	0.0623325	0.0197347	0.00120493	0.0127503
a	0.0114781	0.00592097	0.0699952	0.454316	0.125237	0.118728	0.130374	0.0241517	0.00469452	0.0551044
n	0.000663964	0.00119421	0.0104076	0.192465	0.485912	0.179177	0.0602579	0.042894	0.00148896	0.0255397
g	0.0137082	0.0267154	0.0230577	0.0529853	0.462884	0.201574	0.125898	0.0442173	0.00208112	0.0468785
á	0.00129113	0.00226917	0.00360667	0.0178368	0.804938	0.0607572	0.0808174	0.0181412	0.00117501	0.00916794
n	0.00277767	0.00115224	0.0108273	0.133648	0.277704	0.262261	0.14097	0.120189	0.0101551	0.0403154
d	0.00057651	0.00278334	0.00310165	0.00799706	0.831096	0.0477705	0.0806829	0.0106218	0.000970165	0.0144001
z	0.000160137	0.0033554	0.0018254	0.00617396	0.758689	0.0377071	0.106617	0.0586404	0.00877589	0.018055
ώ	0.00182568	0.0037668	0.00376333	0.00854918	0.111007	0.0766923	0.32201	0.286298	0.151174	0.0349134
n	0.00178699	0.00208498	0.0289604	0.0166262	0.069889	0.0425088	0.11292	0.060175	0.494055	0.170994
d	0.0141178	0.00273143	0.00600937	0.010975	0.0313016	0.0369388	0.175145	0.333364	0.240008	0.14941
z	0.0138437	0.0023137	0.0046122	0.00605539	0.00990799	0.0277424	0.26237	0.15073	0.389326	0.133099
i	0.0231105	0.00503274	0.00780192	0.0084007	0.00477539	0.0133108	0.256758	0.0501211	0.502895	0.127794
é	0.00561862	0.000985631	0.00519269	0.0274044	0.0213107	0.109805	0.0203998	0.393147	0.0460472	0.37009
d	0.00965154	0.00202862	0.0132636	0.0276118	0.0361943	0.0956572	0.0123493	0.397314	0.0662281	0.339702
z	0.000711626	0.000285467	0.000782404	0.00832079	0.035353	0.0160298	0.00281061	0.31747	0.0637976	0.554439
e	0.00277495	0.00261194	0.00254139	0.0216239	0.0747714	0.0612685	0.0150853	0.609758	0.0882727	0.121291
e	0.00645728	0.00445226	0.00388573	0.0134395	0.083427	0.0443984	0.00697898	0.17113	0.362186	0.303644
s	0.00211048	0.000539213	0.00288379	0.0103095	0.0215148	0.0160522	0.0289165	0.0952725	0.501033	0.321368
i	0.00308894	0.00281249	0.00222527	0.00373275	0.0252071	0.0157802	0.010281	0.240444	0.557774	0.138654
s	0.000521863	0.000288479	0.000745638	0.0010617	0.00176471	0.00409564	0.00721575	0.233516	0.352719	0.398072
i	0.00445236	0.000415796	0.000879458	0.000394736	0.000736221	0.00218511	0.00628328	0.09986	0.770628	0.114165
i	0.000700728	0.000326279	0.00246761	0.00313274	0.0044071	0.00639519	0.00444585	0.0839014	0.129325	0.764898
</S>	0.00388545	0.000675493	0.0122447	0.0260208	0.0154389	0.0333007	0.022548	0.0827873	0.173222	0.629877
