 	seigneur	dieu	pardonne-moi	mes	péchés	</S>
n	0.618016	0.35731	0.0113419	0.0100813	0.00317265	7.86951e-05
z	0.80862	0.188608	0.000102127	0.00234083	0.00028687	4.20545e-05
a	0.0657539	0.931752	0.00065868	0.000867002	0.000885606	8.24802e-05
m	0.889864	0.100504	0.00301143	0.00220014	0.00108097	0.00333924
b	0.847057	0.0849681	0.0155741	0.0264507	0.0104443	0.015506
é	0.677597	0.280763	0.0130869	0.0064612	0.00674531	0.0153465
d	0.195099	0.20302	0.222353	0.0372992	0.00267666	0.339552
a	0.449741	0.182792	0.0499258	0.0668585	0.0211126	0.22957
k	0.166029	0.0927397	0.355854	0.101744	0.0135079	0.270125
ú	0.0355923	0.0459875	0.909617	0.00135833	0.000268467	0.00717684
l	0.272579	0.0351301	0.679	0.00213999	0.00292094	0.00822945
á	0.161773	0.0382423	0.711214	0.0280019	0.00450951	0.0562594
n	0.0411988	0.0447563	0.498297	0.289938	0.0846613	0.0411486
g	0.0980133	0.178402	0.0943552	0.379617	0.18171	0.0679023
á	0.10248	0.132153	0.144464	0.370524	0.214334	0.0360451
e	0.00540037	0.00352354	0.312956	0.570695	0.0550016	0.0524226
t	0.00679553	0.00311539	0.756445	0.12693	0.0302586	0.0764553
ú	0.00321283	0.000724064	0.897255	0.0124565	0.00368674	0.0826648
m	0.0152321	0.000483206	0.752461	0.0260222	0.00523939	0.200562
ó	0.00988731	0.00145151	0.34392	0.362045	0.111411	0.171286
b	0.0075608	0.00226189	0.0478406	0.331473	0.306995	0.303869
í	0.00143325	0.000110186	0.0239443	0.244933	0.701639	0.0279404
n	0.00114768	3.96887e-05	0.00367976	0.249547	0.712661	0.0329245
d	0.00890072	0.000824966	0.00363961	0.519105	0.402088	0.0654419
á	0.0102936	0.00677795	0.0175139	0.520375	0.251862	0.193178
á	0.000889079	0.000340635	0.0323874	0.307204	0.0894165	0.569762
b	0.0104831	0.00367964	0.0655906	0.370749	0.159333	0.390164
á	0.00422487	9.34088e-05	0.0669343	0.491789	0.277537	0.159422
n	0.0015859	4.90055e-05	0.0074127	0.366783	0.171113	0.453056
g	0.00404332	0.000651228	0.00477237	0.218805	0.321904	0.449824
á	0.00885407	0.00254498	0.00462275	0.456009	0.240586	0.287383
d	0.00238483	0.00174201	0.0292192	0.321948	0.0849809	0.559725
a	0.00276734	7.68474e-05	0.00561365	0.148509	0.0294168	0.813616
</S>	0.000977277	5.14186e-05	0.00980859	0.209305	0.047976	0.731881
