 	nous	sommes	des	étrangers	</S>
b	0.886934	0.104973	0.004231	0.00244997	0.00141209
í	0.927756	0.0431274	0.0168804	0.00954224	0.00269385
s	0.977896	0.015598	0.00348151	0.00271187	0.000312451
í	0.972392	0.0212841	0.00277058	0.00158391	0.00196905
l	0.129837	0.299051	0.391522	0.0208726	0.158717
e	0.00598018	0.166641	0.271332	0.0313074	0.52474
d	0.00933398	0.234139	0.705484	0.00740617	0.043637
í	0.0114868	0.171665	0.765894	0.0405151	0.01044
a	0.00524201	0.0792841	0.630412	0.1031	0.181962
b	0.0100726	0.0269004	0.291908	0.616788	0.0543311
v	0.00995464	0.00968958	0.0311359	0.937927	0.0112929
ú	0.00997394	0.00246651	0.0141397	0.970703	0.00271687
r	0.00897244	0.0052947	0.012467	0.874294	0.098972
u	0.0166332	0.0292316	0.0770821	0.27168	0.605373
</S>	0.0013681	0.00500983	0.0369057	0.0458791	0.910837
