 	son	enfant	a	le	ventre	ballonné	</S>
m	0.623249	0.366319	0.00671016	0.00108362	0.00113007	0.000654097	0.000854174
w	0.0053807	0.984199	0.00861952	0.000895314	0.000190468	0.00019248	0.000522899
á	0.00158328	0.997543	0.000594118	0.000141322	9.16845e-05	1.09102e-05	3.59441e-05
n	0.330544	0.662627	0.00329704	0.000635794	0.000775412	0.000517982	0.00160307
a	0.142421	0.646637	0.139662	0.0275971	0.0155354	0.00169602	0.0264519
y	0.608801	0.0577049	0.246523	0.0559682	0.0125271	0.00853819	0.00993726
a	0.340455	0.0207416	0.500047	0.0830684	0.00984153	0.00627045	0.0395765
w	0.468622	0.0536452	0.404383	0.0503848	0.00507731	0.00298438	0.0149035
a	0.39438	0.0317133	0.335491	0.161541	0.00960042	0.0114101	0.0558654
á	0.0441831	0.00681259	0.647248	0.273813	0.00735189	0.00461263	0.0159786
d	0.00583353	0.000631197	0.135406	0.578751	0.195342	0.037199	0.0468373
í	0.00321243	0.0008148	0.0943435	0.581419	0.169894	0.0249837	0.125333
i	0.0122131	0.000360487	0.0230249	0.270195	0.369797	0.245401	0.0790089
f	0.00313432	0.00306821	0.00821862	0.14046	0.559449	0.159966	0.125705
ú	0.000759407	0.00110367	0.00676493	0.126551	0.580667	0.215302	0.0688519
n	0.000285012	5.91348e-05	0.000524392	0.0242026	0.374059	0.49511	0.10576
d	0.00557073	0.000208558	0.00887119	0.120463	0.279395	0.174062	0.411431
ú	0.0140748	0.000565587	0.0237353	0.177357	0.185917	0.290047	0.308304
i	0.0622517	0.00194498	0.011981	0.0250502	0.0303736	0.415048	0.453351
f	0.0197179	0.00478704	0.0205425	0.0627223	0.158304	0.366532	0.367395
ú	0.0221557	0.00208902	0.0162093	0.0495942	0.152799	0.461311	0.295842
ú	0.00231794	0.000133423	0.000198156	0.00853051	0.16975	0.519689	0.299381
s	0.000319085	3.24528e-05	0.000430474	0.00493818	0.0401562	0.480163	0.47396
á	0.0094272	0.000398341	0.005521	0.0420067	0.0998511	0.503385	0.33941
f	0.0842689	0.00192002	0.0147625	0.0615485	0.0678341	0.326518	0.443148
u	0.00664173	0.00128541	0.0136071	0.0368319	0.0485006	0.268844	0.62429
u	0.00630396	0.00108215	0.000482728	0.0108768	0.114423	0.40683	0.460001
s	0.00304601	0.000132704	0.00218322	0.0175855	0.0352636	0.226037	0.715752
a	0.00479191	0.000846645	0.00590841	0.0288216	0.0278268	0.263492	0.668313
</S>	0.00236433	0.000485513	0.00317384	0.0322062	0.0322214	0.210988	0.71856
