 	leur	manière	d'	honorer	le	chef	fait	plaisir	</S>
e	0.128492	0.780602	0.0521589	0.00663758	0.00805164	0.0109757	0.00453076	0.00404337	0.00450798
k	0.00026176	0.00953381	0.0717296	0.310062	0.0406682	0.523921	0.0154327	0.014191	0.0141998
a	0.000814263	0.000527365	0.0233438	0.220962	0.0139302	0.707736	0.00813337	0.0191795	0.00537285
n	0.000192055	0.0448289	0.180122	0.310959	0.0780116	0.256447	0.0691277	0.0463315	0.0139799
d	0.00183383	0.0835609	0.176571	0.336155	0.126597	0.168418	0.0334975	0.0410116	0.0323542
í	0.00339591	0.0489934	0.13108	0.334578	0.0667608	0.240525	0.0238	0.00965958	0.141208
s	0.00936762	0.0109634	0.0717515	0.208143	0.27812	0.0550625	0.0936515	0.0558204	0.21712
í	0.000866126	0.00486506	0.023853	0.192394	0.0520276	0.0290775	0.0645523	0.0263531	0.606011
l	0.261676	0.0635193	0.0918315	0.08905	0.230395	0.074634	0.0646037	0.0616915	0.0625998
í	0.244386	0.0284963	0.0369305	0.0322214	0.0114108	0.011997	0.0262354	0.0346331	0.57369
y	0.174084	0.349498	0.270492	0.0632646	0.0491936	0.00567405	0.0280933	0.020325	0.0393754
é	0.110793	0.224087	0.221816	0.0777505	0.0207511	0.0138648	0.0450187	0.0664838	0.219435
é	0.333707	0.119997	0.209472	0.104478	0.051291	0.0108777	0.0279766	0.0310691	0.111132
k	0.0369696	0.00508349	0.0515619	0.463424	0.0676742	0.0807408	0.0546706	0.0151469	0.224729
a	0.00120211	0.000822045	0.026645	0.641686	0.114803	0.13577	0.0510313	0.00601069	0.022031
n	0.00444888	0.00165116	0.0434729	0.69959	0.0741136	0.114797	0.0189471	0.0032661	0.0397132
d	0.00752445	0.0142629	0.180793	0.3785	0.214783	0.0494119	0.0528469	0.0208519	0.0810255
í	0.0136181	0.0581184	0.240361	0.189616	0.0917105	0.0323411	0.0490024	0.0612313	0.264002
s	0.0296529	0.0189326	0.248903	0.174245	0.399604	0.0289095	0.0460546	0.0156756	0.0380227
á	0.115746	0.115191	0.192324	0.150913	0.198837	0.0316455	0.0513707	0.0431754	0.100798
b	0.164606	0.0211005	0.130686	0.0806771	0.438552	0.0847498	0.0244697	0.033502	0.0216572
á	0.60236	0.0050193	0.0701885	0.144254	0.122693	0.0409656	0.00509747	0.00428514	0.00513732
a	0.22068	0.00565225	0.101948	0.131528	0.436124	0.023354	0.0326482	0.0079073	0.0401587
o	0.00823796	0.00200083	0.0341114	0.0827548	0.623818	0.0605514	0.113559	0.00856707	0.0663999
k	7.67425e-05	0.000989232	0.00153538	0.0180112	0.051356	0.832095	0.0680296	0.0151957	0.0127109
o	5.68416e-06	4.73931e-05	0.000131351	0.00402319	0.013883	0.92954	0.0396792	0.00465846	0.0080317
n	0.00014929	0.000157691	0.000621345	0.00871087	0.0253905	0.887505	0.0642183	0.00691749	0.0063297
d	0.00101606	0.000986465	0.00183977	0.0163385	0.06094	0.811735	0.0469826	0.00858046	0.0515811
z	0.00684906	0.0134457	0.0152033	0.0305911	0.101108	0.441035	0.0957375	0.0486246	0.247407
i	0.0119696	0.0119685	0.0120915	0.0153458	0.0940532	0.486744	0.0944646	0.0822413	0.191121
y	0.00192087	0.00238451	0.0220786	0.0175732	0.139355	0.0805854	0.398923	0.163306	0.173873
é	0.0347182	0.0713092	0.0350057	0.0128085	0.10747	0.122662	0.156847	0.397246	0.0619331
e	0.0640055	0.0137249	0.0247007	0.00474614	0.0753854	0.0270225	0.174347	0.468723	0.147345
p	0.000661324	0.000977327	0.0032202	0.00971882	0.0239341	0.0679255	0.298181	0.23426	0.361122
έ	2.88477e-05	0.000292823	0.00148314	0.00362477	0.0296027	0.196246	0.357348	0.189191	0.222182
e	0.0092309	0.00537023	0.0260462	0.0127408	0.160238	0.0770077	0.28929	0.25796	0.162116
s	0.00287362	0.00105904	0.00616199	0.000950739	0.0218278	0.00753405	0.191302	0.510589	0.257702
ε	0.000627411	0.00051307	0.00222025	0.00153142	0.00752997	0.0176365	0.103667	0.44062	0.425654
</S>	0.000204477	0.000328165	0.000755632	0.000315553	0.00512925	0.00494373	0.0852377	0.480718	0.422368
