 	cet	enfant-là	s'	initie	à	la	pratique	du	kyebé-kyebé	</S>
m	0.839872	0.138459	0.00359246	0.000879758	0.00226392	0.00190115	0.00456309	0.00294954	0.00365602	0.00186367
w	0.19596	0.489383	0.068177	0.219868	0.0100486	0.00880306	0.00272873	0.0024911	0.000122901	0.00241783
á	0.0858628	0.863364	0.00289891	0.0453316	0.00139445	0.000725637	0.000246072	8.21784e-05	7.01715e-05	2.47344e-05
n	0.845239	0.101408	0.0206396	0.0131954	0.00286026	0.00114252	0.00146418	0.000645009	8.14937e-05	0.0133237
a	0.0587305	0.692256	0.0387129	0.194978	0.0055406	0.00283464	0.000693703	0.000581382	1.6358e-05	0.00565529
w	0.729947	0.124121	0.118727	0.00720119	0.00288636	0.00155631	0.00288783	0.0039572	0.00213434	0.00658099
ú	0.464346	0.26943	0.0769841	0.00936684	0.0416792	0.0260525	0.0403295	0.0286897	0.00254312	0.0405788
u	0.459194	0.0404049	0.460189	0.00851201	0.0129051	0.00449804	0.00394461	0.00402978	0.00222408	0.00409832
á	0.0827342	0.0133084	0.765015	0.0414404	0.0632292	0.0143016	0.00442689	0.00313418	0.00088641	0.0115233
m	0.00109508	0.00277798	0.252073	0.395809	0.182841	0.112032	0.011635	0.0057983	0.0175501	0.0183888
i	0.00528843	0.00116812	0.181902	0.314076	0.266666	0.177012	0.0298071	0.0127595	0.000418751	0.0109018
b	0.00149778	0.00110355	0.0715667	0.714541	0.111043	0.0750249	0.0071084	0.00295897	0.00208474	0.0130706
h	0.00050484	0.00010127	0.0156571	0.745798	0.12233	0.0888794	0.0110467	0.00403425	0.000409574	0.0112395
á	0.000833022	6.83357e-05	0.00600299	0.775302	0.0827512	0.100393	0.0177106	0.00471612	0.000447337	0.0117757
n	0.00267417	0.00019455	0.0347048	0.0490407	0.454366	0.281872	0.111073	0.0339009	0.00735326	0.0248207
d	0.000832041	0.000343759	0.00388056	0.0302598	0.306814	0.431757	0.184624	0.026858	0.00123689	0.0133937
á	0.00195177	0.00354813	0.00990491	0.0176578	0.153722	0.483785	0.225409	0.0487366	0.00198599	0.0532986
k	0.00212486	0.000119338	0.00671359	0.00217748	0.129005	0.277732	0.345917	0.199738	0.00462238	0.0318494
y	0.00191318	5.90591e-05	0.00111438	0.00113039	0.0512406	0.140601	0.443049	0.145778	0.110493	0.104621
e	0.00119674	6.8598e-05	0.000266582	0.000709647	0.0201024	0.096248	0.307053	0.135495	0.410213	0.0286467
b	0.000378638	3.52364e-05	0.000528891	0.000843115	0.0165519	0.0618969	0.233619	0.126327	0.508315	0.0515033
h	4.31837e-05	1.12112e-06	7.7064e-05	0.000198604	0.0224272	0.0916869	0.313319	0.0896637	0.275494	0.207089
é	0.00236467	0.000250992	0.00103077	0.00650619	0.0475052	0.111014	0.351568	0.167758	0.109096	0.202905
k	0.000375713	1.70706e-05	0.00213258	0.000903921	0.0158766	0.0243828	0.135009	0.323139	0.130199	0.367964
y	0.000228511	2.03494e-05	0.000286832	0.000178494	0.00316658	0.00619525	0.0623426	0.069371	0.814162	0.0440483
e	0.000928567	1.53506e-05	0.000167956	5.28532e-05	0.001038	0.00219927	0.0234629	0.0233529	0.916102	0.0326799
b	0.000178058	1.06855e-05	0.000108899	8.06238e-05	0.00183642	0.00504246	0.039231	0.039404	0.81293	0.101178
h	2.40961e-05	1.04732e-06	2.70263e-05	6.23448e-05	0.00270753	0.0103639	0.0889563	0.0798035	0.619656	0.198398
é	0.00460241	0.000735723	0.00194986	0.00578544	0.0248681	0.0407372	0.177936	0.163477	0.107733	0.472176
</S>	0.000954405	3.6559e-05	0.00331294	0.00320545	0.014995	0.0176668	0.0532484	0.181775	0.110936	0.61387
