 	après	la	pluie	le	chemin	n'	était	qu'	une	mare	de	boue	</S>
o	0.674159	0.242224	0.0166004	0.0165254	0.02947	0.00580921	0.00219831	0.00180765	0.00227294	0.00264189	0.00264847	0.00352384	0.000119713
n	0.336379	0.611325	0.0113652	0.00397627	0.0037172	0.00170892	0.00347932	0.00139893	0.00107356	0.000639068	0.00177844	0.021664	0.0014957
g	0.371062	0.54086	0.0290504	0.0133842	0.00688279	0.00243844	0.00240241	0.00377693	0.00947844	0.00736787	0.00343146	0.00665238	0.00321266
ω	0.74179	0.230305	0.00297316	0.00172759	0.000690468	0.000250896	0.00016239	0.000347963	0.000764414	0.000407081	0.000391774	0.0181961	0.00199248
n	0.681221	0.298217	0.00637309	0.00183753	0.000570585	0.000106592	4.68811e-05	0.000123111	0.000377655	0.00051909	0.000201919	0.00982185	0.000583702
g	0.139356	0.579892	0.0414548	0.0203679	0.00864063	0.00810513	0.0108741	0.0201685	0.0190178	0.0105133	0.0160878	0.00400324	0.121519
ω	0.257181	0.543464	0.0203263	0.0119432	0.00352718	0.00146241	0.000678661	0.00706709	0.0104074	0.00948253	0.0113113	0.0308205	0.0923276
m	0.120599	0.308664	0.169386	0.203917	0.07105	0.0506009	0.0044569	0.0237873	0.00759705	0.00736267	0.019742	0.000248609	0.0125877
á	0.022248	0.164986	0.236821	0.156835	0.0248145	0.119891	0.0147511	0.0487154	0.0206599	0.0599117	0.0718074	0.00529292	0.0532665
m	0.135516	0.100112	0.25849	0.157833	0.138159	0.0595775	0.0277959	0.0219219	0.011483	0.0121542	0.0196942	0.0060939	0.051169
b	0.00112887	0.0343117	0.72286	0.0834808	0.00570054	0.052433	0.0440179	0.0148175	0.00178625	0.0138159	0.00553768	0.00286058	0.0172497
v	0.0014826	0.0266671	0.765016	0.0745263	0.0107944	0.0105394	0.0153482	0.00565238	0.00601438	0.042934	0.00616607	0.0190925	0.0157669
ú	0.000646159	0.019346	0.522395	0.0774456	0.0119581	0.0169629	0.0131426	0.0222626	0.0145666	0.0964983	0.0180437	0.0715183	0.115214
á	0.0710362	0.049686	0.122276	0.390411	0.243346	0.0528421	0.0215794	0.0052121	0.00928182	0.0139801	0.00423841	0.0109049	0.0052052
k	0.00974829	0.0115346	0.0321101	0.175694	0.238221	0.344755	0.0424216	0.0515667	0.0245518	0.0232515	0.0320743	0.00219037	0.0118812
ó	0.0166637	0.0159369	0.0359373	0.0719575	0.478664	0.117335	0.144626	0.0189804	0.0503399	0.00892564	0.0159674	0.00380529	0.0208619
ó	0.000785891	0.00192433	0.0222883	0.0515718	0.327678	0.184362	0.176523	0.0344276	0.084899	0.0341026	0.0333443	0.00601459	0.0420791
a	0.00239766	0.00373132	0.0149572	0.0323632	0.0583663	0.245196	0.156723	0.141539	0.0697929	0.0716789	0.109402	0.00459159	0.0892617
b	0.00619279	0.0102071	0.0344272	0.029721	0.0538626	0.102673	0.243015	0.0973298	0.107323	0.101433	0.122261	0.0122853	0.0792683
h	0.00130714	0.00619191	0.0252094	0.033176	0.085775	0.0785513	0.109606	0.103358	0.180056	0.120786	0.146952	0.0158818	0.0931495
i	0.000504636	0.00142785	0.0123242	0.0489337	0.150827	0.0772928	0.0904383	0.10171	0.188417	0.103825	0.106297	0.0233119	0.0946907
o	0.00102639	0.00140598	0.00618168	0.0221408	0.0342361	0.0881905	0.14294	0.151981	0.126149	0.140058	0.140962	0.0432165	0.101512
m	0.00275011	0.00549225	0.0124045	0.00418138	0.00614305	0.00725787	0.068308	0.0338767	0.111928	0.165105	0.068911	0.424789	0.0888525
b	8.25152e-05	0.00180483	0.00447054	0.00166709	0.000228867	0.00184513	0.00932723	0.0158416	0.0197332	0.175968	0.0319062	0.719433	0.0176913
i	9.6929e-06	0.000245582	0.00396533	0.000801748	0.000247242	0.000494243	0.0028339	0.00281568	0.0196586	0.177507	0.00617778	0.771774	0.0134699
n	3.38583e-05	0.000411548	0.00408362	0.00431354	0.00786754	0.00653592	0.0452143	0.0241087	0.11281	0.350923	0.026573	0.293315	0.123809
g	0.00019409	0.000908936	0.00396999	0.00387061	0.00204968	0.00875271	0.0659159	0.0478634	0.100067	0.220879	0.0500525	0.355337	0.140139
a	0.000420369	0.000681245	0.00100663	0.00361716	0.00320636	0.00210161	0.0040759	0.010529	0.0885935	0.0658773	0.0186662	0.749121	0.0521035
l	0.00032819	0.000787484	0.00177956	0.00462259	0.0029058	0.0106203	0.00831373	0.117279	0.0772327	0.0821163	0.313592	0.0325243	0.347898
o	0.00213807	0.00406049	0.00972261	0.0131159	0.00532484	0.0111939	0.0255203	0.08649	0.0904127	0.0693315	0.175445	0.223604	0.283641
