 	pourquoi	tu	doutes	</S>
n	0.757592	0.223306	0.014173	0.00492833
ω	0.83292	0.147432	0.0175496	0.00209829
l	0.45484	0.277832	0.214977	0.0523511
ó	0.026561	0.0833908	0.0514805	0.838568
o	0.227366	0.413866	0.151548	0.20722
k	0.0121119	0.120296	0.698521	0.169071
u	0.00494273	0.0400127	0.643564	0.311481
n	0.000986416	0.00656526	0.919853	0.0725953
y	0.0131125	0.00953445	0.872231	0.105122
á	0.0986096	0.0182686	0.618664	0.264458
n	0.283871	0.206793	0.352833	0.156504
d	0.20621	0.0773094	0.617305	0.0991762
e	0.126908	0.0995966	0.47856	0.294935
</S>	0.010593	0.0149314	0.305138	0.669338
