 	si	tu	attends	encore	un	peu	il	va	venir	</S>
w	0.92862	0.0444467	0.00559288	0.00250668	0.00225003	0.00510629	0.00406818	0.00717599	0.000150932	8.28915e-05
á	0.92314	0.0423694	0.0190701	0.00452574	0.00187835	0.00109679	0.00215986	0.00473367	0.000943634	8.2756e-05
á	0.172133	0.108242	0.104589	0.0372556	0.0557254	0.0574086	0.112043	0.123992	0.0695441	0.159067
n	0.236229	0.501451	0.16338	0.0284703	0.00756672	0.00765499	0.00897566	0.0136578	0.00779558	0.0248194
ω	0.0328057	0.869015	0.0317495	0.013324	0.00265277	0.00272118	0.00571286	0.0159524	0.0176673	0.00839949
o	0.0455921	0.300722	0.225179	0.163378	0.0163426	0.0166362	0.024692	0.0485016	0.0563587	0.102597
k	0.000492147	0.00411182	0.922321	0.0553399	0.0102723	0.0018754	0.00128189	0.000177989	0.000294926	0.00383303
o	0.00028106	0.00252683	0.909274	0.049084	0.0113476	0.00345965	0.00508601	0.000910051	0.000901909	0.0171292
n	0.000460902	0.0109115	0.900954	0.0521716	0.00717661	0.00345331	0.00272454	0.00105124	0.00184824	0.0192475
g	0.00293955	0.0221559	0.660747	0.135472	0.0301407	0.0155475	0.0129721	0.00564444	0.00325879	0.111122
í	0.0218752	0.089399	0.666752	0.118249	0.0251453	0.0325292	0.0186918	0.00842434	0.0021161	0.0168178
í	0.0798538	0.234705	0.0489908	0.312011	0.0850933	0.103629	0.083602	0.0321979	0.00136575	0.0185521
o	0.00460653	0.0257391	0.0727108	0.632039	0.172422	0.0270693	0.0279145	0.00930211	0.00480078	0.0233958
t	7.16861e-05	0.00135368	0.101917	0.248687	0.423124	0.081623	0.0421457	0.00442585	0.0166056	0.0800462
í	7.3686e-05	0.00124292	0.136343	0.205501	0.450339	0.0763526	0.0632153	0.00238307	0.00294863	0.0616003
i	0.00141186	0.0232495	0.0502002	0.177837	0.338836	0.0959558	0.115504	0.0238296	0.00951631	0.16366
s	0.000383498	0.0020637	0.00250868	0.0269632	0.30453	0.283196	0.281319	0.0553414	0.010958	0.0327367
í	0.000317175	0.00341845	0.0268766	0.040547	0.208691	0.128696	0.30935	0.0299765	0.0134816	0.238645
w	0.000790803	0.00404513	0.000810688	0.0168639	0.0964532	0.312802	0.304329	0.229258	0.0130976	0.0215491
a	0.0273035	0.00354146	0.00899066	0.0165624	0.199629	0.352729	0.302123	0.0571231	0.00348836	0.0285103
l	0.00111579	0.00244474	0.000735779	0.00680599	0.0752305	0.252373	0.373994	0.212267	0.0225299	0.052503
á	0.00251149	0.0109622	0.0124105	0.0651319	0.0916507	0.0642762	0.222223	0.0975842	0.035751	0.397499
a	0.00198868	0.002617	0.00279001	0.00812525	0.033655	0.0526281	0.147895	0.488233	0.149203	0.112865
y	0.00027036	0.00308779	0.0358151	0.0503918	0.0979882	0.0427634	0.15339	0.0725845	0.367199	0.176511
a	6.6394e-05	0.00258019	0.0184197	0.0305949	0.0625847	0.022701	0.0606466	0.170522	0.201233	0.430651
a	3.14002e-05	0.00037409	0.00204148	0.00720799	0.0604549	0.0488299	0.080652	0.12625	0.0451307	0.629028
w	0.000117729	0.000515623	0.00036534	0.00519655	0.014923	0.0380565	0.091703	0.190905	0.112104	0.546114
a	0.0139412	0.00527315	0.00564272	0.00926467	0.0610183	0.134665	0.392111	0.270559	0.0110639	0.0964613
a	0.000148947	0.000716643	0.000330943	0.00356753	0.0223485	0.0736062	0.179862	0.275859	0.0856967	0.357863
n	0.000144943	0.00234839	0.00762901	0.0500135	0.0498931	0.0315922	0.0991391	0.140013	0.25662	0.362606
ω	0.000135085	0.00345347	0.00264784	0.0124794	0.0104925	0.00648305	0.0277293	0.197742	0.376364	0.362474
ω	4.2306e-05	0.000555714	0.00096233	0.00995075	0.0308109	0.0215646	0.0792253	0.0725841	0.227221	0.557083
p	0.000106176	0.000497478	0.00436356	0.0108953	0.0313218	0.0135286	0.0462713	0.123237	0.168676	0.601103
ε	0.000858429	0.00256916	0.0114786	0.0162776	0.0413685	0.0305271	0.128621	0.28933	0.0226849	0.456284
l	0.00211912	0.00146857	0.000991893	0.00318898	0.0195906	0.0604844	0.1734	0.21178	0.0846285	0.442348
í	0.00106936	0.000897848	0.00303695	0.00308364	0.0179141	0.0282112	0.138245	0.104148	0.0246363	0.678757
o	0.000718765	0.00459416	0.00138152	0.00688166	0.0147486	0.0587945	0.108316	0.385553	0.119389	0.299623
t	0.00029642	0.0023106	0.0510179	0.0568801	0.0960341	0.0257639	0.0409503	0.0684818	0.0978516	0.560413
é	4.60146e-05	0.000281737	0.0150503	0.00920082	0.0444385	0.0107002	0.0472734	0.0377327	0.01716	0.818116
m	6.30882e-05	0.000467026	0.00145978	0.0030258	0.0110111	0.0110119	0.0401575	0.083168	0.0373193	0.812317
