 	de	la	manière	dont	il	lèche	l'	assiette	elle	sera	toute	propre	à	la	fin	</S>
e	0.143185	0.227783	0.324735	0.0340475	0.00981055	0.00140964	0.00155206	0.237273	0.00225579	0.0050859	0.00248126	0.00604116	0.00125492	0.0005655	0.000271363	0.00224882
l	0.00593735	0.0116869	0.0405193	0.0221196	0.00956701	0.423721	0.139774	0.108602	0.0328756	0.0345044	0.0328547	0.00464248	0.0288092	0.0234836	0.0763036	0.00459887
έ	0.000248122	0.000767546	0.0355848	0.00495298	0.00126075	0.761858	0.0240511	0.0757921	0.0181272	0.0138572	0.0260176	0.00700535	0.00930366	0.00127194	0.00947924	0.0104228
r	0.000637461	0.00101999	0.0199463	0.0438819	0.0505223	0.550051	0.0659481	0.0862081	0.0343644	0.0383553	0.0282375	0.0137262	0.0228056	0.0183562	0.01913	0.00680931
í	0.00890207	0.028106	0.0190115	0.0247061	0.0560325	0.187955	0.146905	0.168471	0.0525207	0.0281346	0.0918178	0.0329888	0.048667	0.0180576	0.0115035	0.0762206
r	0.0105466	0.0152856	0.00469929	0.0412317	0.0639269	0.213268	0.242563	0.0611781	0.128701	0.0675447	0.0393699	0.0150962	0.0340867	0.0284679	0.0155825	0.018452
í	0.00306889	0.0100996	0.00420076	0.00655	0.01605	0.0763928	0.117946	0.0421059	0.108932	0.0423975	0.0645723	0.0200116	0.10946	0.0745941	0.0385544	0.265065
y	0.0980744	0.339242	0.130022	0.104757	0.065841	0.0480487	0.0458882	0.00371669	0.0524262	0.0372867	0.0201921	0.0138501	0.0101485	0.00858729	0.00369972	0.0182199
é	0.114412	0.163552	0.132901	0.12076	0.0654984	0.0491312	0.0297372	0.0131542	0.0664493	0.0168717	0.0281744	0.0200366	0.0412335	0.0243716	0.0128939	0.100823
é	0.0180235	0.0481141	0.0572472	0.139498	0.137947	0.143173	0.0823765	0.0846118	0.0746871	0.0176754	0.0284422	0.0339182	0.0269273	0.0215825	0.0125921	0.0731843
l	0.00691902	0.00266861	0.00238746	0.0143586	0.0273755	0.441001	0.0429095	0.18978	0.0985569	0.0348016	0.0154484	0.0146116	0.0202065	0.0172018	0.0272209	0.0445528
έ	0.000442563	0.000287172	0.000328629	0.00321506	0.00836602	0.339141	0.0577367	0.507268	0.0389555	0.00503306	0.00579042	0.00389736	0.00472712	0.00337438	0.0118864	0.00955142
r	0.00707947	0.0155575	0.0208788	0.100381	0.0777913	0.229604	0.0859717	0.127934	0.088011	0.020343	0.0346195	0.0238535	0.0209095	0.0148553	0.0234707	0.10874
έ	0.0261938	0.0426053	0.0409709	0.138991	0.0846566	0.0270003	0.152632	0.0231369	0.169358	0.0230164	0.0492437	0.077823	0.0380857	0.0320382	0.0149492	0.0592999
w	0.0033968	0.00570444	0.00370438	0.114401	0.284263	0.0197889	0.22617	0.102521	0.131126	0.0368124	0.0176069	0.00848618	0.0134583	0.0132401	0.00247334	0.0168473
a	0.0133092	0.0250981	0.0135983	0.0971844	0.218217	0.00816668	0.0965716	0.140553	0.0881919	0.0382296	0.051109	0.0877796	0.0375932	0.0227158	0.00257684	0.0591052
s	0.000994614	0.00188032	0.00261026	0.0610174	0.156158	0.0456129	0.214367	0.273644	0.148372	0.0327365	0.0216916	0.00922292	0.00767258	0.00560922	0.00360167	0.0148089
a	0.0151809	0.0129601	0.0133597	0.0750886	0.115836	0.0244755	0.142165	0.264564	0.231396	0.0253511	0.0316262	0.0256469	0.00824887	0.00352265	0.00235374	0.00822488
