 	la	pluie	d'	hier	a	fait	déborder	la	rivière	</S>
m	0.583436	0.325394	0.0581063	0.00542566	0.0131054	0.00603706	0.0067612	0.00135211	0.000310593	7.14658e-05
v	0.0822676	0.824034	0.0637362	0.00364881	0.00461386	0.00367838	0.00158255	0.0023061	0.000510893	0.0136212
ú	0.0350597	0.952101	0.011017	0.000688301	0.000330215	0.000171569	4.28773e-05	0.000156258	0.00036803	6.45389e-05
á	0.0796537	0.761791	0.115058	0.00854625	0.00461719	0.00279834	0.000560565	0.0010948	0.00235208	0.0235279
y	0.12816	0.0911281	0.501661	0.162511	0.0449849	0.0240889	0.00311839	0.00421134	0.00184045	0.0382959
e	0.238665	0.0985777	0.245853	0.198817	0.094964	0.0546512	0.0169991	0.022465	0.00471413	0.0242933
e	0.157191	0.0298041	0.35057	0.228753	0.114801	0.0537291	0.0250849	0.0104583	0.00172355	0.027885
n	0.0357131	0.033545	0.187331	0.371081	0.0316956	0.0437809	0.143688	0.0682983	0.0163356	0.0685317
ώ	0.0701364	0.108512	0.24636	0.186361	0.0673571	0.0801515	0.0671793	0.0421364	0.0107508	0.121055
í	0.0428447	0.0688084	0.370374	0.180509	0.0764987	0.108976	0.0712427	0.0424121	0.00587106	0.0324633
l	0.028436	0.0110714	0.147603	0.295033	0.265201	0.110269	0.0539377	0.0436412	0.00445165	0.0403561
a	0.00939023	0.00666187	0.104395	0.193946	0.177388	0.143903	0.0719956	0.0420406	0.0161969	0.234083
p	0.0167118	0.00716095	0.0946426	0.231515	0.378253	0.151538	0.0222997	0.0224143	0.0119903	0.0634742
ó	0.00259788	0.00320812	0.0334142	0.793834	0.0788019	0.0358714	0.00375193	0.00570654	0.021188	0.0216264
a	0.00123021	0.000770184	0.0350774	0.574239	0.145254	0.140231	0.0091917	0.0228002	0.0101108	0.0610953
á	0.00123119	0.00151764	0.009077	0.00557469	0.0675228	0.246975	0.459601	0.183113	0.00678267	0.0186047
y	0.00124579	0.0013044	0.00330292	0.00413588	0.00312827	0.0321741	0.531941	0.370288	0.0385506	0.0139291
í	0.000774247	0.000432189	0.00182129	0.00416881	0.00885102	0.0758073	0.662372	0.204536	0.0112922	0.0299446
n	0.00167287	0.000512165	0.00490017	0.0273968	0.0256699	0.0774211	0.328633	0.317286	0.0377801	0.178728
i	0.000874326	0.00121957	0.0149514	0.0117187	0.0678128	0.287305	0.417627	0.147667	0.0350187	0.015806
s	0.00269386	0.00121688	0.0240761	0.0364391	0.197899	0.248925	0.035702	0.311138	0.052988	0.088922
i	0.0116515	0.00191945	0.0188388	0.124636	0.0706386	0.160453	0.126141	0.286955	0.130429	0.0683367
o	0.0063611	0.0016104	0.0143988	0.014646	0.298569	0.267565	0.0447802	0.177833	0.0678566	0.10638
k	0.00109613	0.00243312	0.00327237	0.0036141	0.00213722	0.00753743	0.0895461	0.194009	0.554171	0.142183
y	0.000113236	0.000299565	0.00156846	0.00551404	0.000786498	0.00437359	0.0210838	0.0630932	0.767627	0.135541
ε	0.000650581	0.000209731	0.000901912	0.0059952	0.00229093	0.0157197	0.0485957	0.0786595	0.742936	0.104041
s	0.00175173	0.000659939	0.00411261	0.00434567	0.016248	0.0535563	0.0514006	0.133567	0.367647	0.366711
í	0.00174199	0.000860311	0.00697833	0.011357	0.00969435	0.0328907	0.0469416	0.145287	0.414891	0.329357
</S>	0.00597164	0.00185807	0.00826426	0.0134872	0.0163912	0.0276465	0.0410314	0.138477	0.124926	0.621947
