 	as-tu	déjà	rendu	mon	parapluie	</S>
n	0.980661	0.00823272	0.00278964	0.00575642	0.00237146	0.000189133
ω	0.905536	0.00230457	0.00499639	0.0315645	0.0554571	0.000141001
ó	0.553065	0.331492	0.0647499	0.025383	0.020036	0.00527377
m	0.0132173	0.869291	0.0571486	0.0090369	0.000833061	0.0504735
i	0.00241456	0.911864	0.0495222	0.00109107	0.000169848	0.0349379
s	0.00526151	0.936293	0.040671	0.000672136	1.43766e-05	0.0170884
á	0.00220554	0.909023	0.0730731	0.0067107	0.000563795	0.00842412
á	0.0154908	0.170067	0.208605	0.255177	0.00923864	0.341421
o	0.162332	0.070979	0.542842	0.195352	0.0141545	0.014341
b	0.00160568	0.090051	0.806048	0.0661129	0.0182163	0.0179658
v	0.00990204	0.269393	0.495202	0.068679	0.0319805	0.124843
ú	0.0016477	0.434568	0.522502	0.0216007	0.0020892	0.0175921
ú	0.0459138	0.02737	0.615139	0.181379	0.00770321	0.122495
s	0.0010811	0.00322382	0.377659	0.354292	0.0133537	0.250391
á	0.00463092	0.00326171	0.14756	0.522978	0.126515	0.195055
l	0.0094873	0.0023725	0.0346418	0.484599	0.411607	0.0572925
e	0.00240564	0.00548393	0.0706643	0.25406	0.191822	0.475565
n	0.000571795	0.00135654	0.0203065	0.19774	0.538387	0.241638
g	0.000928771	0.000532472	0.0234774	0.244817	0.698248	0.0319967
y	9.17772e-05	4.25948e-05	0.00146296	0.0184531	0.971048	0.00890167
ε	6.5972e-05	5.04332e-05	0.00323657	0.034476	0.867652	0.0945189
m	0.000300697	0.000666798	0.100061	0.173336	0.325118	0.400517
b	0.00175147	0.000221701	0.00816692	0.0675497	0.252031	0.67028
í	0.00711806	0.00111779	0.0716998	0.317665	0.27465	0.327749
l	0.00415531	0.00107457	0.0216102	0.235039	0.0432612	0.69486
á	0.00147806	0.00251674	0.0380792	0.233632	0.0450786	0.679215
n	0.00194093	0.00142717	0.0124738	0.554862	0.102536	0.326761
g	0.00999944	0.000206879	0.00577941	0.394612	0.469505	0.119897
á	0.00167786	8.20528e-05	0.000887495	0.0559286	0.779569	0.161855
</S>	0.000888341	0.00031583	0.00503204	0.12535	0.1151	0.753313
