 	leur	mère	était	une	belle	femme	de	teint	brun	</S>
n	0.96379	0.0120009	0.00175373	0.00156555	0.0093275	0.000443028	0.00119652	0.00746809	0.00243819	1.6982e-05
g	0.627222	0.367864	0.000307241	0.000683358	0.000703796	0.000428206	0.000309336	0.00239472	6.69714e-05	2.03075e-05
ó	0.0409655	0.955108	0.00107174	0.000282176	0.000173747	0.000487633	0.000220837	0.000909184	0.000643102	0.000137904
o	0.0706166	0.909689	0.00270354	0.00135266	0.000965425	0.000807855	0.000501518	0.0104889	0.00164667	0.00122766
y	0.472498	0.223352	0.189005	0.0458129	0.0100227	0.0108553	0.0231369	0.00216801	0.00294459	0.0202047
a	0.728443	0.137749	0.0838106	0.0124642	0.0035662	0.0236916	0.00333562	0.00131162	0.00110358	0.00452453
b	0.981387	0.00145285	0.0114411	0.00140769	0.000365948	0.0012118	0.000559804	0.000484115	7.62549e-05	0.00161357
á	0.893115	0.00720747	0.0342956	0.0121689	0.0120289	0.000307639	0.00714429	0.00992321	0.0103316	0.0134769
a	0.90802	0.00245785	0.0250443	0.00581522	0.00683005	0.000370873	0.0100735	0.00286996	0.0256234	0.0128951
á	0.0225962	0.0024959	0.718697	0.143465	0.0105406	0.00718109	0.0260512	0.00129152	0.000587283	0.0670939
d	0.00810315	0.014273	0.355923	0.462856	0.0640032	0.0351539	0.0205082	0.0156631	0.00135441	0.0221623
z	0.0093263	0.00114785	0.806985	0.139384	0.00303381	0.00864524	0.00451508	0.00535122	7.67596e-05	0.021535
á	0.127371	0.00228647	0.702295	0.108548	0.00911823	0.0315356	0.00255222	0.0030921	0.000125722	0.013076
n	0.0864236	0.000381042	0.178313	0.16407	0.0958125	0.0433442	0.189026	0.0608393	0.0271849	0.154606
g	0.124248	0.00495837	0.0525889	0.114125	0.0925513	0.078267	0.0988843	0.233043	0.0234138	0.17792
ω	0.0397367	0.102368	0.0501386	0.15128	0.0797503	0.0321449	0.0387742	0.423893	0.0327004	0.0492139
n	0.000892833	0.00038227	0.0027083	0.0354501	0.0686239	0.000588463	0.0711281	0.708008	0.0587547	0.0534628
d	0.00062211	0.000289266	0.0102027	0.170691	0.162911	0.0274487	0.163877	0.159768	0.015819	0.288372
ω	0.000533465	0.000866122	0.00555196	0.0563612	0.0808467	0.0504989	0.0661672	0.428307	0.00331947	0.307548
l	0.00440554	0.0010318	0.0108872	0.0718532	0.0500356	0.0310389	0.419225	0.187463	0.0215742	0.202485
o	0.00885399	0.000432132	0.00619451	0.0613186	0.0804463	0.00871665	0.134449	0.156933	0.172604	0.370053
k	0.00168644	0.000342398	0.00201739	0.0213236	0.0679225	0.0117115	0.111256	0.287906	0.106301	0.389533
y	0.000119247	3.82403e-05	0.000421369	0.0275566	0.120927	0.000163284	0.037696	0.346618	0.181324	0.285136
ε	0.000483702	2.56593e-05	0.000232148	0.00773236	0.0407923	3.99384e-05	0.0493804	0.573131	0.156651	0.171531
s	9.61598e-05	1.33136e-05	1.8495e-05	0.00321566	0.0189233	3.08064e-05	0.0366192	0.734031	0.173278	0.033774
í	0.002035	3.12809e-05	0.00199495	0.057154	0.0958136	0.00122291	0.0640752	0.391036	0.0632943	0.323343
</S>	0.00325531	0.000128495	0.00303361	0.00683715	0.00438365	0.00482969	0.0539965	0.00534123	0.0251104	0.893084
