 	le	forgeron	est	courbé	dans	son	atelier	</S>
o	0.896369	0.0672117	0.0112669	0.00921208	0.0125426	0.00313623	0.000251293	1.02391e-05
k	0.0697939	0.921468	0.00314441	0.00244343	0.000601068	0.000837363	0.00100978	0.000702196
u	0.00309132	0.983544	0.000258167	0.00789676	0.000843866	0.000513908	0.00339985	0.000452111
b	0.00543837	0.979629	0.00149755	0.00974163	0.00125089	0.000434751	0.00167278	0.000334924
h	0.483272	0.247859	0.0867474	0.0266027	0.0505884	0.0495825	0.00933142	0.0460166
a	0.580125	0.208305	0.100007	0.0219959	0.0302212	0.00766902	0.0037499	0.0479275
a	0.184271	0.00590576	0.732709	0.0152395	0.0145016	0.0105057	0.00112798	0.0357396
d	0.0465947	0.00406771	0.53536	0.309283	0.0384849	0.0150928	0.00972195	0.0413952
í	0.0205962	0.00733709	0.616463	0.11183	0.0548434	0.0136371	0.00747368	0.16782
o	0.0168542	0.0033746	0.2735	0.338438	0.198507	0.0489855	0.00677909	0.113561
k	0.0050069	0.00345381	0.0716614	0.854849	0.0445108	0.00560479	0.00992975	0.00498324
ú	0.000310917	0.00139588	0.0120311	0.953254	0.0176824	0.00149185	0.00484438	0.00898897
r	0.00227393	0.00460504	0.0189638	0.925062	0.0287368	0.00250035	0.0105352	0.00732322
ú	0.0234828	0.00206751	0.162114	0.475703	0.203424	0.0562909	0.0337942	0.0431239
m	0.00477381	0.000797327	0.0962569	0.582099	0.178448	0.0963973	0.00843669	0.0327906
á	0.0135424	0.000302298	0.127391	0.112241	0.295851	0.41006	0.00599966	0.034612
k	0.00411556	0.00082647	0.00915865	0.188669	0.47002	0.279718	0.0430595	0.00443339
u	0.00111073	0.000425803	0.00319096	0.360607	0.291611	0.0520359	0.280318	0.0107006
r	0.00099727	0.00017028	0.00338577	0.242839	0.473453	0.10429	0.159646	0.0152191
u	0.000345794	0.000114004	0.00293781	0.48657	0.124916	0.047198	0.312098	0.0258197
r	0.000592571	5.57713e-05	0.0113689	0.0296799	0.470647	0.405523	0.0293515	0.0527811
m	0.00439067	0.000192795	0.0102623	0.0733853	0.164572	0.211237	0.286692	0.249268
a	0.00142885	2.73446e-05	0.00812154	0.00324608	0.225938	0.423283	0.00945936	0.328496
s	0.0012623	5.32809e-05	0.00882284	0.00406189	0.181625	0.345007	0.0670326	0.392135
á	0.00293053	9.56693e-05	0.00633377	0.0111963	0.218204	0.318179	0.134627	0.308434
k	0.00412839	0.000543697	0.000911702	0.00565036	0.022645	0.130732	0.782376	0.0530128
á	0.000145408	7.98557e-05	0.000307112	0.00868054	0.0118176	0.0194333	0.939063	0.0204727
n	0.00123714	0.000353679	0.00376541	0.0229688	0.0517171	0.0352909	0.663881	0.220786
d	0.000184069	0.00325218	0.00121489	0.0224873	0.0281041	0.0483537	0.576435	0.319968
z	0.000747728	0.00198407	0.00144722	0.00571095	0.0152047	0.034363	0.808909	0.131634
á	0.000386517	0.000188162	0.000449837	0.0038814	0.00259298	0.00885209	0.931061	0.0525876
l	0.0284914	0.00247058	0.018639	0.00600606	0.0340446	0.0744157	0.137455	0.698478
á	0.0089773	0.00080042	0.0183106	0.00901722	0.0590455	0.0978661	0.0584811	0.747502
w	0.0122885	0.00154703	0.0347704	0.0152079	0.0619162	0.377173	0.0661387	0.430958
a	0.0469708	0.00198375	0.0323511	0.0047093	0.0590725	0.247235	0.0212387	0.586439
</S>	0.00158384	9.50928e-05	0.0024513	0.00114928	0.0170654	0.127371	0.0541352	0.796149
