 	mon	chien	avait	disparu	pour	de	bon	</S>
m	0.454038	0.495878	0.0316504	0.00529903	0.00713741	0.00416578	0.00117026	0.000661724
v	0.0262097	0.839563	0.0906477	0.00481673	0.00826929	0.00579804	0.000567771	0.0241276
á	0.0159862	0.982332	0.000872922	0.000168735	0.000512229	8.25877e-05	2.58807e-05	1.90759e-05
n	0.13708	0.785971	0.00612851	0.00365207	0.00386019	0.00178033	0.00164256	0.0598854
d	0.226846	0.226854	0.0547476	0.0753839	0.0288506	0.00570987	0.0028686	0.378739
é	0.17578	0.220497	0.102947	0.0732792	0.0283936	0.00733602	0.00306446	0.388703
y	0.409193	0.0960609	0.329256	0.0659958	0.0196125	0.0276845	0.0240538	0.0281435
a	0.576553	0.187548	0.132859	0.0342226	0.017979	0.0126603	0.0064814	0.031696
n	0.848911	0.022453	0.0774104	0.0130736	0.00496185	0.00453471	0.0026172	0.0260382
g	0.993934	0.00111875	0.00351548	0.000553685	0.000132702	0.00014525	0.00023912	0.000361157
á	0.582932	0.0556595	0.238828	0.0820129	0.00824526	0.00209924	0.00360336	0.0266204
á	0.0448964	0.0422523	0.782747	0.0813452	0.0163095	0.0151371	0.00571406	0.0115982
l	0.00395996	0.00588683	0.0552068	0.837063	0.0644993	0.0126501	0.00478274	0.0159516
é	0.00241469	0.0037818	0.029147	0.859618	0.0602217	0.0175929	0.00428867	0.0229355
m	0.0242035	0.00867108	0.029621	0.793307	0.0719558	0.0174116	0.00636283	0.0484672
b	0.071566	0.0343345	0.0933972	0.436542	0.232349	0.0524044	0.0175947	0.0618115
á	0.064144	0.0765681	0.174587	0.155387	0.258794	0.128407	0.0706539	0.0714591
p	0.0204296	0.0371537	0.231255	0.0512515	0.277732	0.203376	0.0745914	0.10421
ώ	0.0322568	0.0237983	0.0669052	0.066076	0.540556	0.0877687	0.119414	0.0632254
ώ	0.00100572	0.0025157	0.0105934	0.0687891	0.49242	0.158787	0.151592	0.114296
</S>	0.00387456	0.00276481	0.0116967	0.0269806	0.163272	0.393647	0.199389	0.198376
