 	la	voiture	est	garée	dans	notre	parcelle	</S>
o	0.812247	0.153993	0.012893	9.64539e-05	0.0181411	0.00176082	0.000559807	0.000308717
t	0.2437	0.674684	0.0237036	0.0260091	0.0042958	0.00284398	0.0147909	0.00997233
ω	0.0413389	0.904786	0.00355898	0.0195579	0.00815431	0.00111657	0.0161465	0.0053411
m	0.0123401	0.982754	0.000801405	0.000398487	0.00028399	0.000362633	0.00145994	0.00159949
b	0.0441589	0.87557	0.025309	0.00175016	0.00672408	0.000784936	0.00218882	0.0435139
í	0.290378	0.566155	0.0140098	0.00540521	0.0126216	0.0117706	0.0076057	0.092054
l	0.34948	0.31231	0.127123	0.00250923	0.0236165	0.0170662	0.00488168	0.163014
i	0.485122	0.0836108	0.0448518	0.00584622	0.0347289	0.102072	0.0609631	0.182805
ó	0.33918	0.00451903	0.493469	0.0225928	0.041148	0.0549128	0.00672197	0.0374562
d	0.103889	0.00194489	0.29885	0.544581	0.0204864	0.001328	0.00863311	0.0202868
í	0.00173127	5.11394e-05	0.0248926	0.854373	0.0489135	0.000743868	0.0102396	0.0590551
d	0.00320851	1.20167e-05	0.0136845	0.91559	0.0390418	0.00291514	0.00374872	0.021799
z	0.000613663	5.24229e-05	0.00745111	0.911166	0.0469557	0.000934535	0.0263732	0.00645375
u	0.00385494	0.000370477	0.0062386	0.942986	0.0190091	0.00208161	0.0193536	0.00610591
s	0.00204449	0.000188072	0.00976434	0.709812	0.18979	0.00214855	0.0405764	0.0456763
é	0.0207567	0.000637071	0.0261005	0.211798	0.487942	0.0303483	0.175347	0.0470699
f	0.00346004	0.000410575	0.102435	0.183915	0.211162	0.218941	0.155237	0.124439
u	0.0121861	0.0132638	0.01488	0.0662854	0.17819	0.0363976	0.468221	0.210576
n	0.00069212	6.55089e-05	0.00475641	0.305326	0.132799	0.00124538	0.313011	0.242104
d	0.00152919	0.00108277	0.00411749	0.08515	0.109972	0.0054701	0.605236	0.187442
u	0.00272848	0.00471881	0.0118135	0.00974517	0.203647	0.0102837	0.665905	0.091159
y	0.00260575	0.000192128	0.0266937	0.00652712	0.237664	0.118086	0.259027	0.349204
á	0.0101951	0.000917518	0.0418388	0.0112205	0.274149	0.328539	0.255497	0.0776425
b	0.00157004	0.000708157	0.0027111	0.00466283	0.0403231	0.853249	0.0700137	0.0267618
í	0.002256	0.00227659	0.00328809	0.000112665	0.0704006	0.889699	0.0111951	0.0207724
s	0.001665	0.000955546	0.000379753	0.000266887	0.0102826	0.94388	0.0151496	0.0274207
í	0.00201514	0.0116206	0.00252107	0.00476309	0.0379924	0.35965	0.286885	0.294552
</S>	0.000392021	0.000172889	0.00582457	0.0275103	0.024263	0.0521416	0.158537	0.731158
