 	j'	ai	ramassé	un	vieux	couteau	sur	la	route	d'	ekyembe	</S>
n	0.940598	0.0300366	0.0035892	0.00547218	0.00584721	0.0045236	0.00224701	0.00241175	0.00360622	0.00132699	0.000296963	4.39401e-05
g	0.968169	0.0219907	0.00301566	0.00217073	0.00349589	0.00026316	0.000324645	0.000192137	5.87122e-05	7.01825e-05	0.00023276	1.68025e-05
á	0.842491	0.0545072	0.065882	0.0117285	0.0207874	0.00161778	0.000827182	0.00114958	0.000302235	0.000288651	0.000371657	4.68747e-05
í	0.0557768	0.254074	0.172708	0.071558	0.023579	0.0321204	0.0272327	0.0219273	0.0116393	0.0322913	0.0083136	0.28878
t	0.00622506	0.15725	0.747283	0.0507265	0.00832761	0.0070449	0.00587265	0.0055393	0.0042311	0.00204289	0.00037368	0.00508263
ω	0.0002363	0.0454152	0.734743	0.106785	0.00774615	0.00340727	0.00980246	0.0311027	0.0315677	0.00665238	0.0103593	0.0121831
i	0.00489618	0.0482451	0.713131	0.105071	0.0258882	0.00356926	0.00975589	0.0172682	0.0359376	0.0183013	0.00516198	0.0127736
o	0.05358	0.104279	0.0862683	0.375069	0.312856	0.0281524	0.0186137	0.00699602	0.00485005	0.00556755	0.000904261	0.00286422
w	0.000152023	0.0115004	0.0233514	0.223519	0.390934	0.302088	0.0224705	0.0129711	0.00581147	0.00163246	0.00235738	0.00321282
ó	0.000452899	0.0153671	0.107867	0.299453	0.201525	0.0237291	0.0620334	0.0672798	0.0580389	0.0287997	0.0451293	0.0903247
n	5.32092e-05	0.0166231	0.0745926	0.500538	0.125877	0.0258855	0.05632	0.0367465	0.0344274	0.0215921	0.0124069	0.0949382
g	0.000596293	0.040521	0.081346	0.360388	0.334789	0.0647248	0.0355015	0.0213459	0.0134723	0.00719305	0.00585035	0.0342719
a	0.062108	0.0273983	0.179164	0.125696	0.437469	0.0230114	0.0138484	0.0161159	0.00719879	0.00536916	0.0225195	0.080101
m	0.000266126	0.00890785	0.00791951	0.110324	0.222317	0.174502	0.278905	0.0979782	0.0361998	0.0304247	0.0037882	0.0284683
í	0.000387512	0.00306818	0.000580462	0.0598509	0.183219	0.127888	0.237881	0.0498965	0.00703098	0.0609841	0.0109559	0.258257
b	0.00022577	0.00428659	0.000847278	0.0345424	0.0743936	0.475258	0.185619	0.0910904	0.0515851	0.0208837	0.0271405	0.0341273
á	0.000629344	0.00441888	0.00585511	0.0275399	0.0346019	0.345523	0.113062	0.162692	0.125154	0.0493423	0.0950373	0.0361438
á	0.0040588	0.00837157	0.00470344	0.0132598	0.0191213	0.251333	0.201319	0.209081	0.127833	0.0496494	0.0542428	0.0570269
ó	0.000545078	0.00705045	0.00500848	0.00952314	0.0199866	0.13419	0.315357	0.193748	0.123751	0.0792152	0.0163877	0.0952379
k	4.48855e-05	0.00481982	0.0125507	0.0383877	0.0369175	0.0496077	0.104389	0.111742	0.315816	0.0781072	0.211963	0.0356549
ó	4.695e-06	0.000482832	0.00260547	0.0194864	0.0050246	0.0100837	0.0314456	0.121931	0.455748	0.0458687	0.239693	0.0676264
ó	3.54022e-06	0.000276823	0.00263167	0.0070574	0.00248723	0.0115577	0.0243861	0.130968	0.502556	0.0593414	0.0947138	0.16402
y	0.000305855	0.00549288	0.00480674	0.00922714	0.0118662	0.0118507	0.114028	0.0885831	0.139545	0.338563	0.0805505	0.19518
e	0.000157338	0.00477134	0.00620645	0.018691	0.0292084	0.00622183	0.099405	0.0698157	0.0532089	0.109134	0.275831	0.327349
k	0.000163192	0.00126849	0.000757203	0.00338338	0.0198139	0.00457773	0.0321944	0.0203013	0.0530035	0.122621	0.669245	0.0726703
y	1.05611e-05	6.59343e-05	0.000161228	0.000695873	0.000405151	0.000719643	0.00394498	0.0161344	0.114878	0.0322097	0.813632	0.017143
e	3.94626e-06	0.000111175	0.000251179	0.00107622	0.000403424	0.000167449	0.00451188	0.0165167	0.060379	0.0405575	0.844522	0.0314998
m	2.34898e-06	2.10578e-05	7.84799e-05	0.000738812	0.000694351	0.000191876	0.012175	0.0311742	0.0750071	0.11071	0.589191	0.180015
b	0.000159784	0.000135246	8.50219e-05	0.00260201	0.0165596	0.0028442	0.0266768	0.0189564	0.0169576	0.191905	0.641746	0.0813731
é	0.000228599	0.000303035	0.000274491	0.00605791	0.0258736	0.00396568	0.0216929	0.0331988	0.0171999	0.0640458	0.623731	0.203428
</S>	1.81532e-05	0.000471003	0.00104137	0.00377057	0.00249821	0.00344786	0.0257783	0.0349778	0.043764	0.261726	0.0934181	0.529089
