 	beaucoup	de	soldats	fumaient	du	chanvre	</S>
a	0.505233	0.442814	0.00582562	0.0361434	0.00980499	0.000114362	6.45023e-05
m	0.0589668	0.543053	0.336374	0.00519278	0.0244784	0.0290932	0.00284205
b	0.111891	0.284061	0.446778	0.0602463	0.022312	0.00814566	0.0665664
ω	0.0987259	0.152545	0.617453	0.0330786	0.0174396	0.00412941	0.0766286
r	0.191045	0.377419	0.407224	0.00548639	0.00329	0.000465169	0.0150702
i	0.116931	0.344449	0.307514	0.0351188	0.0249993	0.0216633	0.149324
a	0.338446	0.296934	0.178824	0.132738	0.0291972	0.00215997	0.0217014
y	0.259935	0.247582	0.241966	0.0768699	0.130588	0.00963241	0.0334278
í	0.238322	0.230465	0.236844	0.0642421	0.0731608	0.0788494	0.0781167
í	0.175481	0.0657553	0.0820139	0.0773471	0.0653803	0.0463144	0.487708
á	0.0502023	0.0246197	0.023158	0.726217	0.136017	0.00381751	0.0359687
d	0.0256489	0.0308241	0.0447187	0.18124	0.594297	0.0373928	0.0858792
z	0.0241775	0.0132805	0.0449521	0.17947	0.257439	0.0122871	0.468394
a	0.0526389	0.0174947	0.0217147	0.491498	0.296447	0.0602175	0.0599896
b	0.00972377	0.00361005	0.00471139	0.458116	0.353435	0.0216123	0.148791
á	0.17167	0.028004	0.0182144	0.594899	0.144956	0.00910177	0.0331545
a	0.106353	0.0217563	0.0021476	0.774661	0.0627156	0.00154517	0.0308214
n	0.00406252	0.00458911	0.0282962	0.116471	0.660326	0.0477354	0.13852
y	0.0547157	0.0430102	0.100165	0.215507	0.286378	0.0258233	0.274401
w	0.129058	0.173066	0.163084	0.0986935	0.122348	0.0545943	0.259157
á	0.0090377	0.00958687	0.052072	0.109632	0.139784	0.140372	0.539515
á	0.00378121	0.00175523	0.00119946	0.540975	0.261678	0.0790641	0.111547
d	0.0131399	0.00625717	0.00236318	0.0951053	0.69569	0.125986	0.0614588
w	0.0117801	0.00463493	0.00311088	0.0131943	0.36265	0.179532	0.425098
z	0.00436549	0.00161863	0.00137011	0.0179913	0.225864	0.69291	0.0558796
a	6.17278e-05	3.97396e-05	0.000337911	0.0043644	0.0369943	0.929073	0.0291285
m	0.000177275	8.60671e-05	0.000208197	0.00903975	0.0341651	0.614595	0.341728
a	0.00125395	0.00102911	0.00224314	0.0411799	0.142557	0.41001	0.401727
</S>	0.00101443	0.000411467	0.000548642	0.0121473	0.0934337	0.146252	0.746193
