 	elle	brandit	un	couteau	</S>
w	0.991824	0.00265627	0.00534098	0.000125392	5.29229e-05
a	0.937317	0.00416925	0.0573073	0.00104152	0.000165038
a	0.766192	0.185554	0.0311868	0.000486071	0.0165812
p	0.229273	0.488014	0.111882	0.013323	0.157509
f	0.0560014	0.738443	0.050126	0.0263493	0.12908
o	0.0897933	0.886334	0.0161748	0.00258808	0.00510968
o	0.077893	0.497534	0.369575	0.0318774	0.0231211
s	0.0369288	0.110799	0.789085	0.0228641	0.0403228
í	0.0472305	0.127179	0.548163	0.0104432	0.266984
i	0.0179885	0.0146669	0.634446	0.211164	0.121735
b	0.00463635	0.0397757	0.108546	0.781059	0.0659832
á	0.000681959	0.000466366	0.00681546	0.989116	0.00292056
á	0.00143497	0.000238365	0.00657001	0.951654	0.0401023
</S>	0.00489727	0.00107224	0.119079	0.271015	0.603936
