 	j'	entretiens	de	bonnes	relations	avec	le	notable	okoumou	</S>
n	0.815571	0.00434121	0.0566088	0.0649522	0.017967	0.0154935	0.0120905	0.00987007	0.00191364	0.00119215
g	0.995525	0.000169344	0.00279477	0.000599166	0.000264106	0.00036287	0.000217324	2.6642e-05	3.80889e-05	3.05389e-06
á	0.995647	0.000899073	0.00119513	0.000664488	0.000311307	0.00013827	0.000373272	0.000272715	0.000486079	1.25408e-05
i	0.305102	0.0840119	0.189079	0.0791346	0.113654	0.031312	0.0317129	0.0143705	0.0458786	0.105743
d	0.0164591	0.858165	0.0121377	0.0223428	0.0213266	0.00977163	0.0101122	0.0123259	0.0139209	0.0234385
í	0.0575548	0.904243	0.0108011	0.00441885	0.00464968	0.00507607	0.00365656	0.000990599	0.00100787	0.00760138
l	0.0753856	0.68342	0.168537	0.0219919	0.00764732	0.00912988	0.00744958	0.000417565	0.00055568	0.0254649
e	0.0623405	0.369003	0.229134	0.115488	0.0950358	0.0434588	0.0166121	0.00128761	0.00218599	0.0654533
y	0.0107825	0.344465	0.218556	0.167943	0.117074	0.0653129	0.0357342	0.00629541	0.00842851	0.0254079
é	0.00180894	0.916329	0.0321552	0.0172765	0.014397	0.00497563	0.00387502	0.000548656	0.00142702	0.00720693
b	0.000555862	0.777126	0.133132	0.0234769	0.0143874	0.0174796	0.0112119	0.000908963	0.00162998	0.0200913
h	0.00341394	0.0868256	0.062327	0.49942	0.198842	0.0875488	0.0337278	0.0144444	0.00472581	0.00872454
í	0.00183755	0.0294371	0.086149	0.300481	0.319232	0.0673875	0.0447312	0.0112013	0.00639156	0.133151
n	0.00100549	0.00168885	0.0784536	0.207491	0.282431	0.256823	0.13284	0.0204894	0.00311008	0.0156672
í	0.00890476	0.0016335	0.0309859	0.140545	0.402365	0.184603	0.109853	0.0534258	0.00956827	0.0581164
l	0.00207047	0.00386239	0.0670554	0.06822	0.224076	0.31587	0.271749	0.0127268	0.00434634	0.0300239
a	0.00885247	0.0103536	0.00855302	0.0222009	0.126558	0.27412	0.264306	0.0597908	0.0216927	0.203573
m	0.00204699	0.00288792	0.0176969	0.00940575	0.0291688	0.276498	0.4187	0.114226	0.095558	0.0338127
w	0.000105912	0.00247599	0.0122915	0.00160929	0.00514614	0.127895	0.14074	0.272921	0.34281	0.0940049
ε	0.000289197	0.000579724	0.00101932	0.000478932	0.000679834	0.0216985	0.0220232	0.576368	0.362497	0.0143663
n	1.06029e-05	0.000251899	0.00122375	0.00511422	0.0152961	0.0974032	0.12221	0.309785	0.2184	0.230305
έ	0.00046528	0.000303023	0.00438202	0.0122948	0.0304358	0.0947843	0.185102	0.198804	0.197509	0.27592
o	0.000374659	0.000341165	0.00240086	0.00118435	0.00258768	0.0262609	0.0563185	0.0325138	0.0544051	0.823613
k	0.00147408	0.0146606	0.00916167	0.00860231	0.011185	0.0450054	0.110853	0.0906001	0.401953	0.306504
u	3.84256e-05	0.0118245	0.0013775	0.0115196	0.00412674	0.00907229	0.0372156	0.317183	0.489753	0.117889
m	0.000231797	0.00110525	0.00205511	0.00414335	0.00289174	0.00690181	0.0189591	0.259633	0.425954	0.278124
u	0.000986053	8.21142e-05	0.00475913	0.00495246	0.0058309	0.0453056	0.102221	0.231597	0.484618	0.119647
</S>	0.000238909	0.00149425	0.00771184	0.00172907	0.00180236	0.00702428	0.0179708	0.00407356	0.0305844	0.927371
