 	je	répare	mes	chaussures	</S>
n	0.967196	0.00641654	0.0234691	0.00190047	0.00101757
g	0.99685	0.000418629	0.00269188	2.44314e-06	3.72148e-05
á	0.988437	0.00743165	0.00393081	4.78018e-05	0.000153039
l	0.54041	0.0262811	0.244262	0.00440314	0.184645
í	0.657464	0.051753	0.148859	0.000254181	0.14167
i	0.0549682	0.0924238	0.514463	0.00198524	0.33616
l	0.000940797	0.966819	0.0144296	0.0103383	0.00747188
o	0.000155502	0.997997	0.000494366	0.0008313	0.00052197
n	0.000101126	0.99321	0.00375362	0.000939851	0.0019954
d	0.000245658	0.90254	0.0275135	0.0160074	0.0536935
á	0.000860513	0.522198	0.0941016	0.011999	0.370841
m	0.010814	0.00885473	0.862452	0.0935263	0.0243532
y	0.014968	0.00411551	0.452644	0.293553	0.234719
e	0.0069209	0.04883	0.557844	0.245853	0.140552
r	0.000173918	0.0216576	0.284561	0.345377	0.34823
é	0.000681974	0.0408262	0.274142	0.132943	0.551408
m	0.000682665	0.00385448	0.302224	0.107284	0.585955
á	0.000600773	0.00172189	0.324807	0.021953	0.650917
k	0.00423629	0.00193632	0.103394	0.711672	0.178761
o	6.09647e-05	0.00011239	0.00253135	0.983926	0.0133693
o	5.37735e-05	0.000427774	0.00561685	0.967658	0.0262432
</S>	0.00111277	0.00422647	0.10071	0.0418318	0.852119
