 	il	a	des	cheveux	tout	blancs	</S>
w	0.688848	0.169262	0.061175	0.0132351	0.0572032	0.00667983	0.00359654
a	0.786964	0.10483	0.0141103	0.00722155	0.073993	0.0101681	0.00271386
a	0.0829432	0.361404	0.146753	0.319976	0.04253	0.00568393	0.0407099
d	0.0542148	0.276728	0.280855	0.233483	0.0659069	0.023739	0.0650733
í	0.00452234	0.10068	0.195931	0.508026	0.0143746	0.00744594	0.169019
l	0.00465401	0.0373849	0.16469	0.33964	0.0898616	0.0305023	0.333268
a	0.0438119	0.118451	0.241445	0.190506	0.100753	0.0115675	0.293465
m	0.0191078	0.0961233	0.188485	0.313695	0.146328	0.106663	0.129598
b	0.00378338	0.0176253	0.0167519	0.071429	0.0158067	0.544871	0.329733
v	0.00167573	0.0043744	0.0199266	0.020597	0.0130362	0.510852	0.429538
i	0.00263136	0.00626242	0.0319514	0.0369011	0.00761959	0.181848	0.732786
í	0.00128522	0.00622352	0.0318899	0.0148138	0.0163076	0.277844	0.651636
</S>	0.0125185	0.0258683	0.0718372	0.00197893	0.210953	0.100189	0.576655
