 	a	six	mois	certains	enfants	marchent	à	quatre	pattes	</S>
b	0.479035	0.242194	0.168988	0.0797404	0.0182574	0.00556979	0.00300863	0.0027304	0.000431032	4.46495e-05
á	0.0483035	0.0351795	0.0926699	0.344814	0.465366	0.00163942	0.00170985	0.00806213	0.00179578	0.00045919
n	0.0665522	0.202087	0.155922	0.211058	0.315	0.0110618	0.00512896	0.00462502	0.0103424	0.0182217
a	0.132577	0.134567	0.321031	0.134781	0.0632627	0.00350038	0.00210349	0.00828338	0.00252736	0.197367
b	0.236659	0.112899	0.392142	0.158402	0.0198583	0.00654989	0.0167034	0.0357572	0.000748486	0.0202806
a	0.161963	0.050833	0.248716	0.209067	0.145952	0.0342835	0.0446925	0.0377453	0.018507	0.048241
n	0.0554099	0.0189283	0.306716	0.244557	0.290831	0.0168764	0.0124319	0.0152822	0.0025809	0.0363855
á	0.108056	0.0229402	0.43838	0.234799	0.0970055	0.00282755	0.00640761	0.0415461	0.000485329	0.0475524
b	0.123581	0.110549	0.11472	0.0882228	0.145999	0.207003	0.102886	0.0258714	0.00805202	0.0731149
á	0.160997	0.0235386	0.106588	0.17838	0.377866	0.0848877	0.031853	0.0122554	0.010063	0.0135724
a	0.0506761	0.00847179	0.299582	0.12025	0.346751	0.110575	0.0226538	0.0109082	0.00597793	0.0241542
k	0.00760067	0.0170503	0.00408947	0.0163143	0.0195284	0.87265	0.0467394	0.00233427	0.00307952	0.0106138
ω	0.00429352	0.0628931	0.00225296	0.00565796	0.00542354	0.866926	0.0410428	0.000286411	0.00463714	0.00658632
n	0.000866355	0.0100141	0.00174365	0.00859488	0.00393945	0.916793	0.0469907	0.000351459	0.00467922	0.00602688
ώ	0.0242804	0.0147055	0.0106088	0.0130204	0.0202616	0.725963	0.13011	0.00322602	0.0149093	0.0429148
ώ	0.00389789	0.00249697	0.0744511	0.179582	0.0228939	0.278357	0.36293	0.0606517	0.00637218	0.00836701
m	0.00836308	0.00622509	0.014864	0.022464	0.0213155	0.30164	0.486178	0.0554851	0.0478598	0.0356051
á	0.00346362	0.00302212	0.0120318	0.0619946	0.0338235	0.0193711	0.27667	0.463805	0.0282539	0.0975643
s	0.00948621	0.00798695	0.0347505	0.0328598	0.0400475	0.0476482	0.378936	0.168762	0.242819	0.0367036
w	0.000899525	0.00326588	0.0138055	0.00479952	0.00149842	0.0071547	0.267822	0.618119	0.0216745	0.0609613
é	0.00121772	0.00446635	0.0121104	0.00565338	0.00603956	0.0159645	0.316873	0.475095	0.0951732	0.0674071
n	0.000300249	0.00244377	0.00321751	0.00568392	0.00108902	0.100359	0.326406	0.114451	0.179645	0.266405
g	0.00308399	0.00678861	0.0575215	0.0353076	0.00819177	0.0189407	0.0938411	0.356636	0.12893	0.290758
é	0.000939999	0.00261563	0.0213022	0.0125514	0.00531265	0.0194986	0.0872683	0.399447	0.26102	0.190045
o	0.000843764	0.000633695	0.00442159	0.0044421	0.000866889	0.0342453	0.130475	0.182406	0.237178	0.404487
t	0.00397355	0.00429574	0.00225817	0.00100648	6.08848e-05	0.0341564	0.216768	0.124831	0.295857	0.316793
ó	0.000607782	0.0145734	0.00085349	0.000808515	0.000284067	0.0547985	0.0949177	0.00582279	0.75661	0.0707234
b	0.000198294	0.00313786	0.000346837	0.000269064	6.43172e-05	0.0262163	0.064169	0.00792534	0.618566	0.279107
h	0.00067759	0.00544632	0.000411341	0.000382754	9.64013e-05	0.0601741	0.0547271	0.00314663	0.501436	0.373502
á	0.001527	0.0287712	0.00331947	0.00305246	0.00122041	0.0514801	0.0406623	0.0131763	0.452009	0.404782
</S>	0.00334535	0.00511522	0.0169882	0.0104925	0.00464245	0.0177059	0.0562455	0.283114	0.0810251	0.521326
