 	je	n'	ai	pas	l'	habitude	de	taper	les	petits	enfants	</S>
n	0.562475	0.0921984	0.0473019	0.0445859	0.035348	0.0562548	0.0665933	0.0448194	0.0334292	0.0127559	0.00348744	0.00075048
g	0.921873	0.0093027	0.0155393	0.00491853	0.00871937	0.0127241	0.0104406	0.00424488	0.00444444	0.007279	0.00041301	0.000101073
á	0.748808	0.0443922	0.103931	0.0132424	0.0190959	0.0309456	0.0166492	0.00293293	0.00317734	0.0140386	0.00267824	0.000108432
i	0.0155508	0.141547	0.130645	0.162562	0.205596	0.0694262	0.103215	0.0161458	0.0583159	0.0360685	0.0196034	0.0413248
d	0.011106	0.160005	0.155085	0.163827	0.112395	0.07196	0.053039	0.0851204	0.0316614	0.0186524	0.00538319	0.131766
i	0.0200621	0.258322	0.294808	0.0785853	0.0675744	0.0518799	0.0209634	0.00559978	0.0198467	0.0300506	0.00189207	0.150415
í	0.00250802	0.0875645	0.113618	0.27713	0.252812	0.118191	0.0578634	0.0057189	0.0200849	0.0163923	0.000716843	0.0473998
o	0.00274741	0.0494878	0.0804632	0.130296	0.29435	0.23491	0.134196	0.0275522	0.0145338	0.0101455	0.00400019	0.0173182
d	0.000206179	0.0180764	0.0174156	0.147453	0.274153	0.233152	0.2356	0.0374387	0.00736392	0.00594748	0.00530933	0.0178843
z	0.00103336	0.0438557	0.0246435	0.176769	0.262557	0.194115	0.16189	0.0144003	0.00562121	0.00835457	0.00096937	0.105791
á	0.00426339	0.100666	0.0212553	0.110717	0.23259	0.341786	0.136578	0.00483112	0.00215442	0.00432017	0.000373152	0.0404663
l	0.000542239	0.0329394	0.043038	0.0875577	0.149228	0.202429	0.161337	0.025876	0.0454954	0.026839	0.00571957	0.218998
e	0.000129142	0.0142971	0.0276435	0.0498901	0.106895	0.221973	0.181066	0.100229	0.0275498	0.0166746	0.00209561	0.251557
k	0.000139809	0.0123368	0.0243572	0.0363444	0.0831295	0.181518	0.376716	0.136239	0.0397542	0.0199615	0.0145134	0.0749898
o	9.77759e-06	0.000329032	0.0016209	0.018023	0.0230881	0.0719224	0.257459	0.606846	0.00665135	0.00216331	0.0029831	0.00890383
o	1.40259e-05	0.0016221	0.00689275	0.0458199	0.102885	0.115489	0.330642	0.349365	0.0191004	0.0032799	0.00508079	0.0198099
y	5.59906e-05	0.00403072	0.00628444	0.0433767	0.109869	0.196831	0.362797	0.122583	0.119903	0.0133817	0.00132358	0.0195637
í	0.00252282	0.0281521	0.0312091	0.032145	0.107279	0.304958	0.318909	0.0540374	0.0475585	0.0319862	0.00483598	0.0364071
b	0.0108815	0.00646273	0.0191966	0.00796175	0.0382644	0.112543	0.206289	0.0823165	0.263127	0.183401	0.0355453	0.0340118
έ	0.00152847	0.00251594	0.0157849	0.00325393	0.0046186	0.0104226	0.0377172	0.389868	0.130582	0.0435896	0.356421	0.00369843
r	0.000262491	0.000373388	0.0029302	0.00204109	0.00556203	0.0120303	0.0760685	0.418386	0.151422	0.0515141	0.24507	0.0343392
