 	le	pêcheur	a	conservé	ses	appâts	dans	une	boîte	</S>
o	0.812887	0.169065	0.00615961	0.00846291	0.00231555	0.000504655	0.000252616	0.000109166	0.000231711	1.16359e-05
l	0.0397428	0.94784	0.00605639	0.00452942	0.000510431	0.000686617	8.79078e-05	0.000144981	0.000167381	0.00023385
ώ	0.00985514	0.985761	0.000520977	0.00234364	0.000141518	0.000687563	0.000106658	0.000138542	3.69434e-05	0.000407949
b	0.0208863	0.925889	0.0236312	0.00685156	0.0107942	0.00156695	0.00147379	0.00227056	0.000674117	0.00596248
h	0.197515	0.209663	0.231519	0.0390404	0.0653594	0.0213614	0.0429289	0.0457412	0.0291421	0.11773
i	0.294526	0.339681	0.166313	0.0570354	0.0276051	0.00550541	0.0174795	0.016617	0.0086164	0.06662
á	0.105089	0.0180125	0.78009	0.0254751	0.0190996	0.00160517	0.0146292	0.0152488	0.00322374	0.0175272
b	0.0297228	0.0105681	0.435129	0.406936	0.0232333	0.0111512	0.00751063	0.014618	0.00458231	0.0565485
ó	0.0448621	0.0294859	0.190969	0.531559	0.0930487	0.0293765	0.0179147	0.0253926	0.0136682	0.023723
m	0.0497184	0.0301015	0.234935	0.443303	0.118351	0.0365827	0.0163326	0.0285122	0.00880559	0.0333579
b	0.0969629	0.00684435	0.172132	0.258223	0.178477	0.102558	0.0973486	0.0611386	0.00452784	0.0217872
i	0.0891754	0.0152613	0.209335	0.208585	0.164211	0.166964	0.0470885	0.012044	0.0113261	0.0760109
p	0.00968109	0.000290932	0.155351	0.0706791	0.623282	0.0644577	0.0505012	0.0109407	0.00312762	0.0116885
a	0.00399907	0.000484986	0.0347052	0.0466982	0.0768818	0.782521	0.016283	0.0119606	0.00581749	0.0206485
m	0.00211665	0.000406905	0.0768049	0.0372248	0.243096	0.477263	0.0545712	0.0205784	0.0124031	0.0755346
b	0.0314145	0.00138158	0.0191399	0.067471	0.261922	0.145176	0.319663	0.0947469	0.0074323	0.0516528
e	0.0306916	0.00198878	0.0616329	0.0952688	0.309374	0.194752	0.254603	0.0200557	0.00457887	0.0270546
s	0.00318846	0.000546588	0.0288204	0.0188164	0.417712	0.20397	0.217008	0.0534763	0.0190774	0.0373845
á	0.00724274	0.00144859	0.0127405	0.0282285	0.133539	0.554917	0.141273	0.0384194	0.00405886	0.0781321
l	0.0179625	0.000810822	0.0193981	0.00473545	0.185215	0.0996576	0.4245	0.191263	0.0215896	0.0348678
e	0.00335101	0.00105916	0.0199951	0.00224911	0.140838	0.0671978	0.25395	0.180872	0.0285039	0.301984
n	0.000920371	0.00049021	0.00347818	0.00348489	0.0660377	0.161709	0.243961	0.262798	0.137009	0.120113
d	0.0123857	0.000355536	0.0146726	0.0011759	0.0858368	0.0844659	0.439373	0.250427	0.0217987	0.0895098
z	0.000880002	0.000293866	0.00566143	0.000784916	0.0434936	0.237715	0.239427	0.275086	0.0687108	0.127947
a	8.38325e-05	0.000138877	0.00163347	0.0019695	0.0156965	0.54369	0.193442	0.139595	0.0155336	0.0882172
n	0.000875657	0.000208957	0.0107629	0.00889826	0.0268202	0.219002	0.121839	0.0740245	0.0152809	0.522287
d	0.00096289	0.000804826	0.00920315	0.00406256	0.0557308	0.187093	0.3234	0.24061	0.0403394	0.137794
z	0.000971866	0.000356692	0.00160424	0.00369867	0.0152111	0.573999	0.140834	0.08089	0.0147964	0.167637
a	0.00194194	0.000541361	0.00156008	0.00701803	0.0201709	0.621729	0.130397	0.0691981	0.018852	0.128591
</S>	0.00320595	0.000172872	0.00489651	0.000683819	0.0286042	0.00646216	0.228527	0.244034	0.103889	0.379525
