 	cet	homme	est	un	brigand	</S>
m	0.887709	0.0948434	0.00827257	0.00847087	0.000361919	0.000341785
o	0.943632	0.00732467	0.0106748	0.00515259	0.00671987	0.0264964
r	0.862101	0.0998006	0.0106479	0.0116415	0.00727649	0.00853292
o	0.902319	0.0423296	0.00156518	0.00333237	0.0360758	0.0143781
w	0.965128	0.0244238	0.00238331	0.00155306	0.00106305	0.00544833
ú	0.758579	0.0538727	0.0894769	0.0333105	0.0243362	0.0404248
u	0.232246	0.118273	0.310059	0.0556641	0.0129033	0.270855
a	0.0867518	0.110496	0.636284	0.0956807	0.0148535	0.0559337
d	0.00381063	0.00943156	0.685822	0.266274	0.012303	0.0223595
i	0.00197633	0.00244545	0.342791	0.222504	0.0800712	0.350212
l	0.00115261	0.000921425	0.28709	0.541372	0.043517	0.125947
a	0.00171229	0.00310625	0.166484	0.377251	0.138586	0.312859
p	0.00357388	0.00740233	0.0832092	0.133249	0.593416	0.17915
ó	0.00104995	0.0295507	0.071868	0.125685	0.645793	0.126054
s	0.00077757	0.0108536	0.110787	0.132195	0.461316	0.284071
á	0.00259223	0.0103235	0.105678	0.219942	0.214814	0.44665
i	0.00717768	0.00907209	0.0463744	0.158367	0.464551	0.314458
t	0.00170371	0.0120035	0.0277144	0.0763514	0.604402	0.277825
u	0.00229888	0.00754888	0.0257101	0.180685	0.546696	0.237061
m	0.0152381	0.00305489	0.0168731	0.21495	0.418845	0.331039
b	0.00334027	0.00128524	0.0243185	0.267947	0.273607	0.429502
a	0.0052026	0.00105241	0.0189098	0.216676	0.21501	0.543149
</S>	0.00345371	0.00378814	0.103732	0.219438	0.093549	0.576039
