 	le	canard	barbote	dans	la	mare	</S>
a	0.627655	0.342189	0.0142684	0.0127962	0.00284529	0.000213356	3.28375e-05
s	0.352884	0.546802	0.070718	0.0227713	0.00507014	0.00124547	0.000509376
w	0.305416	0.619096	0.0295192	0.0374711	0.00276537	0.00199698	0.00373505
e	0.670674	0.29997	0.00409725	0.0171393	0.00254984	0.00240546	0.00316423
b	0.237888	0.502725	0.123942	0.0423455	0.0143281	0.00747766	0.0712935
h	0.167423	0.120248	0.555745	0.0692244	0.014652	0.0124788	0.0602285
é	0.339283	0.375958	0.115608	0.0758475	0.0107377	0.00636094	0.0762051
b	0.0954664	0.127445	0.403766	0.31524	0.0410342	0.00413245	0.0129156
á	0.476374	0.106339	0.194831	0.102863	0.0751024	0.0191308	0.0253599
a	0.333834	0.122331	0.0628021	0.344119	0.0980112	0.0228598	0.0160429
t	0.0956789	0.0661259	0.461568	0.219123	0.0933227	0.0140403	0.050142
s	0.0516185	0.0761186	0.42391	0.161313	0.137595	0.0257962	0.123649
ώ	0.0570046	0.122909	0.41038	0.156128	0.134122	0.0522436	0.0672119
m	0.0442434	0.0541552	0.125699	0.257834	0.276351	0.106819	0.134899
b	0.0591236	0.0181019	0.0298005	0.226559	0.20564	0.178769	0.282007
ώ	0.0980049	0.0412343	0.0609908	0.0862119	0.141256	0.370599	0.201703
s	0.0227637	0.00831003	0.0183872	0.228913	0.22725	0.358619	0.135757
ώ	0.0258615	0.0233808	0.00722415	0.170774	0.234031	0.351113	0.187617
m	0.00979565	0.00408038	0.00160929	0.0348714	0.137184	0.648171	0.164288
á	0.0147809	0.0100407	0.00081629	0.0121025	0.117076	0.469616	0.375568
a	0.0367303	0.0228964	0.0061236	0.0464796	0.138355	0.654074	0.0953409
</S>	0.0112263	0.00519796	0.0105464	0.0251567	0.0701425	0.432272	0.445458
