 	j'	ai	ramassé	les	feuilles	de	manguier	</S>
n	0.907161	0.0747053	0.00184329	0.00493625	0.00352216	0.00659537	0.00108489	0.000152215
g	0.934041	0.0509049	0.00121929	0.00616963	0.000934028	0.00651483	0.000201822	1.47209e-05
á	0.779693	0.183343	0.014539	0.00815513	0.000817276	0.00343739	0.00995867	5.70869e-05
í	0.0453403	0.273902	0.108406	0.102005	0.020978	0.0395502	0.0223405	0.387478
m	0.00406994	0.0537004	0.915	0.0184885	0.00412156	0.00114704	0.000399744	0.00307289
i	0.000850438	0.123247	0.364864	0.430897	0.0392133	0.0132534	0.00317606	0.0244983
t	0.000159046	0.0128067	0.866521	0.0867151	0.025123	0.00164115	0.000693206	0.00634107
ó	3.90187e-05	0.0115695	0.767997	0.058143	0.154371	0.000789387	0.000130135	0.006961
r	4.11703e-05	0.0126366	0.396314	0.289815	0.278149	0.0090523	0.00051907	0.013473
á	0.000378586	0.0123777	0.044739	0.483909	0.36809	0.0452827	0.00262718	0.0425957
k	0.00315445	0.0279763	0.0143507	0.133053	0.327466	0.422727	0.062081	0.00919149
á	0.000424924	0.00421857	0.00428092	0.0596848	0.893717	0.0257173	0.00502849	0.00692792
s	0.00148737	0.0384366	0.0656547	0.209381	0.502896	0.0403723	0.0685633	0.0732093
i	7.60868e-05	0.00206692	0.0559469	0.112427	0.780174	0.0331618	0.00084188	0.0153054
y	4.83705e-05	0.0107712	0.0156354	0.135184	0.250854	0.509018	0.028772	0.0497172
ó	0.00251516	0.0129907	0.011299	0.0704746	0.253785	0.439948	0.0591821	0.149806
m	0.00865796	0.0102344	0.0036055	0.0208164	0.110378	0.526885	0.193719	0.125704
b	0.000596149	0.00212688	0.000161361	0.00335795	0.00127806	0.168049	0.77553	0.0489005
á	6.5705e-05	0.000330435	0.000260252	0.00197645	0.00606939	0.0329951	0.930711	0.027592
n	7.28042e-05	0.000285564	0.000156876	0.00181602	0.00479833	0.0425939	0.839054	0.111222
g	0.000649743	0.0069475	0.00312537	0.035415	0.0321779	0.389901	0.380633	0.151151
é	0.000281332	0.000309133	0.000163952	0.00101671	0.00138321	0.0375617	0.89683	0.0624543
</S>	0.000177632	0.00271651	0.00130658	0.0286745	0.0206318	0.198745	0.0491804	0.698568
