 	mon	sac	est	rempli	de	noix	de	cola	</S>
p	0.44018	0.423567	0.0582596	0.0301202	0.0270066	0.00870796	0.011277	0.000735308	0.000146831
ε	0.00153551	0.996988	0.00101788	6.85019e-05	0.000121248	1.51558e-05	2.37693e-05	0.000202482	2.69787e-05
n	0.0347642	0.881713	0.0269089	0.0107817	0.0207788	0.00180746	0.00241876	0.00092783	0.019899
g	0.130039	0.82964	0.0250612	0.00765314	0.0012963	0.000576826	0.00109708	8.68173e-05	0.00454909
ε	0.222623	0.72103	0.00924929	0.0129195	0.014253	0.00379651	0.00175634	0.000453403	0.0139186
y	0.115404	0.0921031	0.552107	0.12895	0.0539637	0.0159697	0.0151616	0.0010277	0.025314
á	0.205605	0.147095	0.280712	0.187526	0.0778603	0.0114053	0.0260079	0.000604428	0.0631838
n	0.587281	0.0154274	0.126319	0.177281	0.0611924	0.00962079	0.010952	0.00432024	0.00760632
g	0.777495	0.00887174	0.0315329	0.157362	0.0134255	0.00572607	0.00251361	0.000396769	0.00267634
á	0.109045	0.0198681	0.0787371	0.720878	0.0499342	0.0105026	0.00184054	0.00250937	0.0066851
é	0.0229747	0.00107596	0.395416	0.215506	0.270314	0.030852	0.047298	0.000942767	0.0156207
d	0.0237347	0.0143551	0.414072	0.146895	0.30158	0.02975	0.0413135	0.00601695	0.0222831
í	0.00778036	0.00143172	0.163621	0.339544	0.0919586	0.0913745	0.0279894	0.0841837	0.192117
b	0.0136	0.000839373	0.0708859	0.149361	0.0880341	0.0708148	0.134715	0.0595324	0.412217
a	0.111299	0.00504251	0.119965	0.200276	0.16061	0.0462547	0.0549054	0.251772	0.0498752
m	0.0136118	0.00127592	0.0282952	0.0906928	0.11042	0.0928639	0.101986	0.27807	0.282785
á	0.00435057	0.000283358	0.0281064	0.0695161	0.182482	0.341386	0.25257	0.0789453	0.0423595
b	0.0261683	0.000919238	0.0104991	0.0572594	0.0328129	0.116843	0.316079	0.209001	0.230418
e	0.0385483	0.00214992	0.0870703	0.120766	0.0700876	0.0302567	0.0929882	0.509275	0.0488582
s	0.00426401	0.000987678	0.00850241	0.0108262	0.0216247	0.02772	0.0563482	0.383285	0.486442
í	0.00538054	0.00724655	0.0194486	0.0331825	0.0587023	0.0487612	0.252981	0.162128	0.41217
</S>	0.000945225	0.000124278	0.00446999	0.00421671	0.00757599	0.0307642	0.139041	0.0576793	0.755183
