 	je	l'	ai	vu	hierva	vite	au	marché	</S>
n	0.852827	0.0827917	0.0514369	0.0113664	8.60608e-05	0.000424336	0.000774026	0.000180909	0.000112181
g	0.977073	0.0147966	0.00720491	0.000417743	5.3926e-06	7.93566e-05	0.000301891	9.08264e-05	3.05495e-05
á	0.875248	0.0551385	0.0576482	0.00881671	0.000373051	0.00115882	0.000704056	0.000891461	2.08246e-05
í	0.0711392	0.369327	0.415645	0.0550762	0.010741	0.00306937	0.00880279	0.00591122	0.0602878
t	0.0183514	0.0978756	0.0606891	0.377321	0.408284	0.020281	0.00378226	0.00329941	0.0101161
έ	0.000495235	0.0312617	0.0660602	0.620196	0.242394	0.0310585	0.00127399	0.00314016	0.00412023
i	0.00686773	0.0414375	0.260583	0.535833	0.0901241	0.0478998	0.0107522	0.00312041	0.00338192
w	0.0318335	0.10853	0.390957	0.215412	0.136892	0.033641	0.04862	0.0103164	0.023799
á	0.00521977	0.0508636	0.135768	0.404435	0.281741	0.0799929	0.0346532	0.00191388	0.00541217
l	0.0309948	0.0641746	0.170932	0.0613261	0.439837	0.0567741	0.0623468	0.0470382	0.0665768
a	0.00275493	0.0093866	0.0310462	0.0737431	0.29709	0.430365	0.0689368	0.0268614	0.0598167
p	0.00836426	0.0357297	0.0663649	0.0498036	0.442967	0.228261	0.0833995	0.0465341	0.0385753
ó	0.00112923	0.00600676	0.0186566	0.0902753	0.620197	0.220422	0.0143053	0.0154961	0.013511
a	0.000269022	0.0084891	0.0198741	0.0774493	0.421806	0.386114	0.0464091	0.0117999	0.0277893
</S>	0.00050981	0.00617831	0.0130576	0.00696043	0.0109793	0.212757	0.487052	0.151101	0.111404
