 	j'	ai	les	maux	de	tête	</S>
n	0.590657	0.0961354	0.0716815	0.0881649	0.0538714	0.0842824	0.0152071
g	0.987825	0.00574936	0.00122465	0.00262353	0.00233341	0.000105726	0.000138541
á	0.939071	0.0512484	0.00553569	0.00192473	0.00157972	0.000317096	0.000323009
i	0.106703	0.282756	0.204536	0.0755731	0.189381	0.0622632	0.0787882
b	0.0397753	0.182789	0.292548	0.0677482	0.0487518	0.167077	0.20131
o	0.00589601	0.118176	0.245068	0.142224	0.0347699	0.434112	0.0197544
ó	0.0122059	0.0944912	0.211699	0.173358	0.0530835	0.419875	0.0352868
b	0.0503261	0.114244	0.196551	0.239247	0.197846	0.0201339	0.181651
ó	0.02465	0.0554895	0.0581303	0.228684	0.194344	0.320649	0.118054
l	0.0515432	0.0755048	0.112134	0.224572	0.268966	0.0740652	0.193214
í	0.0155819	0.101521	0.194824	0.056084	0.0498047	0.0403657	0.541818
i	0.0247158	0.0930795	0.169998	0.200207	0.124074	0.127772	0.260154
y	0.000745314	0.060798	0.136289	0.0765795	0.106934	0.109051	0.509603
ó	0.00610882	0.110833	0.149055	0.0730249	0.179113	0.0350341	0.446831
m	0.00114665	0.0461	0.0871949	0.0276744	0.12811	0.0616079	0.648166
a	0.000529782	0.0165135	0.0883504	0.028151	0.119969	0.0624853	0.684001
a	0.000944796	0.0200699	0.0482829	0.173754	0.312113	0.0433672	0.401468
</S>	0.00431876	0.0181182	0.0490602	0.229181	0.254352	0.0586344	0.386336
