 	les	poissons	se	nourrissent	de	vers	de	terre	</S>
a	0.7638	0.165439	0.0687565	0.000355646	0.0012691	4.31321e-05	0.000301148	2.22537e-05	1.37423e-05
s	0.136235	0.681007	0.153465	0.0270552	0.000770081	0.000419694	0.000408263	0.000367812	0.000273102
w	0.0166112	0.977583	0.00402259	0.000779306	0.000141236	0.000168826	6.76872e-05	5.9909e-05	0.000565984
é	0.0197781	0.977283	0.00217396	0.000278097	0.000133084	5.61875e-05	4.79065e-05	4.81131e-05	0.000201844
b	0.0999436	0.26362	0.429342	0.0718524	0.0229007	0.0168782	0.0286775	0.00134463	0.0654414
á	0.217334	0.163734	0.379817	0.0251939	0.0829235	0.0129036	0.0584697	0.00378154	0.0558431
a	0.129194	0.0465	0.54399	0.180494	0.0486365	0.0143181	0.0120653	0.0025686	0.0222336
d	0.00846587	0.00495629	0.254839	0.671287	0.024478	0.0168973	0.00599439	0.000309868	0.0127723
z	0.00130133	0.00860091	0.0450413	0.892241	0.0137676	0.0243726	0.00199493	5.40934e-05	0.0126264
á	0.0234462	0.0198184	0.0205829	0.919466	0.00937044	0.00555026	0.000464408	5.41368e-05	0.00124677
p	0.0311514	0.0318425	0.136003	0.423131	0.148878	0.0301787	0.0597624	0.0126352	0.126418
a	0.00663402	0.0139769	0.0458058	0.720885	0.133996	0.0225409	0.0115091	0.0161192	0.0285339
m	0.00215483	0.00772611	0.0281745	0.645537	0.24239	0.0406942	0.00840785	0.00360363	0.0213119
b	0.00641036	0.0020133	0.0381462	0.256735	0.508866	0.0228144	0.0262022	0.0182137	0.120599
o	0.0138689	0.00186026	0.0291659	0.197708	0.600646	0.0173168	0.0179272	0.0489832	0.0725236
</S>	0.0150827	0.00749663	0.0493731	0.0673182	0.725411	0.0674285	0.030419	0.00652989	0.0309407
