 	à	la	tombée	de	la	nuit	tout	le	village	est	dans	l'	obscurité	</S>
b	0.529097	0.353875	0.0327101	0.00937963	0.0135098	0.0196616	0.00884927	0.0212592	0.00328926	0.00458264	0.00231371	0.00125717	0.000159179	5.60896e-05
v	0.145695	0.350874	0.154153	0.0764363	0.105998	0.0617586	0.0274879	0.0284158	0.000126753	0.0108844	0.0200432	0.0165032	0.000202187	0.00142108
ú	0.0783519	0.5019	0.0789478	0.0764187	0.126642	0.0295743	0.0129789	0.0172903	4.33578e-05	0.00361781	0.0443858	0.026624	0.00165101	0.00157346
s	0.0509596	0.528553	0.157923	0.0597492	0.0851339	0.0292512	0.00760152	0.0119879	0.000439168	0.00492474	0.017504	0.0135354	0.0288053	0.00363141
á	0.407297	0.34342	0.0564619	0.0445541	0.0645141	0.0169434	0.0114799	0.0175629	0.00048571	0.0137977	0.00655542	0.00447644	0.00340461	0.00904653
w	0.18385	0.0775788	0.335161	0.181489	0.0859686	0.0313726	0.017998	0.026022	0.00303859	0.0155276	0.00848449	0.00625135	0.00144367	0.0258142
á	0.122845	0.0832718	0.2083	0.0860486	0.0575929	0.0695778	0.0853935	0.0674566	0.00490979	0.0412423	0.0362121	0.0461534	0.0064747	0.0845212
á	0.104125	0.0254941	0.105667	0.171912	0.124703	0.0887181	0.0653199	0.0527403	0.0639262	0.0342023	0.023316	0.0235099	0.019388	0.0969791
ó	0.0204058	0.0259254	0.154356	0.254631	0.268851	0.131585	0.0467937	0.0263534	0.00916016	0.00972529	0.0168952	0.00838237	0.00349599	0.0234399
b	0.0213947	0.0405248	0.120906	0.162747	0.289427	0.224495	0.0455558	0.0169197	0.0254077	0.00961525	0.0115009	0.00861601	0.0137012	0.00918915
h	0.00827562	0.0210049	0.0951854	0.156306	0.241512	0.305848	0.0864016	0.035977	0.00426449	0.0196361	0.00900377	0.00953919	0.00340359	0.0036418
í	0.00446436	0.0122011	0.113056	0.160815	0.282627	0.276801	0.076923	0.0325398	0.00144393	0.00986794	0.00952008	0.0122173	0.00289494	0.00462833
n	0.0103595	0.00916977	0.0670223	0.205137	0.231149	0.195175	0.134779	0.0837329	0.00664034	0.0202921	0.0125829	0.0105019	0.00287233	0.0105859
d	0.0223622	0.0182836	0.0605218	0.190138	0.258103	0.144201	0.13798	0.0867294	0.00544387	0.0206763	0.0141003	0.0142208	0.00343372	0.0238072
í	0.00584295	0.00547773	0.0197135	0.157655	0.233351	0.0755429	0.131271	0.123165	0.00949691	0.0314419	0.0550994	0.0306121	0.0107474	0.110584
p	0.00365859	0.00276793	0.023311	0.0480915	0.0555206	0.0912899	0.250842	0.333771	0.0440841	0.0767222	0.0322252	0.0284495	0.00176458	0.00750185
o	0.000812192	0.000967443	0.00177168	0.00392628	0.0065418	0.0286822	0.0301183	0.0191614	0.873585	0.00975217	0.00258518	0.00535635	0.0139192	0.0028207
o	0.000165934	0.000318827	0.00132584	0.00405013	0.00714564	0.0346348	0.0491068	0.0732112	0.724012	0.0224389	0.0123166	0.0240431	0.0434122	0.00381785
é	0.00135073	0.00196944	0.00681338	0.00641494	0.00957871	0.0161196	0.0525319	0.132063	0.00390445	0.309947	0.238364	0.190004	0.00585834	0.0250799
b	0.00895948	0.00956683	0.0246178	0.0167927	0.0125657	0.0147936	0.0260967	0.0677798	0.00693092	0.290579	0.266238	0.1587	0.039159	0.0572204
h	0.0024334	0.0114322	0.0291216	0.0282155	0.0256074	0.0366681	0.0359559	0.039139	0.00381062	0.0742002	0.299193	0.155386	0.148054	0.110783
i	0.00285509	0.00350748	0.0183255	0.0245338	0.0339613	0.0911822	0.0887979	0.0554248	0.0120269	0.0769368	0.178032	0.139391	0.162377	0.112649
s	0.00272084	0.00138147	0.00306056	0.00984833	0.00823672	0.00819707	0.0220491	0.0317814	0.0206628	0.10391	0.199053	0.123756	0.262385	0.202958
á	0.00124896	0.00103457	0.0022849	0.00715257	0.00768305	0.00501818	0.0121942	0.0149018	0.0026468	0.0326853	0.250943	0.282484	0.126808	0.252914
l	0.00192918	0.00079557	0.00154788	0.00554424	0.00572293	0.00409276	0.00825959	0.0233595	0.00860307	0.0813214	0.196609	0.345806	0.231284	0.0851242
e	0.00212245	0.000684311	0.00292552	0.00669924	0.00586459	0.00533001	0.00898662	0.00887335	0.000502743	0.0635122	0.231606	0.279119	0.105797	0.277977
k	0.000371062	0.000320014	0.00055156	0.00146235	0.00213403	0.00244937	0.00337191	0.00700691	0.0015813	0.029164	0.0968998	0.320204	0.394383	0.1401
u	3.30717e-05	0.000234515	0.000514796	0.000459375	0.000730208	0.00281123	0.00124847	0.0010201	0.00299788	0.00491811	0.0102054	0.0216362	0.940528	0.012663
u	6.82003e-05	7.00479e-05	3.57824e-05	0.000157615	0.000187395	0.000349811	0.000388975	0.000746773	0.00151942	0.00116052	0.00448023	0.00701856	0.975396	0.00842069
l	0.00137851	0.000359852	0.000688177	0.00213906	0.00214101	0.00186323	0.0036174	0.00726043	0.000524045	0.0278486	0.0510916	0.0626361	0.596551	0.241901
ú	0.000612839	0.000281413	0.000552722	0.00239589	0.0035776	0.00345296	0.00987377	0.0205169	0.000547686	0.0525687	0.192657	0.286011	0.252236	0.174714
</S>	0.00207373	0.00050876	0.00172716	0.00662862	0.00364718	0.00264039	0.00739681	0.0210205	0.000343555	0.072389	0.0969291	0.115703	0.0885418	0.58045
