 	il	me	cache	des	choses	</S>
w	0.946459	0.0323334	0.0133003	0.00693598	0.000501076	0.000470255
a	0.706026	0.115282	0.0396786	0.133534	0.00436955	0.00111015
l	0.348299	0.322701	0.126003	0.171042	0.0120523	0.0199023
á	0.208586	0.188774	0.203893	0.200437	0.0362244	0.162087
a	0.125786	0.489225	0.127121	0.164588	0.0108019	0.0824785
b	0.034498	0.0897392	0.545213	0.0799192	0.0585554	0.192076
h	0.0480804	0.0288108	0.864972	0.0318945	0.0128079	0.0134342
í	0.0310533	0.0106549	0.849026	0.0353671	0.041193	0.0327055
s	0.0231021	0.0177772	0.455132	0.0460416	0.0291308	0.428816
á	0.0467289	0.0275864	0.419368	0.175927	0.066787	0.263603
n	0.0352635	0.323075	0.144139	0.189341	0.175173	0.133008
g	0.042723	0.491819	0.0388397	0.292195	0.107156	0.0272672
á	0.00759237	0.667113	0.0199439	0.177643	0.0870786	0.0406296
p	0.0120329	0.00590463	0.0128359	0.46969	0.323035	0.176501
ω	0.00637059	0.00108049	0.00107159	0.0271672	0.940477	0.0238336
ω	0.00818146	0.00293735	0.00842061	0.0403881	0.850343	0.0897296
</S>	0.00565421	0.00151607	0.0285593	0.137414	0.121146	0.70571
