 	le	kyebé-kyebé	va	être	dansé	aujourd'	hui	</S>
k	0.305797	0.599922	0.071712	0.0141039	0.00157189	0.00598057	0.000283128	0.000629221
y	0.0417917	0.940719	0.0133565	0.00219392	0.000831785	0.000849416	9.4414e-05	0.000163804
e	0.00927834	0.917936	0.0673567	0.00215763	0.000609418	0.000908227	0.000939422	0.000814262
b	0.0461504	0.855433	0.0640067	0.00437669	0.00062566	0.00393841	0.00238135	0.0230883
h	0.0957674	0.75062	0.0833995	0.00655067	0.00204174	0.0144805	0.00417235	0.0429677
é	0.249882	0.63979	0.0389563	0.0119933	0.00377317	0.00595367	0.000436114	0.0492158
k	0.155011	0.0632864	0.433909	0.088704	0.0059651	0.0462359	0.00638964	0.200499
y	0.119899	0.0944007	0.523345	0.0853748	0.00669077	0.0194914	0.0167461	0.134053
e	0.0609609	0.0913981	0.681933	0.0860465	0.00971703	0.00879635	0.00876056	0.0523878
b	0.054059	0.0493223	0.472252	0.056163	0.0386402	0.00654385	0.0166522	0.306368
h	0.166792	0.0766943	0.197631	0.446007	0.00356582	0.0343491	0.0116359	0.0633259
é	0.201689	0.0452038	0.302491	0.24191	0.0227713	0.0167107	0.00156051	0.167663
l	0.0508975	0.00843461	0.270149	0.453726	0.0364435	0.0593527	0.0214754	0.0995212
á	0.0504023	0.00722303	0.0714468	0.152695	0.0437376	0.0678161	0.0030075	0.603671
a	0.138482	0.0120215	0.0878625	0.403671	0.0566907	0.215281	0.0226814	0.0633095
s	0.0139568	0.00512578	0.0148539	0.035882	0.823742	0.0601345	0.0260307	0.0202745
é	0.00043974	5.17856e-05	0.000323292	0.000214187	0.996475	0.000718327	0.000210193	0.00156751
é	0.0118417	0.000676539	0.00712459	0.0139739	0.8552	0.037066	0.00399268	0.0701245
m	0.00635548	0.000954716	0.0068041	0.0357223	0.0481525	0.538617	0.178801	0.184593
á	0.121908	0.00270377	0.0408567	0.172323	0.0801245	0.25549	0.10935	0.217245
p	0.0156725	0.00409345	0.0163771	0.0588088	0.0163976	0.303307	0.508523	0.0768213
á	0.00104619	0.00131109	0.00407019	0.00341726	0.000811277	0.0108818	0.970503	0.00795919
b	0.000186371	0.000222511	0.00264003	0.000684563	0.000575196	0.0102795	0.971325	0.014087
h	0.00274391	0.00589444	0.0108747	0.0257021	0.00433219	0.310862	0.378289	0.261302
a	0.0358775	0.108678	0.0542312	0.0667532	0.00437892	0.103369	0.254895	0.371817
</S>	0.022247	0.0159109	0.00809135	0.0133369	0.00153258	0.376984	0.0914245	0.470473
