 	le	chef	m	'	a	bien	accueilli	</S>
o	0.528628	0.467854	0.00137214	0.00125084	0.000277626	0.00039704	0.000102089	0.000118804
k	0.0154402	0.978364	0.00369514	0.000143614	0.000143718	0.000209928	0.00161802	0.000385563
o	0.00289324	0.996275	0.000125455	8.37065e-06	5.42916e-05	2.12262e-05	0.000410065	0.000212765
n	0.00292406	0.990587	0.00255019	0.000226976	0.000457018	0.000454394	0.00175107	0.00104955
d	0.070589	0.911664	0.00511174	0.00109282	0.00125913	0.00121738	0.00341787	0.00564751
z	0.119625	0.849426	0.0106327	0.000544476	0.00117647	0.00016	0.000763633	0.017672
i	0.187948	0.752537	0.00297972	0.00273254	0.00143393	0.000378163	0.00605455	0.0459363
á	0.141435	0.0452055	0.73133	0.0370724	0.0216304	0.00577289	0.00360491	0.0139483
y	0.0223323	0.0139642	0.640577	0.030285	0.116613	0.0222228	0.0652586	0.0887464
a	0.0177085	0.00805016	0.704848	0.0261625	0.139629	0.0119126	0.0562139	0.0354749
m	0.0537819	0.0066557	0.315366	0.0848396	0.251873	0.0605023	0.0668012	0.16018
b	0.0442504	0.00515351	0.231027	0.246053	0.23244	0.0449769	0.0400778	0.156021
i	0.0472954	0.0160242	0.0500665	0.195971	0.236938	0.0465685	0.171329	0.235808
n	0.0179988	0.000419799	0.028061	0.511577	0.130758	0.159102	0.0408781	0.111206
g	0.0258381	0.00163439	0.00804246	0.37305	0.101106	0.0295895	0.391582	0.0691572
á	0.0220436	0.0024367	0.0367486	0.228558	0.0605305	0.0334804	0.586789	0.0294133
ω	0.0058052	0.00139831	0.00513133	0.117871	0.125785	0.141709	0.277513	0.324787
b	0.00428498	0.00579039	0.00472896	0.00952356	0.0606563	0.0865881	0.729727	0.0987006
v	0.00807019	0.00220419	0.00114852	0.0229571	0.0733957	0.210031	0.66965	0.0125437
έ	0.000902784	0.000441652	0.000187715	0.0380774	0.0644573	0.0802137	0.806214	0.00950561
</S>	0.000937737	0.000336419	0.0022447	0.0330564	0.084072	0.0753526	0.173525	0.630475
