 	c'	est	une	ancienne	plantation	</S>
é	0.68436	0.205286	0.0494678	0.0509398	0.00825495	0.0016921
d	0.258122	0.505273	0.182354	0.0473342	0.00247303	0.00444375
í	0.0739498	0.543763	0.319397	0.0243439	0.00165002	0.0368959
n	0.0281748	0.308566	0.353325	0.101287	0.00832015	0.200328
g	0.0880618	0.0609443	0.0568372	0.0972764	0.61862	0.0782598
o	0.0162998	0.0226369	0.0555547	0.048217	0.831427	0.0258643
n	0.000347693	0.00237575	0.0340711	0.0230739	0.886586	0.0535455
d	0.0402363	0.0918397	0.362052	0.179428	0.0589643	0.26748
a	0.0170818	0.0168574	0.105167	0.0728718	0.173354	0.614669
y	0.0616718	0.106871	0.251512	0.236467	0.0279583	0.315519
á	0.0642124	0.0943327	0.200454	0.347987	0.045365	0.247648
k	0.0636698	0.0205642	0.0334566	0.275738	0.553395	0.0531763
a	0.00406708	0.0171209	0.134959	0.542007	0.180765	0.121081
l	0.00153368	0.00597268	0.0404856	0.166425	0.16762	0.617963
a	0.00333101	0.00868982	0.0881881	0.134082	0.347335	0.418374
</S>	0.0178581	0.0339179	0.0752942	0.142022	0.0475853	0.683323
