 	la	viande	que	vous	avez	fait	bouillir	est	devenue	tendre	</S>
n	0.526772	0.245044	0.168182	0.0290448	0.0200732	0.00468584	0.0012983	0.00420782	0.000397895	0.000118673	0.000176024
y	0.166154	0.798731	0.01683	0.00753535	0.00960981	0.00102356	2.18151e-05	3.70959e-05	3.28447e-06	4.25563e-05	1.18716e-05
a	0.0520814	0.838734	0.0349242	0.00619812	0.0642502	0.00225802	0.000301616	0.000260806	7.60478e-05	0.000531283	0.000383952
m	0.149427	0.525381	0.212926	0.0266445	0.061781	0.00331116	0.00398144	0.00170826	0.000211553	0.000824621	0.0138027
a	0.412883	0.396557	0.142279	0.00526507	0.00389617	0.0106952	0.00605989	0.00774809	0.000357988	0.000559814	0.0136991
y	0.261668	0.0796833	0.440313	0.0462223	0.0357524	0.0541694	0.00497824	0.0266503	0.0113335	0.00123449	0.0379955
e	0.209545	0.257694	0.399978	0.0222762	0.0324979	0.0351322	0.00241135	0.016774	0.00112602	0.00262133	0.0199439
e	0.296649	0.150509	0.370248	0.0489671	0.0519451	0.0457307	0.0037457	0.0056423	0.000535729	0.00215124	0.0238761
t	0.016339	0.00330763	0.0185094	0.0110992	0.605728	0.15368	0.14879	0.00334538	0.0185983	0.00724439	0.0133582
ω	0.00731676	0.00143677	0.00791319	0.00551672	0.464256	0.158354	0.308805	0.00277882	0.0136335	0.00829345	0.0216952
k	0.0219925	0.0121174	0.0580704	0.00701142	0.259131	0.205596	0.379315	0.00810627	0.0018499	0.0201952	0.0266144
í	0.0490918	0.0143577	0.056392	0.0283275	0.501864	0.22184	0.0931706	0.0149399	0.00516007	0.00572965	0.00912744
s	0.0143092	0.0223123	0.197593	0.350659	0.0657173	0.126044	0.0949797	0.0362484	0.0157715	0.00449977	0.0718665
í	0.0285702	0.00490826	0.0217555	0.0249056	0.172132	0.286416	0.406232	0.0391335	0.00312109	0.00329986	0.00952647
b	0.00458148	0.0128744	0.0674862	0.590204	0.0209271	0.0877958	0.0219409	0.17516	0.00750819	0.00205407	0.00946741
í	0.00195409	0.00327154	0.00169037	0.896571	0.0168717	0.0166642	0.0468182	0.00702847	0.00766662	0.000866746	0.000596764
n	0.00021577	0.00156163	0.000616769	0.994615	0.000709165	0.00054576	0.000190928	0.000651292	0.000827816	9.82264e-06	5.54922e-05
í	0.0296467	0.156651	0.0780271	0.449721	0.0823323	0.0250929	0.00339237	0.0169209	0.00674407	0.000978968	0.150493
a	0.000754059	0.000766579	0.0177856	0.0346951	0.141404	0.24694	0.0666872	0.306016	0.157184	0.00943524	0.0183326
b	0.00665059	0.000989178	0.00785453	0.00294015	0.0634052	0.0983826	0.106515	0.125497	0.509367	0.0659076	0.0124908
h	0.00408226	0.000837811	0.00438382	0.0141704	0.0100429	0.0596915	0.0629331	0.0484789	0.713795	0.0407246	0.0408593
í	0.00200754	9.99792e-05	0.000799676	0.00160073	0.00257249	0.0175605	0.0552182	0.0386142	0.575071	0.0340616	0.272394
o	0.00381346	0.00080791	0.00239746	0.00812919	0.00091769	0.0138858	0.0165713	0.11674	0.304677	0.145734	0.386326
k	0.00454239	0.00118854	0.00257601	0.00662419	0.0103904	0.0167679	0.034672	0.0150122	0.219721	0.627574	0.0609315
ω	0.000119748	1.81166e-05	0.000288391	9.62837e-05	0.00205497	0.0095706	0.207569	0.00352142	0.140297	0.579196	0.0572689
ω	0.000682951	9.81374e-05	0.00133443	0.000838509	0.00065686	0.00759471	0.174607	0.0361116	0.0656949	0.58683	0.125551
g	0.00310087	0.000573138	0.00210321	0.000455916	0.000179895	0.00644196	0.00305176	0.05372	0.0176121	0.194861	0.7179
h	0.00476325	0.000612531	0.00456257	0.010728	0.00255596	0.0290956	0.0382534	0.0443086	0.15446	0.552509	0.158151
ώ	0.00522262	0.00141262	0.00437696	0.00527678	0.00171807	0.00736357	0.0445866	0.0407827	0.0453616	0.644356	0.199542
k	0.00353872	0.000957145	0.00509118	0.00319333	0.000613929	0.00881958	0.00854949	0.0535621	0.0207775	0.25913	0.635767
ω	0.005419	0.00158829	0.0103174	0.0664298	0.0143653	0.0238962	0.0261008	0.0206736	0.061481	0.443926	0.325803
ω	0.000216573	9.14042e-05	0.00069683	0.00234919	0.00104769	0.00232298	0.0438083	0.00899699	0.0153866	0.783785	0.141298
g	0.0451552	0.00187813	0.00583944	0.00175082	0.00134488	0.0251563	0.026394	0.0470957	0.0144337	0.159074	0.671878
h	0.00409281	0.00044471	0.00509681	0.00695494	0.00343496	0.056493	0.0295098	0.0245516	0.0229036	0.242804	0.603714
ω	0.0449622	0.0187898	0.0160566	0.0307651	0.00163395	0.0109733	0.00860082	0.0205944	0.00292843	0.360984	0.483711
</S>	0.0025237	0.000570629	0.00354052	0.00311297	0.000236807	0.00699441	0.0101842	0.0334627	0.00320388	0.452104	0.484066
