 	ils	font	la	chasse	aux	hérissons	dans	la	petite	plaine	au	mi	lieu	de	la	forêt	</S>
b	0.932757	0.0458913	0.00839541	0.00170516	0.00377905	0.00209003	0.000471126	0.00073417	0.000704143	0.00104492	0.0008322	0.000728586	0.000501875	0.000173543	9.75896e-05	5.31804e-05	4.0158e-05
á	0.807805	0.0735767	0.0329528	0.0576824	0.0113357	0.00933869	0.00166418	0.00110424	0.00177438	4.32268e-05	0.000257048	0.00175517	5.29564e-05	8.89688e-05	0.000507209	4.39272e-05	1.79e-05
a	0.95885	0.0373576	0.00179602	0.000255941	0.000458318	0.000421923	8.5612e-05	3.67837e-05	6.84328e-05	6.65169e-05	0.000108645	0.000265782	1.08437e-05	1.14522e-05	2.75858e-05	2.72526e-06	0.00017592
b	0.208079	0.531401	0.201731	0.00761036	0.00599784	0.00158442	0.00274676	0.00252637	0.000584109	0.00146473	0.00182757	0.00187051	0.00150861	0.00424568	0.00290737	0.00039036	0.0235237
á	0.236458	0.545578	0.128635	0.0150342	0.0177336	0.00890892	0.0114497	0.00536911	0.00642081	0.00156616	0.00671433	0.00620119	0.00240812	0.00251576	0.00275731	8.12686e-05	0.00216936
a	0.438735	0.274961	0.187972	0.0164948	0.0124394	0.00297254	0.00353309	0.00311661	0.00202162	0.0049146	0.00503473	0.0108375	0.00236741	0.00438665	0.00591179	0.000533064	0.0237679
b	0.0012561	0.166979	0.533055	0.2683	0.00486019	0.00186073	0.00219332	0.0025838	0.000791233	0.00158849	0.000681838	0.0014114	0.00132165	0.00259852	0.00231023	0.00083937	0.00736943
e	0.00459925	0.189919	0.182891	0.535162	0.0218048	0.0157759	0.00344342	0.00281255	0.00148715	0.0015462	0.00173377	0.0197065	0.00497122	0.00420136	0.0023191	0.000353281	0.00727377
n	0.00665246	0.0801141	0.143622	0.739822	0.0104243	0.00540249	0.000796741	0.000367392	0.000103693	0.000346018	0.000377946	0.00578418	0.000817928	0.000647006	0.000357793	3.49183e-05	0.00432923
g	0.00222049	0.110565	0.391786	0.287229	0.0911121	0.0179119	0.0203911	0.00725198	0.00540368	0.00504426	0.00818932	0.00510175	0.0134993	0.0100013	0.00318042	0.0011518	0.0199607
á	0.0040837	0.063646	0.158066	0.249663	0.133648	0.0391152	0.0473945	0.015454	0.0107998	0.0111846	0.0328243	0.0124942	0.0316571	0.0217699	0.0211796	0.0033478	0.143672
