 	il	bat	son	fils	</S>
w	0.975748	0.0159671	0.00724839	0.000802	0.000234234
a	0.913592	0.0247317	0.0458202	0.0156823	0.000173319
l	0.355126	0.331567	0.183706	0.0177085	0.111892
á	0.0980651	0.0818575	0.138443	0.0676531	0.613981
a	0.375884	0.0570004	0.2052	0.140569	0.221346
b	0.0538073	0.89995	0.0173774	0.0117827	0.0170829
έ	0.0572512	0.922449	0.0135589	0.003613	0.00312775
r	0.0417246	0.787717	0.0591943	0.0136647	0.0976992
έ	0.252811	0.36384	0.322028	0.00702321	0.0542979
m	0.0428968	0.162624	0.728715	0.0556148	0.0101499
w	0.00496648	0.00919086	0.00776106	0.974824	0.00325744
á	0.00306034	0.00792276	0.0058468	0.978605	0.00456522
n	0.0139666	0.00591354	0.0605875	0.872791	0.0467418
a	0.101374	0.0229458	0.0520463	0.711674	0.11196
</S>	0.0559758	0.0522448	0.637727	0.057898	0.196154
