 	la	bise	s'	est	mise	à	souffler	de	toute	sa	force	jusqu'	à	un	certain	temps	</S>
o	0.529468	0.283581	0.0825993	0.0156433	0.023787	0.0226826	0.0252853	0.00584709	0.00320627	0.00381676	0.00170303	0.000232512	0.00084581	0.000970877	0.00024485	3.92267e-05	4.71828e-05
p	0.0377582	0.944534	0.00369817	0.00133743	0.00734742	0.000588955	0.00129438	0.000348464	0.000718665	0.000322062	0.000153181	0.000104202	0.000197574	0.000268626	0.000188856	0.000683756	0.000455828
ε	0.00711273	0.837496	0.0371847	0.0251921	0.0533466	0.00375582	0.00180564	0.00266959	0.00609603	0.00294496	0.003661	0.00513955	0.00132496	0.00306454	0.00366445	0.00466878	0.000872352
p	0.0170841	0.932308	0.0100287	0.00398231	0.0101197	0.00705966	0.00386126	0.00201975	0.00327201	0.00338636	0.00133008	0.00059365	0.000611006	0.00130703	0.000937453	0.000691934	0.00140711
ε	0.0910181	0.867055	0.00750057	0.00238608	0.00395817	0.00291906	0.000647631	0.00267799	0.00223631	0.00434996	0.00768865	0.00191205	0.000761681	0.0010134	0.00144666	0.000285111	0.00214357
t	0.389223	0.360867	0.120102	0.0181408	0.00894919	0.0311109	0.00232577	0.015058	0.00891193	0.0119761	0.0055639	0.0030343	0.00433622	0.00341776	0.0017293	0.000616012	0.0146375
i	0.12465	0.338875	0.0420864	0.0139371	0.0154438	0.0177632	0.00142949	0.0296158	0.0219875	0.0483186	0.0545567	0.0257021	0.0310503	0.0553851	0.0664148	0.0249198	0.0878645
o	0.104028	0.199405	0.292539	0.0771217	0.0270724	0.0419479	0.00988606	0.0236277	0.0131887	0.0294006	0.0325687	0.0362528	0.0137298	0.00926553	0.0134319	0.00294473	0.0735893
b	0.0149715	0.0141023	0.153125	0.321114	0.333829	0.0644667	0.0384513	0.0133347	0.00802143	0.00329025	0.00581437	0.00470658	0.00349587	0.00221689	0.0029106	0.00119454	0.0149551
á	0.00824814	0.00473751	0.0358733	0.226824	0.305065	0.128295	0.171016	0.0658397	0.0136667	0.0150208	0.00710137	0.00295391	0.00523793	0.00355492	0.00374813	0.000421195	0.00239584
n	0.0111265	0.027829	0.121927	0.184448	0.197164	0.120538	0.0995675	0.0381373	0.0209012	0.024839	0.0212414	0.0128594	0.013095	0.0123796	0.0145852	0.00501523	0.0743458
d	0.0245409	0.00908019	0.0708347	0.10162	0.514727	0.108962	0.0498891	0.0188307	0.0189329	0.0192784	0.00556297	0.00185658	0.00634775	0.00516384	0.00758301	0.00299277	0.0337968
í	0.0479591	0.0723038	0.237033	0.053065	0.242274	0.0978151	0.0761486	0.0249892	0.04356	0.018807	0.00405601	0.00188677	0.00636676	0.00624607	0.00862879	0.00908295	0.0497782
i	0.0279132	0.0220224	0.224945	0.13279	0.150546	0.23012	0.0110205	0.0892456	0.0216887	0.0180917	0.0145315	0.00641386	0.0126116	0.00885043	0.00657091	0.00359793	0.0190413
f	0.0070754	0.00633356	0.0317518	0.0789273	0.253347	0.174797	0.129326	0.124953	0.0660838	0.0191695	0.0242684	0.0237921	0.0127404	0.0105781	0.014881	0.00553307	0.0164423
ú	0.00257103	0.00261209	0.0129942	0.0634161	0.179594	0.139993	0.219456	0.179277	0.0735425	0.0406438	0.0179583	0.0157983	0.0133642	0.0122991	0.0143183	0.00328331	0.00887892
l	0.00743364	0.0182968	0.0217185	0.0454637	0.196817	0.341277	0.0983228	0.105146	0.043004	0.0158976	0.00766871	0.0221754	0.0121177	0.0102451	0.0119239	0.00455374	0.0379371
ú	0.0142884	0.0242748	0.0234522	0.0256533	0.220647	0.376857	0.0363039	0.101371	0.0544526	0.0429779	0.0169968	0.0144514	0.00972969	0.0111056	0.0102733	0.00240238	0.0147632
l	0.00441967	0.00171013	0.0191607	0.0197862	0.0373972	0.300242	0.0423092	0.383053	0.109826	0.0383296	0.0156035	0.00657398	0.00711401	0.00344096	0.00142367	0.00074896	0.00886174
a	0.0131841	0.00557107	0.0218366	0.0284536	0.0889235	0.113719	0.0108503	0.186931	0.194596	0.0388829	0.0284005	0.0156358	0.0259893	0.0190517	0.0194362	0.0214679	0.16707
p	0.00494091	0.0022921	0.0128349	0.00387322	0.0154833	0.139357	0.00817009	0.325853	0.256586	0.128012	0.0348616	0.00825299	0.0146872	0.0110756	0.00787435	0.0112705	0.0145747
á	0.00117294	0.0052751	0.00469295	0.0134383	0.0706629	0.0632533	0.014527	0.167613	0.204984	0.0736034	0.228228	0.0940781	0.0109901	0.011681	0.018469	0.00725284	0.0100779
m	0.000962124	0.00717929	0.00286121	0.00594783	0.0281551	0.0255571	0.00504631	0.0867649	0.0786015	0.0814215	0.472919	0.0880925	0.0106169	0.0118211	0.0308104	0.00432591	0.0589177
i	0.0115239	0.00117485	0.00474695	0.00125938	0.00137007	0.0905331	0.391183	0.141942	0.0825046	0.189274	0.0202355	0.0099943	0.0259824	0.0171017	0.00685176	0.00129487	0.0030271
t	0.00398222	0.002822	0.00429838	0.00315662	0.00341431	0.0243938	0.00239883	0.0723027	0.123997	0.143725	0.33125	0.141804	0.0574411	0.0419973	0.016622	0.00434158	0.0220529
é	0.00210921	0.00734504	0.0028546	0.0013408	0.00222539	0.00663373	0.000616513	0.0286996	0.0437134	0.0499506	0.455012	0.305367	0.020737	0.0265832	0.0345626	0.00578627	0.00646305
é	0.00048362	0.00352643	0.00101642	0.000935176	0.0020882	0.00373127	0.000262926	0.0188284	0.0441952	0.0479013	0.458408	0.324314	0.0239267	0.0170178	0.0179385	0.00660486	0.0288219
</S>	0.00164333	0.000793129	0.0146307	0.010177	0.005666	0.00765685	0.000201444	0.0271363	0.0900269	0.0747144	0.195612	0.164859	0.230723	0.10512	0.0308549	0.0117833	0.028401
